"#name Guide","#unique id","#index group subId","","","","","","","","","","","","","","","","","",""
"id","group","subId","task_id","type","targetType","targetId","targetName","targetUI","moviePath","condition","conditionParam","dialogue","fingerDiction","diction","bubbleTxt","bubbleTxtLang","guideTxt","guideTxtLang","focus","force","repeat","beizhu"
"int","int","int","string","int","string","string","string","string","string","int","string","int","int","string","lang","string","lang","string","int","int","string","string"
"*","*","*","C","*","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","*"
"序号","引导组ID","步骤","触发指引条件","引导类型","目标参数","目标ID","控件名字","控件所在UI","动画所在路径","单步触发条件","条件参数","对话ID","手指方向","指引文本框方向","气泡文本","气泡文本","指引文本","指引文本","是否聚焦","是否强指引","断链处理方法","备注"
"1","1","1","1#10001","4","","","","","","0","","1","0","0#0","","Guide_BubbleTxt_1","","Guide_GuideTxt_1","0","0","0","进入游戏时，触发剧情对白"
"2","1","2","","1","2","3#1","","","","0","","2","0","0#0","","Guide_BubbleTxt_2","","Guide_GuideTxt_2","0","0","1","镜头移动到明月心处"
"3","1","3","","2","","","","","guide_joystick_move","0","","0","0","0#0","","Guide_BubbleTxt_3","","Guide_GuideTxt_3","0","0","3","对白完成，指引移动"
"4","2","1","2#10001","4","","","","","","0","","3","0","0#0","","Guide_BubbleTxt_4","","Guide_GuideTxt_4","0","0","0","杀完人参果，触发剧情对话"
"5","2","2","","3","2","3#1","1#btnUnlock","","","0","","0","1","0#0","","Guide_BubbleTxt_5","","Guide_GuideTxt_5","0","0","1","指引点击明月心的交互按钮"
"6","3","1","2#10002","4","","","","","","4","ui/heroGain/heroGain","4","0","0#0","","Guide_BubbleTxt_6","","Guide_GuideTxt_6","0","0","0","救完明月心，触发剧情对白"
"7","3","3","","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_7","任务完成，记得<color=#dd7e0d>领取奖励</color>哦","Guide_GuideTxt_7","0","0","0","指引点击完成任务"
"8","4","1","1#10003","3","1","10004","","","","0","","5","1","0#0","","Guide_BubbleTxt_8","","Guide_GuideTxt_8","0","0","0","前方迷雾，触发剧情对白"
"9","4","2","","3","2","1#1","1#btnUnlock","","","0","","0","1","0#0","","Guide_BubbleTxt_9","","Guide_GuideTxt_9","0","0","2","引导点击迷雾交互按钮"
"10","5","2","","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_10","任务完成，记得<color=#dd7e0d>领取奖励</color>哦","Guide_GuideTxt_10","0","0","0","指引点击完成任务"
"11","6","1","1#10004","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_11","","Guide_GuideTxt_11","0","0","0","接取解救雨师任务，引点击任务"
"12","7","1","2#10004","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_12","","Guide_GuideTxt_12","0","0","0","任务完成指引点击完成任务"
"13","8","1","1#10005","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_13","","Guide_GuideTxt_13","0","0","0","接取解救雨师任务，引点击任务"
"14","9","1","2#10005","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_14","","Guide_GuideTxt_14","0","0","0","任务完成指引点击完成任务"
"15","10","1","2#10006","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_15","","Guide_GuideTxt_15","0","0","0","任务完成指引点击完成任务"
"16","15","1","1#10009","3","1","10004","","","","0","","0","1","0#0","","Guide_BubbleTxt_16","","Guide_GuideTxt_16","0","0","0","接取任务，指引点击"
