"#name ChannelSdkArgs","#unique id","#const keyCol typeCol valueCol","#export S",""
"id","keyCol","typeCol","valueCol"
"int","string","string","string"
"*","*","*","*"
"序号","键名","值类型","值"
"1","yile_game_id","string","10910"
"2","yile_product_key","string","0f504f9466fb085b10be8fafe7debf65"
"3","yile_recharge_key","string","e581eea614f472e294cea85d75a2eb62"
"4","yile_login_url","string","https://oursdk.bingchenghuyu.com/cp/loginVerify"
"5","wabo_game_id","string",""
"6","wabo_endpoint","string","https://game-gateway.bepicgames.com"
"7","wabo_token_url","string","/api/server/token"
"8","wabo_orderquery_url","string","/api/server/gameOrderQuery"
"9","wabo_callback_url","string","http://42.194.193.32:9001/api/wabo/recharge"
"10","hql_game_id","string","30128"
"11","hql_game_key","string","da371d609efdf1bf9c7e9d8fff364af9"
"12","hql_login_url","string","https://api.hnfushun.com/server/code/"
