"#name Item","#unique id","","","","","","","","","","","",""
"id","name","kind","subType","kindParam","quality","useType","useData"
"int","lang","int","int","int","int","int","string"
"*","S","*","*","*","*","*","*"
"道具ID","道具名称","道具逻辑类型","道具类型子类","逻辑类型参数","品质","使用类型","使用数据"
"1","金币","1","0","0","4","0",""
"2","仙玉","2","0","0","4","0",""
"3","角色经验","3","0","0","2","0",""
"4","木材","4","0","0","2","0",""
"5","精元","5","0","0","2","0",""
"6","灵石","6","0","0","2","0",""
"7","VIP经验","7","0","0","4","0",""
"8","神像积分","8","0","0","4","0",""
"9","仙境积分","9","0","0","4","0",""
"10","炼狱积分","10","0","0","4","0",""
"101","日常活跃度","11","0","0","4","0",""
"102","周常活跃度","12","0","0","4","0",""
"1040001","昊天","100","0","0","5","0",""
"1040002","轩辕","100","0","0","4","0",""
"1040003","火神祝融","100","0","0","4","0",""
"1040004","伏羲","100","0","0","5","0",""
"1040005","帝释天","100","0","0","5","0",""
"1040006","真武大帝","100","0","0","5","0",""
"1040007","杀神白起","100","0","0","4","0",""
"1040008","东皇太一","100","0","0","5","0",""
"1040009","白泽","100","0","0","4","0",""
"1040010","羲和","100","0","0","4","0",""
"1040011","女娲","100","0","0","4","0",""
"1040012","西王母","100","0","0","5","0",""
"1040013","九天玄女","100","0","0","5","0",""
"1040014","乔帮主","100","0","0","4","0",""
"1030001","天蓬","100","0","0","3","0",""
"1030002","程咬金","100","0","0","4","0",""
"1030003","东方教主","100","0","0","3","0",""
"1030004","杨戬","100","0","0","3","0",""
"1030005","吕洞宾","100","0","0","3","0",""
"1030006","巨灵神","100","0","0","3","0",""
"1030007","少司命","100","0","0","3","0",""
"1030008","哪吒","100","0","0","3","0",""
"1030009","陆吾","100","0","0","3","0",""
"1030010","洪七","100","0","0","3","0",""
"1030011","莫邪","100","0","0","3","0",""
"1030012","后羿","100","0","0","3","0",""
"1030013","庄周","100","0","0","3","0",""
"1030014","墨生","100","0","0","3","0",""
"1030015","灶君司命","100","0","0","3","0",""
"1030016","灵鹫宫主","100","0","0","3","0",""
"1030017","水神共工","100","0","0","3","0",""
"1030018","小龙女","100","0","0","4","0",""
"1030019","句芒","100","0","0","3","0",""
"1030020","嫦娥","100","0","0","3","0",""
"1030021","九尾狐","100","0","0","3","0",""
"1020001","李大侠","100","0","0","2","0",""
"1020002","夺命剑客","100","0","0","2","0",""
"1020003","白无常","100","0","0","2","0",""
"1020004","雨师","100","0","0","2","0",""
"1020005","黑无常","100","0","0","2","0",""
"1020006","雷震子","100","0","0","2","0",""
"1020007","风师","100","0","0","2","0",""
"1010001","江鱼儿","100","0","0","1","0",""
"1010002","叶城","100","0","0","1","0",""
"1010003","苏颖","100","0","0","1","0",""
"1010004","铁小蓝","100","0","0","1","0",""
"1010005","明月新","100","0","0","1","0",""
"2000001","仙晶","200","0","0","4","0",""
"2000002","装备抽奖券","200","0","0","4","0",""
"2000003","神像刷新券","200","0","0","2","0",""
"2000004","装备材料(普通)","200","0","0","2","0",""
"2000005","装备材料(高级)","200","0","0","3","0",""
"2000006","普通法宝招募券","200","0","0","3","0",""
"2000007","高级法宝招募券","200","0","0","4","0",""
"2000008","伙伴突破石","200","0","0","4","0",""
"2000009","伙伴觉醒石","200","0","0","4","0",""
"2000010","改名卡","200","0","0","3","0",""
"2000011","代金券（单位分）","200","0","0","4","0",""
"2000012","装备精华","200","0","0","2","0",""
"2000013","超级法宝招募券","200","0","0","4","0",""
"2000014","竞技场挑战令","200","0","0","3","0",""
"2000101","修罗神","200","0","0","5","0",""
"2000102","修罗王","200","0","0","4","0",""
"2000103","修罗使者","200","0","0","3","0",""
"2001001","黄金洞窟入场券","200","0","0","4","0",""
"2001003","秘境卷轴(普通)","200","0","0","2","0",""
"2001004","秘境卷轴(稀有)","200","0","0","3","0",""
"2001005","20级副本券(普通)","200","0","0","2","0",""
"2001006","20级副本券(稀有)","200","0","0","3","0",""
"2001007","30级副本券(普通)","200","0","0","2","0",""
"2001008","30级副本券(稀有)","200","0","0","3","0",""
"2001009","40级副本券(普通)","200","0","0","2","0",""
"2001010","40级副本券(稀有)","200","0","0","3","0",""
"2001011","50级副本券(普通)","200","0","0","2","0",""
"2001012","50级副本券(稀有)","200","0","0","3","0",""
"2001013","60级副本券(普通)","200","0","0","2","0",""
"2001014","60级副本券(稀有)","200","0","0","3","0",""
"2001020","仙玉礼包","200","0","0","4","1","20040"
"2001021","资源自选包","200","0","0","2","2","10007"
"2001022","中级资源包","200","0","0","3","2","10008"
"2001023","高级资源包","200","0","0","4","2","10009"
"2001024","传奇伙伴(自选)","200","0","0","4","2","10010"
"2001025","卓越伙伴(自选)","200","0","0","3","2","10014"
"2001026","无双伙伴(自选)","200","0","0","5","2","10021"
"2001034","秘境挑战券(稀有)","200","0","0","3","1","20038"
"2001035","秘境挑战券(普通)","200","0","0","2","1","20039"
"2005001","图鉴1","200","1","0","1","0",""
"2005002","图鉴2","200","1","0","1","0",""
"2005003","图鉴3","200","1","0","1","0",""
"2005004","图鉴4","200","1","0","1","0",""
"2005005","图鉴5","200","1","0","1","0",""
"2005006","图鉴6","200","1","0","1","0",""
"2005007","图鉴7","200","1","0","1","0",""
"2005008","图鉴8","200","1","0","1","0",""
"2005009","图鉴9","200","1","0","1","0",""
"2005010","图鉴10","200","1","0","2","0",""
"2005011","图鉴11","200","1","0","2","0",""
"2005012","图鉴12","200","1","0","2","0",""
"2005013","图鉴13","200","1","0","2","0",""
"2005014","图鉴14","200","1","0","2","0",""
"2005015","图鉴15","200","1","0","2","0",""
"2005016","图鉴16","200","1","0","3","0",""
"2005017","图鉴17","200","1","0","3","0",""
"2005018","图鉴18","200","1","0","3","0",""
"2005019","图鉴19","200","1","0","1","0",""
"2005020","图鉴20","200","1","0","1","0",""
"2005021","图鉴21","200","1","0","1","0",""
"2005022","图鉴22","200","1","0","1","0",""
"2005023","图鉴23","200","1","0","1","0",""
"2005024","图鉴24","200","1","0","1","0",""
"2005025","图鉴25","200","1","0","1","0",""
"2005026","图鉴26","200","1","0","1","0",""
"2005027","图鉴27","200","1","0","1","0",""
"2005028","图鉴28","200","1","0","2","0",""
"2005029","图鉴29","200","1","0","2","0",""
"2005030","图鉴30","200","1","0","2","0",""
"2005031","图鉴31","200","1","0","2","0",""
"2005032","图鉴32","200","1","0","2","0",""
"2005033","图鉴33","200","1","0","2","0",""
"2005034","图鉴34","200","1","0","3","0",""
"2005035","图鉴35","200","1","0","3","0",""
"2005036","图鉴36","200","1","0","3","0",""
"2005037","图鉴37","200","1","0","1","0",""
"2005038","图鉴38","200","1","0","1","0",""
"2005039","图鉴39","200","1","0","1","0",""
"2005040","图鉴40","200","1","0","1","0",""
"2005041","图鉴41","200","1","0","1","0",""
"2005042","图鉴42","200","1","0","1","0",""
"2005043","图鉴43","200","1","0","1","0",""
"2005044","图鉴44","200","1","0","1","0",""
"2005045","图鉴45","200","1","0","1","0",""
