"#name BulletEffect","#unique id","","","","","","","","",""
"id","rangeWay","buffs"
"int","string","string"
"*","*","*"
"子弹ID","作用范围","附加buff"
"4001016","2#50#80",""
"4001019","2#50#80",""
"4001020","2#50#80",""
"4001522","2#50#120",""
"4206101","2#50#120",""
"4206201","2#50#120",""
"4206401","2#50#80",""
"4103101","1#50",""
"4204101","2#50#80",""
"4204301","2#100#200","3020001"
"4303101","2#50#80",""
"4303201","2#50#80",""
"4305201","2#100#50",""
"4307101","2#50#80",""
"4307201","2#50#80",""
"4318101","1#50",""
"4318201","2#120#50","4010001"
"4318202","1#50","4010001#1010801"
"4405101","2#50#120",""
"4405201","2#200",""
"4405203","2#200","3010002"
"4406201","2#150#250","2030001"
"4408101","2#50#80",""
"4410101","2#50#80",""
"4411101","1#50",""
"4411201","2#50#80","3010001"
"4411301","1#50",""
"4414101","2#80",""
"4414201","2#120","2010001"
"4414301","2#200#200",""
"4317201","1#50","3010001"
"4312101","2#50#80",""
"4312201","2#50#80",""
"4312301","2#50#80",""
"4412101","1#50",""
"4309101","2#50#80",""
"4309201","2#50#80",""
"4315101","2#50#80",""
"4315201","2#50#80",""
"4314101","2#50#80",""
"4314201","2#50#80",""
"4315302","2#50#80",""
"4321101","2#50#80",""
"4321201","1#50","2020001"
"9999999","2#200#200",""
