"#name SkillLevel","#unique id","#index skillId level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"id","skillId","name","skillType","level","dmgType","specialEffect","targetType","atkRange","actionId","selectType","rangeWay","targetLimit","nailAttr","passiveAttr","fixValue","skillFactor","actionTime","skillTime","cdTime","extraCd","cease","buffMoment","buffs","fighting","skillWarning"
"int","int","lang","int","int","int","string","int","int","int","int","string","int","attr[]","attr[]","int","int","int","int","int","keyv","int","int","buff[]","long","int"
"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"技能ID
4000000+伙伴ID*1000+技能顺序ID+技能等级","技能组ID","名称","技能标签","技能等级","效果类型
1、近战伤害
2、技能伤害
4、附加buff","效果参数
3、治疗：系数类型（1施法者攻击百分比；2目标生命上限百分比）
- 治疗系数在伤害比例字段配置
5、复活：系统类型（1施法者攻击百分比；2目标生命上限百分比）
- 治疗系数在伤害比例字段配置
6、弹射：子弹ID#弹射次数#伤害系数（3000表示30%，打击多少次填多少个）
7、子弹伤害：子弹ID#子弹类型（1矩形；2扇形）#子弹数量#射击方式（1平射；2抛物线）#范围参数（1间隔距离；2夹角）","作用对象
1自己
2己方
3敌方
4己方除自己
99.无(不调用相应技能指令；处理技能1替代普攻类伙伴)","攻击距离
技能攻击距离/像素
距离算施法者和目标的中心点距离","动作名称
0：无动作
1：普攻
2：技能1
3：技能2","目标选择
1：距离最近的目标
2：以自身为中心
3：以目标为中心
4：以受击目标为中心
5：生命最低的单位（百分比）
6：生命最少的单位（生命值）
7：已死亡己方（复活技能使用）","作用范围
格式：范围类型#类型参数
0：读攻击距离
1：圆形，配置格式：1#半径
2：矩形，配置格式：2#宽度#长度
3：扇形，配置格式：3#夹角度数#半径","目标数量上限：

","常驻被动属性","战斗中被动属性","伤害固定值","伤害比例","动作时间：
动作持续时间，与伤害无关；施法动画的长度
","技能时间毫秒：
技能时间不能小于动作时间，否则会导致技能一致持续释放

如果特效播放时间过短，就去看下特效持续时间是否正确
用攻击帧时间+特效时间

","技能冷却","额外触发条件","移动是否停止施法","buff附加时间
1：出手后
2：出手前","附加buff：格式：buff#概率#是否每个帧都附加Buff#目标类型#目标数量|....

目标类型：0与技能目标相同；1自己；2己方；3敌方；4己方除自己
附加buff时间：-1每个攻击帧都会附近，大于0则指定攻击帧触发
目标数量，默认为0不用配置，与目标数量不同时配置

","战力","是否显示技能预警"
"4401101","4401101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","670","720","280","","1","0","","0","0"
"4401201","4401201","昊天一击","2","1","2","","3","100","2","1","0","1","","","0","15000","1170","1220","-1","1#3","1","1","1011001#10000#-1#0|3030001#1000#0#0","0","0"
"4401202","4401201","昊天一击","2","2","2","","3","100","2","1","0","1","","","0","20000","1170","1220","-1","1#3","1","1","1011001#10000#-1#0|3030001#2500#0#0","0","0"
"4401203","4401201","昊天一击","2","3","2","","3","100","2","1","0","1","","","0","25000","1170","1220","-1","1#3","1","1","1011001#10000#-1#0|3030001#5000#0#0","0","0"
"4401301","4401301","昊天神塔","2","1","4","","1","300","3","2","1#150","20","","","0","10000","1080","1130","20000","","2","1","5010001#10000#-1#0|4010003#10000#-1#2#12","0","0"
"4401302","4401301","昊天神塔","2","2","4","","1","300","3","2","1#150","20","","","0","10000","1080","1130","20000","","2","1","5010001#10000#-1#0|4010003#10000#-1#2#12|1010404#10000#-1#2#12","0","0"
"4401303","4401301","昊天神塔","2","3","4","","1","300","3","2","1#150","20","","","0","10000","1080","1130","20000","","2","1","5010002#10000#-1#0|4010004#10000#-1#2#12|1010405#10000#-1#2#12","0","0"
"4402101","4402101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","420","470","530","","1","0","","0","0"
"4402201","4402201","轩辕刃","2","1","2","","3","200","2","2","2#100#200","3","","","0","12000","1130","1180","-1","1#7","1","2","1011002#10000#-1#1","0","0"
"4402202","4402201","轩辕刃","2","2","2","","3","200","2","2","2#100#200","3","","","0","12000","1130","1180","-1","1#7","1","2","1011002#10000#-1#1","0","0"
"4402203","4402201","轩辕刃","2","3","2","","3","200","2","2","2#100#200","3","","","0","12000","1130","1180","-1","1#7","1","2","1011003#10000#-1#1","0","0"
"4402301","4402301","浮空血斩","2","1","2","","3","300","3","2","1#300","10","","","0","20000","920","970","12000","","1","1","2030001#10000#-1#0","0","0"
"4402302","4402301","浮空血斩","2","2","2","","3","300","3","2","1#300","10","","","0","20000","920","970","12000","","1","1","2030001#10000#-1#0","0","0"
"4402303","4402301","浮空血斩","2","3","2","","3","300","3","2","1#300","10","","","0","20000","920","970","12000","","1","1","2030001#10000#-1#0|3040002#10000#-1#0","0","0"
"4403101","4403101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","560","610","390","","1","0","","0","0"
"4403201","4403201","离火出鞘","2","1","2","","3","100","2","1","2#100#400","5","","","0","10000","790","840","-1","1#5","1","0","","0","0"
"4403202","4403201","离火出鞘","2","2","2","","3","100","2","1","2#100#400","5","","","0","10000","790","840","-1","1#5","1","0","","0","0"
"4403203","4403201","离火出鞘","2","3","2","","3","100","2","1","2#100#400","5","","","0","15000","790","840","-1","1#5","1","0","","0","0"
"4403301","4403301","圣炎八荒","2","1","2","","3","100","3","3","3#180#250","10","","","0","20000","830","880","20000","","1","1","2010001#10000#-1#0","0","0"
"4403302","4403301","圣炎八荒","2","2","2","","3","100","3","3","3#180#250","10","","","0","30000","830","880","20000","","1","1","2010001#10000#-1#0","0","0"
"4403303","4403301","圣炎八荒","2","3","2","","3","100","3","3","3#180#250","10","","","0","40000","830","880","20000","","1","1","2010001#10000#-1#0","0","0"
"4404101","4404101","普攻","1","1","1","","3","65","1","1","0","1","","","0","10000","360","410","590","","1","0","","0","0"
"4404102","4404101","普攻","1","2","1","","3","100","1","2","3#180#200","1","","","0","10000","360","410","590","","1","0","","0","0"
"4404103","4404101","普攻","1","3","1","","3","100","1","2","3#180#200","1","","","0","10000","360","410","590","","1","0","","0","0"
"4404201","4404201","阴阳游","2","1","2","","3","100","2","1","3#180#200","6","","","0","10000","500","550","-1","1#7","1","1","2010001#10000#-1#0","0","0"
"4404202","4404201","阴阳游","2","2","2","","3","100","2","1","3#180#200","6","","","0","10000","500","550","-1","1#7","1","1","2010001#10000#-1#0","0","0"
"4404203","4404201","阴阳游","2","3","2","","3","100","2","1","3#180#200","6","","","0","10000","500","550","-1","1#7","1","1","2010001#10000#-1#0","0","0"
"4404301","4404301","碎裂乾坤","2","1","2","","3","100","3","2","1#200","10","","","0","20000","2790","2840","18000","","1","0","","0","0"
"4404302","4404301","碎裂乾坤","2","2","2","","3","100","3","2","1#200","10","","","0","20000","2790","2840","18000","","1","1","2010002#10000#-1#0","0","0"
"4404303","4404301","碎裂乾坤","2","3","2","","3","100","3","2","1#200","10","","","0","20000","2790","2840","13000","","1","1","2010002#10000#-1#0","0","0"
"4405101","4405101","普攻","1","1","7","4405101#1#1#1","3","350","1","1","0","1","","","0","10000","540","800","200","","2","0","","0","0"
"4405201","4405201","天诛","2","1","7","4405201#1#1#1","3","350","2","1","0","1","","","0","30000","1080","1130","-1","1#6","2","0","","0","0"
"4405202","4405201","天诛","2","2","7","4405201#1#1#1","3","350","2","1","0","1","","","0","30000","1080","1130","-1","1#6","2","0","","0","0"
