"#name BattleAttr","#unique id","#index attrName","","","","","",""
"id","attrName","type"
"int","string","int"
"*","*","*"
"属性ID","属性字段名","运算时/xx"
"201","hp","1"
"202","maxHp","1"
"203","atk","1"
"204","def","1"
"205","hpRate","10000"
"206","atkRate","10000"
"207","defRate","10000"
"208","dmgRate","10000"
"209","hit","10000"
"210","dodge","10000"
"211","crit","10000"
"212","critDmgRate","10000"
"213","vampireRate","10000"
"214","reduceDmg","1"
"215","reduceDmgRate","10000"
"216","cdSpdRate","10000"
"217","moveSpd","1"
"218","moveSpdRate","10000"
"219","atkSpd","1"
"220","atkSpdRate","10000"
"221","dmgbl","10000"
"222","dmg","1"
"223","llmaxRate","10000"
"224","lldmgRate","10000"
"225","mjmaxRate","10000"
"226","mjdmgRate","10000"
"227","zlmaxRate","10000"
"228","zldmgRate","10000"
"229","woodDmg","1"
"230","mineDmg","1"
"231","llmax","1"
"232","lldmg","1"
"233","mjmax","1"
"234","mjdmg","1"
"235","zlmax","1"
"236","zldmg","1"
"237","battleRange","1"
"238","llpvedmg","10000"
"239","mjpvedmg","10000"
"240","zlpvedmg","10000"
"241","pvedmg","10000"
"242","fovRange","1"
"243","reducecrit","10000"
"301","hpBrate","10000"
"302","atkBrate","10000"
