"#name RechargeProduct","#unique id","#collector productType","","","","","","","","","","",""
"id","name","productType","productParam","money","productCode","rewards","firstRewards","noble","describe"
"int","lang","int","string","long","string","reward[]","reward[]","reward","string"
"*","*","*","*","*","*","*","*","*","S"
"充值商品ID","商品名称","商品逻辑类型","商品充值参数","金额单位分","商品编码","充值奖励","首充额外奖励","贵族经验奖励","商品描述"
"1001","6元充值","1","","600","AA.sss.6","1#500|2#120","1#100|2#200","7#60","A"
"1002","18元充值","1","","1800","AA.sss.18","1#1000|2#360","1#100|2#200","7#180","B"
"1003","648充值","1","","64800","AA.sss.648","1#15000|2#12960","1#100|2#200","7#6480","C"
"2001","轰隆隆通行证","2","1001001","12800","AA.sss.128","1#15000|2#2500","","7#1280","A"
"3001","永久卡","3","","12800","AA.sss.128","1#15000|2#2500","","7#1280","B"
"4001","每日首充","4","1","1800","AA.sss.18","2#210|2001024#60|5#100|2000001#1|2000008#50|7#210","","","C"
"4002","每日特惠","4","0","300","AA.sss.3","2#30|2001024#10|5#100|7#30","","","A"
"4003","超值礼包","4","0","600","AA.sss.6","2#60|2001024#20|2000001#1|7#60","","","B"
"4004","特惠豪礼","4","0","1200","AA.sss.12","2#120|2001024#30|2000008#50|7#120","","","C"
"5501","珍宝阁-仙玉","5","","600","AA.sss.6","2#60","2#60","7#60","A"
"5502","珍宝阁-仙玉","5","","3000","AA.sss.30","2#300","2#300","7#300","B"
"5503","珍宝阁-仙玉","5","","6800","AA.sss.68","2#680","2#680","7#680","C"
"5504","珍宝阁-仙玉","5","","12800","AA.sss.128","2#1280","2#1280","7#1280","A"
"5505","珍宝阁-仙玉","5","","32800","AA.sss.328","2#3280","2#3280","7#3280","B"
"5506","珍宝阁-仙玉","5","","64800","AA.sss.648","2#6480","2#6480","7#6480","C"
"5601","秘境-卷轴礼包","5","","600","AA.sss.6","2#60|1#100|2001003#10|7#60","","",""
"5602","法宝-超值礼包","5","","600","AA.sss.6","2#60|1#100|2000008#50|7#60","","",""
"5603","伙伴-招募礼包","5","","3000","AA.sss.30","2#300|1#1500|5#1000|7#300","","",""
"5604","伙伴-升星礼包","5","","3000","AA.sss.30","2#300|1#300|2000008#20|7#300","","",""
