"#name MainlineTreasureBox","#unique idx","#index type typeArg","#collector type","",""
"idx","type","typeArg","reward"
"int","int","int","int[]"
"*","*","*","S"
"序号","宝箱类型","类型参数","宝箱奖励"
"3","2","4","501501#501502#501503#501504#501505"
"4","2","6","501501#501502#501503#501504#501505"
"5","2","7","501501#501502#501503#501504#501505"
"6","2","9","502001#502002#502003#502004#502005"
"7","2","10","502001#502002#502003#502004#502005"
"8","2","12","502501#502502#502503#502504#502505"
"9","2","13","502501#502502#502503#502504#502505"
"10","2","15","503001#503002#503003#503004#503005"
"11","2","16","503001#503002#503003#503004#503005"
"12","2","17","503001#503002#503003#503004#503005"
"13","2","18","503001#503002#503003#503004#503005"
"14","2","19","503501#503502#503503#503504#503505"
"15","2","20","503501#503502#503503#503504#503505"
"16","2","21","504001#504002#504003#504004#504005"
"17","2","22","504001#504002#504003#504004#504005"
"18","2","23","504501#504502#504503#504504#504505"
"19","2","24","505001#505002#505003#505004#505005"
"20","2","25","505001#505002#505003#505004#505005"
"21","1","7000901","400501#400502#400503"
"22","1","7000902","400504#400505#400506"
"23","1","7000903","401001#401002#401003#401004#401005#401006#401007"
"24","1","7000904","401501#401502#401503#401504#401505#401506#401507"
"25","1","7000905","401501#401502#401503#401504#401505#401506#401507"
"26","1","7000906","402001#402002#402003#402004#402005#402006#402007"
"27","1","7000907","402501#402502#402503#402504#402505#402506#402507"
"28","1","7000908","402501#402502#402503#402504#402505#402506#402507"
"29","1","7000909","403001#403002#403003#403004#403005#403006#403007"
"30","1","7000910","403501#403502#403503#403504#403505#403506#403507"
"31","1","7000911","403501#403502#403503#403504#403505#403506#403507"
"32","1","7000912","404001#404002#404003#404004#404005#404006#404007"
"33","1","7000913","404501#404502#404503#404504#404505#404506#404507"
"34","1","7000914","405001#405002#405003#405004#405005#405006#405007"
"35","1","7000915","405501#405502#405503#405504#405505#405506#405507"
"36","1","7000916","406001#406002#406003#406004#406005#406006#406007"
