"#name AchievementTask","#unique id","#index preTask","#collector taskType","","",""
"id","preTask","taskType","taskParams","taskTargetNum","rewards"
"int","int","string","int[]","long","reward[]"
"*","*","*","*","*","*"
"任务ID","前置任务","任务类型","任务参数","任务完成目标数量","奖励"
"1001","0","LOGIN","","2","101#10|1#50"
"1002","1001","LOGIN","","4","101#10|1#50"
"1003","1002","LOGIN","","6","101#10|1#50"
"1004","1003","LOGIN","","8","101#10|1#50"
"1005","1004","LOGIN","","10","101#10|1#100"
"1006","1005","LOGIN","","12","101#10|1#100"
"1007","1006","LOGIN","","14","101#10|1#100"
"1008","1007","LOGIN","","16","101#10|1#100"
"1009","1008","LOGIN","","18","101#10|1#100"
"1010","1009","LOGIN","","20","101#10|1#200"
"1011","1010","LOGIN","","30","101#10|1#300"
"1012","1011","LOGIN","","40","101#10|1#400"
"1013","1012","LOGIN","","50","101#10|1#500"
"1014","1013","LOGIN","","60","101#10|1#500"
"1015","1014","LOGIN","","70","101#10|1#500"
"1016","1015","LOGIN","","80","101#10|1#500"
"1017","1016","LOGIN","","90","101#10|1#500"
"1018","1017","LOGIN","","100","101#10|1#500"
"1019","1018","LOGIN","","110","101#10|1#500"
"1020","1019","LOGIN","","120","101#10|1#500"
"1021","1020","LOGIN","","130","101#10|1#500"
"1022","1021","LOGIN","","140","101#10|1#500"
"1023","1022","LOGIN","","150","101#10|1#500"
"1024","1023","LOGIN","","160","101#10|1#500"
"1025","1024","LOGIN","","170","101#10|1#500"
"1026","1025","LOGIN","","180","101#10|1#500"
"1027","1026","LOGIN","","190","101#10|1#500"
"1028","1027","LOGIN","","200","101#10|1#500"
"1029","1028","LOGIN","","210","101#10|1#500"
"1030","1029","LOGIN","","220","101#10|1#500"
"1031","1030","LOGIN","","230","101#10|1#500"
"1032","1031","LOGIN","","240","101#10|1#500"
"1033","1032","LOGIN","","250","101#10|1#500"
"1034","1033","LOGIN","","260","101#10|1#500"
"1035","1034","LOGIN","","270","101#10|1#500"
"1036","1035","LOGIN","","280","101#10|1#500"
"1037","1036","LOGIN","","290","101#10|1#500"
"1038","1037","LOGIN","","300","101#10|1#500"
"1039","1038","LOGIN","","310","101#10|1#500"
"1040","1039","LOGIN","","320","101#10|1#500"
"1041","1040","LOGIN","","330","101#10|1#500"
"1042","1041","LOGIN","","340","101#10|1#500"
"1043","1042","LOGIN","","350","101#10|1#500"
"1044","1043","LOGIN","","360","101#10|1#500"
"1101","0","ROLE_LEVEL","","10","101#10|7#30"
"1102","1101","ROLE_LEVEL","","15","101#10|7#30"
"1103","1102","ROLE_LEVEL","","20","101#10|7#30"
"1104","1103","ROLE_LEVEL","","25","101#10|7#30"
"1105","1104","ROLE_LEVEL","","30","101#10|7#30"
"1106","1105","ROLE_LEVEL","","35","101#10|7#30"
"1107","1106","ROLE_LEVEL","","40","101#10|7#30"
"1108","1107","ROLE_LEVEL","","50","101#10|7#30"
"1109","1108","ROLE_LEVEL","","60","101#10|7#30"
"1110","1109","ROLE_LEVEL","","70","101#10|7#30"
"1111","1110","ROLE_LEVEL","","80","101#10|7#30"
"1112","1111","ROLE_LEVEL","","90","101#10|7#30"
"1113","1112","ROLE_LEVEL","","100","101#10|7#30"
"1114","1113","ROLE_LEVEL","","110","101#10|7#30"
"1115","1114","ROLE_LEVEL","","120","101#10|7#30"
"1116","1115","ROLE_LEVEL","","130","101#10|7#30"
"1117","1116","ROLE_LEVEL","","140","101#10|7#30"
"1118","1117","ROLE_LEVEL","","150","101#10|7#30"
"1119","1118","ROLE_LEVEL","","160","101#10|7#30"
"1120","1119","ROLE_LEVEL","","170","101#10|7#30"
"1121","1120","ROLE_LEVEL","","180","101#10|7#30"
"1122","1121","ROLE_LEVEL","","190","101#10|7#30"
"1123","1122","ROLE_LEVEL","","200","101#10|7#30"
"1124","1123","ROLE_LEVEL","","210","101#10|7#30"
"1125","1124","ROLE_LEVEL","","220","101#10|7#30"
"1126","1125","ROLE_LEVEL","","230","101#10|7#30"
"1127","1126","ROLE_LEVEL","","240","101#10|7#30"
"1128","1127","ROLE_LEVEL","","250","101#10|7#30"
"1201","0","ROLE_LEVEL","","5","101#5|4#10"
"1202","1201","ROLE_LEVEL","","10","101#5|4#10"
"1203","1202","ROLE_LEVEL","","15","101#5|4#10"
"1204","1203","ROLE_LEVEL","","20","101#5|4#10"
"1205","1204","ROLE_LEVEL","","25","101#5|4#10"
"1206","1205","ROLE_LEVEL","","30","101#5|4#10"
"1207","1206","ROLE_LEVEL","","35","101#5|4#10"
"1208","1207","ROLE_LEVEL","","40","101#5|4#10"
"1209","1208","ROLE_LEVEL","","45","101#5|4#10"
"1210","1209","ROLE_LEVEL","","50","101#5|4#10"
"1211","1210","ROLE_LEVEL","","55","101#5|4#10"
"1212","1211","ROLE_LEVEL","","60","101#5|4#10"
"1213","1212","ROLE_LEVEL","","65","101#5|4#10"
"1214","1213","ROLE_LEVEL","","70","101#5|4#10"
"1215","1214","ROLE_LEVEL","","75","101#5|4#10"
"1216","1215","ROLE_LEVEL","","80","101#5|4#10"
"1217","1216","ROLE_LEVEL","","85","101#5|4#10"
"1218","1217","ROLE_LEVEL","","90","101#5|4#10"
"1219","1218","ROLE_LEVEL","","95","101#5|4#10"
"1220","1219","ROLE_LEVEL","","100","101#5|4#10"
"1221","1220","ROLE_LEVEL","","105","101#5|4#10"
"1222","1221","ROLE_LEVEL","","110","101#5|4#10"
"1223","1222","ROLE_LEVEL","","115","101#5|4#10"
"1224","1223","ROLE_LEVEL","","120","101#5|4#10"
"1225","1224","ROLE_LEVEL","","125","101#5|4#10"
"1226","1225","ROLE_LEVEL","","130","101#5|4#10"
"1227","1226","ROLE_LEVEL","","135","101#5|4#10"
"1228","1227","ROLE_LEVEL","","140","101#5|4#10"
"1229","1228","ROLE_LEVEL","","145","101#5|4#10"
"1230","1229","ROLE_LEVEL","","150","101#5|4#10"
"1301","0","ROLE_LEVEL","","2","101#10|1#100"
"1302","1301","ROLE_LEVEL","","4","101#10|1#100"
