"#name ItemRandomPack","#unique id","","#collector group",""
"id","group","weight","reward"
"int","int","int","randItem[]"
"*","*","S","*"
"序号","掉落组ID"," 权重","掉落奖励(概率#道具id#数量|)"
"1","1","1","2500#1#6|2500#4#60|2500#5#90|2500#6#30"
"2","2","1","2500#1#6|2500#4#60|2500#5#90|2500#6#30"
"3","3","1","10000#5#1"
"4","101","1","5000#1#1"
"5","101","1","48#2003033#1|24#2003034#1"
"6","102","1","10000#2003035#1"
"7","102","1","10000#2000001#1"
"8","102","1","10000#1#250"
"9","103","1","10000#1#500"
"10","103","1","48#2003036#1|24#2003037#1"
"11","104","1","10000#2003037#1"
"12","104","1","5000#2000001#1"
"13","104","1","10000#1#250"
"14","105","1","5000#1#1"
"15","105","1","48#2003020#1|24#2003021#1"
"16","106","1","10000#2003021#1"
"17","106","1","5000#2000001#1"
"18","106","1","10000#1#250"
"19","107","1","5000#1#1"
"20","107","1","48#2003026#1|24#2003027#1"
"21","108","1","10000#2003027#1"
"22","108","1","5000#2000001#1"
"23","108","1","10000#1#250"
"24","109","1","5000#1#1"
"25","109","1","48#2003029#1|24#2003030#1"
"26","110","1","10000#2003030#1"
"27","110","1","5000#2000001#1"
"28","110","1","10000#1#250"
"29","201","2000","2500#1#6|2500#4#60|2500#5#90|2500#6#30"
"30","201","2000","2500#1#6|2500#4#60|2500#5#90|2500#6#30"
"31","301","1","10000#1#100"
"32","302","1","10000#2#100"
"33","303","2000","5000#1#6|5000#4#60"
"34","1001","1","10000#2001003#1"
"35","1002","1","10000#2001005#1"
"36","1003","1","10000#2001007#1"
"37","1004","1","10000#2001009#1"
"38","1005","1","10000#20010011#1"
"39","1006","1","10000#20010011#1"
"40","400501","1","1200#5#30|600#5#40|300#5#80|1200#4#35|600#4#45|300#4#90|1200#6#25|600#6#35|300#6#70|2000#1#28|1100#1#45|600#1#60"
"41","400502","1","500#1030020#1|9500#1020007#1"
"42","400503","1","3000#1#1|2000#1#2"
"43","400504","1","2500#2001003#1|1000#2001003#1"
"44","400505","1","500#1030020#1|9500#1020004#1"
"45","400506","1","3000#1#1|2000#1#2"
"46","400507","1","400#3001012#1|400#3001011#1|400#3001013#1|400#3001014#1|400#3001015#1|400#3001016#1"
"47","401001","1","1200#5#32|600#5#44|300#5#88|1200#4#38|600#4#49|300#4#99|1200#6#27|600#6#38|300#6#77|2000#1#30|1100#1#48|600#1#66"
"48","401002","1","400#3001012#1|400#3001011#1|400#3001013#1|400#3001014#1|400#3001015#1|400#3001016#1"
"49","401003","1","2500#2000008#10"
"50","401004","1","2500#2001003#1|1000#2001003#2"
"51","401005","1","100#3001022#1|100#3001021#1|100#3001023#1|100#3001024#1|100#3001025#1|100#3001026#1"
"52","401006","1","1000#1#26|500#1#32|250#1#38"
"53","401007","1","400#3001012#1|400#3001011#1|400#3001013#1|400#3001014#1|400#3001015#1|400#3001016#1"
"54","401501","1","1200#5#34|600#5#48|300#5#96|1200#4#41|600#4#53|300#4#108|1200#6#29|600#6#41|300#6#84|2000#1#32|1100#1#51|600#1#72"
"55","401502","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
"56","401503","1","2500#2000008#10"
"57","401504","1","2500#2001003#1|1000#2001003#3"
"58","401505","1","100#3002022#1|100#3002021#1|100#3002023#1|100#3002024#1|100#3002025#1|100#3002026#1"
"59","401506","1","1000#1#27|500#1#34|250#1#41"
"60","401507","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
"61","402001","1","1200#5#36|600#5#52|300#5#104|1200#4#44|600#4#57|300#4#117|1200#6#31|600#6#44|300#6#91|2000#1#34|1100#1#54|600#1#78"
"62","402002","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
"63","402003","1","2500#2000008#10"
"64","402004","1","2500#2001003#1|1000#2001003#3"
"65","402005","1","100#3002022#1|100#3002021#1|100#3002023#1|100#3002024#1|100#3002025#1|100#3002026#1"
"66","402006","1","1000#1#28|500#1#36|250#1#44"
"67","402007","1","400#3002012#1|400#3002011#1|400#3002013#1|400#3002014#1|400#3002015#1|400#3002016#1"
