"#name GmDefine","#unique idx","#collector funcIdx","","","","","",""
"idx","funcIdx","gmName","example"
"int","int","string","string"
"*","*","*","*"
"序号","功能序号","GM指令","调用示例，注意参数之间有英文空格"
"1","1","ADD_PROP","ADD_PROP"
"2","1","ADD_RES","ADD_RES"
"3","1","ADD_ITEM 3","ADD_ITEM 3 经验值"
"4","1","LEVEL_UP","LEVEL_UP 等级"
"5","1","ADD_ITEM 1","ADD_ITEM 1 金币数量"
"6","1","ADD_ITEM 2","ADD_ITEM 2 钻石数量"
"7","1","ADD_ITEM 6","ADD_ITEM 2 矿数量"
"8","1","ADD_ITEM 5","ADD_ITEM 5 精元数量"
"9","1","ADD_ITEM 4","ADD_ITEM 4 木材数量"
"10","1","OPEN_SERVER_TIME","OPEN_SERVER_TIME 日期时间"
"11","1","SERVER_TIME","SERVER_TIME"
"12","1","EDIT_SERVER_TIME","EDIT_SERVER_TIME 日期时间"
"13","2","ADD_ITEM","ADD_ITEM 道具ID 数量"
"14","2","COST_ITEM","COST_ITEM 物品ID 物品数量"
"15","2","ALL_ITEM","ALL_ITEM"
"16","2","COST_ALL_ITEM","COST_ALL_ITEM"
"17","3","ALL_HERO","ALL_HERO"
"18","3","HERO_MAXLV","HERO_MAXLV"
"19","3","ADD_CURR_HERO","ADD_CURR_HERO"
"20","3","RECRUIT_RESET","RECRUIT_RESET"
"21","4","SED_MAIL","SED_MAIL"
"22","5","ALL_EQUIP","ALL_EQUIP"
"23","5","COST_ALL_EQUIP","COST_ALL_EQUIP"
"24","5","TAKE_OFF_EQUIP","TAKE_OFF_EQUIP"
"25","6","EVIL_SPEED_UP","EVIL_SPEED_UP 位置 分钟"
"26","6","EVIL_CLEAR","EVIL_CLEAR"
"27","6","EVIL_SET_LEVEL","EVIL_SET_LEVEL 妖录ID 等级"
"28","6","EVIL_ACTIVE_ALL","EVIL_ACTIVE_ALL"
"29","6","EVIL_SET_ALL_LEVEL","EVIL_SET_ALL_LEVEL 等级"
"30","7","PURGATORY_SKIP_LEVEL","PURGATORY_SKIP_LEVEL 关卡数"
"31","8","ML_TASK_FIN","ML_TASK_FIN"
"32","8","ML_TASK_JUMP","ML_TASK_JUMP 任务ID"
"33","8","ML_OPEN_ALL","ML_OPEN_ALL 主线大陆ID"
"34","8","ML_SPAWN_MONSTER","ML_SPAWN_MONSTER 区域ID 怪物ID X坐标 Y坐标"
"35","8","TOWER_LAYER","TOWER_LAYER 塔类型 层数"
"36","9","DAILY_ADD_POINT","DAILY_ADD_POINT 日活点数"
"37","9","WEEKLY_ADD_POINT","WEEKLY_ADD_POINT 周活点数"
"38","9","DAILY_FIN_ALL","DAILY_FIN_ALL"
"39","9","WEEKLY_FIN_ALL","WEEKLY_FIN_ALL"
"40","9","DW_FIN_ONE","DW_FIN_ONE 日常周常任务ID"
"41","10","COMPLETE_ALL_DUNGEON","COMPLETE_ALL_DUNGEON"
"42","11","FUNC_REMOVE","FUNC_REMOVE 功能ID"
"43","11","FUNC_ALLOPEN","FUNC_ALLOPEN"
"44","11","GUIDE_SKIP","GUIDE_SKIP"
