"#name FunctionOpen","#unique id","","","","","","","","","","","",""
"id","openCondition","hide"
"int","keyv[]","int"
"*","*","S"
"功能ID","开启条件","屏蔽充值"
"10001","1#5","0"
"10002","1#999","0"
"10004","1#1","0"
"10005","1#20","0"
"10006","6#10015","0"
"10007","1#5","0"
"10008","6#10028","0"
"10009","1#5","0"
"10010","6#10032","0"
"10011","6#10016","0"
"10012","6#10016","0"
"10013","6#10064","0"
"10014","1#1","0"
"10015","6#10009","0"
"10016","6#10013","0"
"10017","6#10013","0"
"10019","6#10022","0"
"10020","6#10059","0"
"10021","6#10089","0"
"10022","1#1","0"
"10023","1#22","0"
"10024","1#999","0"
"10025","6#10054","0"
"10026","1#999","0"
"10027","1#999","0"
"10028","1#999","0"
"10029","6#10039","0"
"10030","1#999","0"
"10031","1#999","0"
"10032","6#10039","0"
"10033","6#10016","0"
"10034","1#999","0"
"10035","1#999","0"
"10036","1#999","0"
"10037","1#999","0"
"10039","6#10032","0"
"10040","6#10032","0"
"10041","6#10032","0"
"10042","1#999","0"
"10043","6#10018","1"
"10044","6#10018","1"
"10045","1#7","1"
"10046","1#7","1"
"10047","1#7","1"
"10048","6#10027","1"
"10049","6#10018","1"
"10050","1#7","0"
"10051","6#10030","0"
"10052","1#999","0"
"10053","1#999","0"
"10054","1#7","0"
"10055","3#5","0"
"10056","6#10030","1"
"10057","1#5","0"
"10058","1#1","1"
"10059","6#10009","0"
"10060","6#10030","1"
"10061","6#10048","0"
"10062","1#999","0"
