"#name Monster","#unique id","","","","","","","","","","","","","","","","","","","","","","","",""
"id","name","identity","scale","level","type","attribute","maxHurt","refreshTime","huntingRange","chaseRange","outOfRange","revitalize","produce","randomProduce","skills","superArmor","fighting"
"int","lang","int","int","int","int","attr[]","int","int","int","int","int","string","reward","int[]","keyv[]","string","long"
"*","*","*","*","*","*","*","*","*","*","*","*","*","*","S","*","*","*"
"怪物ID","怪物名称(程序字)","怪物模型","放大系数","等级","类型","怪物属性","最高扣血","刷新时间秒","寻敌范围","追击范围","脱战范围","脱战回血效率","击杀固定产出","随机掉落组","怪物技能","霸体状态","怪物战力"
"7000001","人参果","7000005","85","1","1","202#26|203#1|217#250","0","60","50","1200","1200","","3#8","3","","","120"
"7000002","野猪","7000006","90","1","1","202#26|203#1|217#250","0","60","450","450","1200","","3#8","3","4001006#1","","120"
"7000003","巡海蛟","7000503","110","1","3","202#800|203#1|217#250","0","-1","450","450","1200","","3#8","3","4001510#1|4001511#1","","120"
"7000005","狐狸","7000002","85","2","1","202#32|203#1|217#250","0","60","450","450","1200","","3#8","3","4001002#1","","120"
"7000006","野猪","7000006","90","3","1","202#77|203#1|217#250","0","60","450","450","1200","","3#8","3","4001006#1","","189"
"7000007","竹子怪","7000013","85","3","1","202#77|203#1|217#250","0","60","450","450","1200","","3#8","3","4001013#1","","189"
"7000011","蛙妖","7000010","85","6","1","202#89|203#2|217#250|211#1000|243#1000|209#1000|210#1000","0","60","450","450","1200","","3#22","3","4001010#1","","269"
"7000012","青蛇","7000009","75","7","1","202#97|203#2|217#250|211#1040|243#1040|209#1040|210#1040","0","60","450","450","1200","","3#25","3","4001009#1","","529"
"7000013","花妖","7000020","75","8","1","202#104|203#8|217#250|211#1080|243#1080|209#1080|210#1080","0","60","450","450","1200","","3#22","3","4001020#1","","449"
"7000015","虾兵","7000008","85","8","1","202#62|203#4|217#250|211#1080|243#1080|209#1080|210#1080","0","60","450","450","1200","","3#25","3","4001008#1","","529"
"7000016","鱼妖","7000011","85","9","1","202#112|203#5|217#250|211#1120|243#1120|209#1120|210#1120","0","60","450","450","1200","","3#25","3","4001011#1","","649"
"7000019","野猪","7000006","90","10","1","202#119|203#8|217#250|211#1160|243#1160|209#1160|210#1160","0","60","450","450","1200","","3#31","3","4001006#1","","649"
