"#name ActivityRewards","#unique id","#collector templateId","","","","","","",""
"id","templateId","index","taskType","taskParams","taskTargetNum","selectRewards","rewards","desc"
"int","int","int","string","int[]","long","reward[]","reward[]","lang"
"*","*","*","*","*","*","*","*","*"
"任务ID","活动ID","显示顺序","任务类型","任务参数","任务完成目标数量","自选奖励","固定奖励","描述"
"4001","1010004","1","ACCUMULATE_RECHARGE","","1000","","2#10|1040001#10","累计充值10元"
"4002","1010004","2","ACCUMULATE_RECHARGE","","3000","","2#20|1040001#10","累计充值30元"
"4003","1010004","3","ACCUMULATE_RECHARGE","","8000","","2#30|1040001#15","累计充值80元"
"4004","1010004","4","ACCUMULATE_RECHARGE","","15000","","2#50|1040001#20","累计充值150元"
"4005","1010004","5","ACCUMULATE_RECHARGE","","30000","","2#100|1040001#25","累计充值300元"
"4006","1010004","6","ACCUMULATE_RECHARGE","","60000","","2#300|1040001#30","累计充值600元"
"4007","1010004","7","ACCUMULATE_RECHARGE","","100000","","2#500|1040001#30","累计充值1000元"
"4008","1010004","8","ACCUMULATE_RECHARGE","","200000","","2#1000|1040001#35","累计充值2000元"
"4009","1010004","9","ACCUMULATE_RECHARGE","","300000","","2#1000|1040001#35","累计充值3000元"
"4010","1010004","10","ACCUMULATE_RECHARGE","","400000","","2#1000|1040001#40","累计充值4000元"
"4011","1010004","11","ACCUMULATE_RECHARGE","","500000","","2#1000|1040001#40","累计充值5000元"
"4012","1010004","12","ACCUMULATE_RECHARGE","","600000","","2#1000|1040001#50","累计充值6000元"
"1001","1010001","1","RECRUIT_NUM","","10","","1#20|1040007#5","累计伙伴招募10次"
"1002","1010001","2","RECRUIT_NUM","","30","","1#40|1040007#10","累计伙伴招募30次"
"1003","1010001","3","RECRUIT_NUM","","60","","1#60|1040007#10","累计伙伴招募60次"
"1004","1010001","4","RECRUIT_NUM","","100","","1#80|1040007#15","累计伙伴招募100次"
"1005","1010001","5","RECRUIT_NUM","","150","","1#100|1040007#15","累计伙伴招募150次"
"1006","1010001","6","RECRUIT_NUM","","220","","1#140|1040007#20","累计伙伴招募220次"
"1007","1010001","7","RECRUIT_NUM","","350","","1#260|1040007#20","累计伙伴招募350次"
"1008","1010001","8","RECRUIT_NUM","","500","","1#300|1040007#20","累计伙伴招募500次"
"1009","1010001","9","RECRUIT_NUM","","700","","1#400|1040007#20","累计伙伴招募700次"
"1010","1010001","10","RECRUIT_NUM","","1000","","1#600|1040007#30","累计伙伴招募1000次"
"101001","1010101","1","RECRUIT_NUM","","10","","1#20|2001024#5","累计伙伴招募10次"
"101002","1010101","2","RECRUIT_NUM","","30","","1#40|2001024#10","累计伙伴招募30次"
"101003","1010101","3","RECRUIT_NUM","","60","","1#60|2001024#10","累计伙伴招募60次"
"101004","1010101","4","RECRUIT_NUM","","100","","1#80|2001024#15","累计伙伴招募100次"
"101005","1010101","5","RECRUIT_NUM","","150","","1#100|2001024#15","累计伙伴招募150次"
"101006","1010101","6","RECRUIT_NUM","","220","","1#140|2001024#20","累计伙伴招募220次"
"101007","1010101","7","RECRUIT_NUM","","350","","1#260|2001024#20","累计伙伴招募350次"
"101008","1010101","8","RECRUIT_NUM","","500","","1#300|2001024#20","累计伙伴招募500次"
"101009","1010101","9","RECRUIT_NUM","","700","","1#400|2001024#20","累计伙伴招募700次"
"101010","1010101","10","RECRUIT_NUM","","1000","","1#600|2001024#30","累计伙伴招募1000次"
