"#name ActiveRankRewards","#unique id","#collector activeId","",""
"id","activeId","rankUp","rankDown","rewards"
"int","int","int","int","reward[]"
"*","*","*","*","*"
"序号","活动id","排名上限","排名下限","排名奖励"
"1","1008001","1","1","1040006#300|1#5000|5#5000"
"2","1008001","2","2","1040006#250|1#4000|5#4000"
"3","1008001","3","3","1040006#200|1#3000|5#3000"
"4","1008001","4","10","1040006#100|1#2500|5#2500"
"5","1008001","11","20","1040006#75|1#2000|5#2000"
"6","1008001","21","50","1040006#50|1#1000|5#1000"
"7","1008001","51","0","1040006#25|1#500|5#500"
"8","1008002","1","1","1040006#300|1#5000|5#5000"
"9","1008002","2","2","1040006#250|1#4000|5#4000"
"10","1008002","3","3","1040006#200|1#3000|5#3000"
"11","1008002","4","10","1040006#100|1#2500|5#2500"
"12","1008002","11","20","1040006#75|1#2000|5#2000"
"13","1008002","21","50","1040006#50|1#1000|5#1000"
"14","1008002","51","0","1040006#25|1#500|5#500"
"15","1008003","1","1","1040006#300|1#5000|5#5000"
"16","1008003","2","2","1040006#250|1#4000|5#4000"
"17","1008003","3","3","1040006#200|1#3000|5#3000"
"18","1008003","4","10","1040006#100|1#2500|5#2500"
"19","1008003","11","20","1040006#75|1#2000|5#2000"
"20","1008003","21","50","1040006#50|1#1000|5#1000"
"21","1008003","51","0","1040006#25|1#500|5#500"
"22","1008101","1","1","2001026#300|2#1000|1#10000|5#30000"
"23","1008101","2","2","2001024#250|2#800|1#8000|5#25000"
"24","1008101","3","3","2001024#200|2#500|1#6000|5#20000"
"25","1008101","4","10","2001025#200|1#4000|5#15000"
"26","1008101","11","20","2001025#150|1#3000|5#10000"
"27","1008101","21","50","2003016#100|1#2000|5#5000"
"28","1008101","51","0","2003018#100|1#1000|5#3000"
"29","1008102","1","1","2001026#300|2#1000|1#10000|5#30000"
"30","1008102","2","2","2001024#250|2#800|1#8000|5#25000"
"31","1008102","3","3","2001024#200|2#500|1#6000|5#20000"
"32","1008102","4","10","2001025#200|1#4000|5#15000"
"33","1008102","11","20","2001025#150|1#3000|5#10000"
"34","1008102","21","50","2003016#100|1#2000|5#5000"
"35","1008102","51","0","2003018#100|1#1000|5#3000"
"36","1008103","1","1","2001026#300|2#1000|1#10000|5#30000"
"37","1008103","2","2","2001024#250|2#800|1#8000|5#25000"
"38","1008103","3","3","2001024#200|2#500|1#6000|5#20000"
"39","1008103","4","10","2001025#200|1#4000|5#15000"
"40","1008103","11","20","2001025#150|1#3000|5#10000"
"41","1008103","21","50","2003016#100|1#2000|5#5000"
"42","1008103","51","0","2003018#100|1#1000|5#3000"
