"#name ActiveTemplate","#unique id","#collector logicType","","","","","","","","","","","","","","","","","","","",""
"id","logicType","name","crossType","status","startTime","endTime","opType","openParams","openDuration","openPeriod","openDay","content2","channelId","minLevel","hide"
"int","int","string","int","int","string","string","int","int[]","int","int[]","int","lang","string","int","int"
"*","*","S","*","*","*","*","S","*","*","*","*","*","*","*","S"
"活动ID（唯一）","活动逻辑分类","活动名称","跨服类型","是否开启","开始时间","结束时间","活动类型","活动参数","持续天数","开启周期","开服天数 ","拓展字段2","渠道ID","最小等级","屏蔽充值"
"1001001","1001","循环活动-活跃战令","0","1","","","2","13001#10","0","30#0","1","","","7","1"
"1002001","1002","等级战令","0","1","","","1","14001","999","","1","","","15","1"
"1002004","1002","循环活动-招募战令","0","1","","","2","14004","0","15#0","1","","","10","1"
"1008001","1008","开服活动-伙伴战力榜","0","1","","","1","1#3#2100801","7","","1","伙伴总战力","","7","0"
"1009001","1009","开服活动-伙伴直购","0","1","","","1","","7","","1","","","7","1"
"1010004","1010","开服活动-累计充值","0","0","","","1","1#1","7","","1","","","999","1"
"1011001","1011","开服活动-每日充值","0","1","","","1","","7","","1","","","7","1"
"1010001","1010","开服活动-伙伴目标","0","1","","","1","1#1","7","","1","","","7","0"
"1008101","1008","周主题-伙伴招募榜","0","1","","","2","2#8#2100804","0","7#21","8","招募次数","","7","0"
"1009101","1009","周主题-伙伴直购","0","1","","","2","","0","7#21","8","","","7","1"
"1010101","1010","周主题-伙伴目标","0","1","","","2","2#4","0","7#21","8","","","7","0"
