"#name HomeProducePool","#unique id","#index buildingId level","","","","","",""
"id","buildingId","level","upCost","maxStore","produceGap","produceType","produce"
"int","int","int","cost","long","int","int","long"
"*","*","*","*","*","*","*","*"
"序号","建筑物ID","资源池等级","升级消耗","最大容量","产出间隔秒","产出的道具ID","每个时间间隔产出的数量"
"1","200","1","4#100","100","900","4","10"
"2","200","2","4#200","100","810","4","10"
"3","200","3","4#300","150","810","4","10"
"4","200","4","4#400","150","720","4","10"
"5","200","5","4#500","200","720","4","10"
"6","200","6","4#600","200","630","4","10"
"7","200","7","4#700","250","630","4","10"
"8","200","8","4#800","250","540","4","10"
"9","200","9","4#900","300","540","4","10"
"10","200","10","4#1000","300","450","4","10"
"11","200","11","4#1500","350","450","4","10"
"12","200","12","4#2000","400","450","4","10"
"13","200","13","4#2500","450","450","4","10"
"14","200","14","4#3000","500","450","4","10"
"15","200","15","4#3500","550","450","4","10"
"16","200","16","","600","450","4","10"
"17","201","1","4#100","50","900","6","5"
"18","201","2","4#200","50","810","6","5"
"19","201","3","4#300","75","810","6","5"
"20","201","4","4#400","75","720","6","5"
"21","201","5","4#500","100","720","6","5"
"22","201","6","4#600","100","630","6","5"
"23","201","7","4#700","125","630","6","5"
"24","201","8","4#800","125","540","6","5"
"25","201","9","4#900","150","540","6","5"
"26","201","10","4#1000","150","450","6","5"
"27","201","11","4#1500","175","450","6","5"
"28","201","12","4#2000","200","450","6","5"
"29","201","13","4#2500","225","450","6","5"
"30","201","14","4#3000","250","450","6","5"
"31","201","15","4#3500","275","450","6","5"
"32","201","16","","300","450","6","5"
"33","202","1","4#100","10","900","1","5"
"34","202","2","4#200","10","810","1","5"
"35","202","3","4#300","15","810","1","5"
"36","202","4","4#400","15","720","1","5"
"37","202","5","4#500","20","720","1","5"
"38","202","6","4#600","20","630","1","5"
"39","202","7","4#700","25","630","1","5"
"40","202","8","4#800","25","540","1","5"
"41","202","9","4#900","30","540","1","5"
"42","202","10","4#1000","30","450","1","5"
"43","202","11","4#1500","35","450","1","5"
"44","202","12","4#2000","40","450","1","5"
"45","202","13","4#2500","45","450","1","5"
"46","202","14","4#3000","50","450","1","5"
"47","202","15","4#3500","55","450","1","5"
"48","202","16","","60","450","1","5"
