"#name NpcBuilding","#unique id","","","","","","","","",""
"id","type","preBuildingId","functionId","openCondition","costThing","level"
"int","int","int","int","int","cost[]","int"
"*","*","*","*","*","*","*"
"建筑物ID","建筑类型","前置建筑ID","功能表id","开启条件","解锁消耗道具","建筑等级"
"100","1","0","10010","0","4#10","0"
"110","1","0","10015","0","4#10","0"
"120","1","0","10012","0","4#10","0"
"200","2","0","10021","0","4#10","0"
"201","2","0","10020","0","4#10","0"
"202","2","0","10019","0","4#10","0"
"301","3","0","10068","0","4#300","1"
"302","3","301","10068","0","4#600","2"
"303","3","302","10068","0","4#900","3"
"401","4","0","10059","0","5#10","0"
"500","5","0","10014","0","4#0","0"
"600","6","0","10013","0","4#10","0"
"700","7","0","10011","0","4#20","0"
"900","9","0","0","0","4#0","0"
