"#name ArenaRobot","#unique id","#collector season","#export S","","","","",""
"id","season","scoreMin","scoreMax","rankUp","rankDown","level","monsterNum","monsterIds"
"int","int","int","int","int","int","int","int","int[]"
"*","*","*","*","*","*","*","*","*"
"序号","赛季","积分小","积分大","排名上","排名下","等级","怪物数量","怪物ID"
"1","1","1245","1245","1","1","60","10",""
"2","1","1244","1244","2","2","55","9",""
"3","1","1243","1243","3","3","50","8",""
"4","1","1236","1242","4","10","45","7",""
"5","1","1226","1235","11","20","40","6",""
"6","1","1201","1225","21","50","35","6",""
"7","1","1151","1200","51","100","30","5",""
"8","1","1101","1150","101","200","25","5",""
"9","1","1051","1100","201","500","20","5",""
"10","1","1000","1050","501","1000","15","4",""
"11","2","1245","1245","1","1","60","10",""
"12","2","1244","1244","2","2","55","9",""
"13","2","1243","1243","3","3","50","8",""
"14","2","1236","1242","4","10","45","7",""
"15","2","1226","1235","11","20","40","6",""
"16","2","1201","1225","21","50","35","6",""
"17","2","1151","1200","51","100","30","5",""
"18","2","1101","1150","101","200","25","5",""
"19","2","1051","1100","201","500","20","5",""
"20","2","1000","1050","501","1000","15","4",""
"21","3","1245","1245","1","1","60","10",""
"22","3","1244","1244","2","2","55","9",""
"23","3","1243","1243","3","3","50","8",""
"24","3","1236","1242","4","10","45","7",""
"25","3","1226","1235","11","20","40","6",""
"26","3","1201","1225","21","50","35","6",""
"27","3","1151","1200","51","100","30","5",""
"28","3","1101","1150","101","200","25","5",""
"29","3","1051","1100","201","500","20","5",""
"30","3","1000","1050","501","1000","15","4",""
"31","4","1245","1245","1","1","60","10",""
"32","4","1244","1244","2","2","55","9",""
"33","4","1243","1243","3","3","50","8",""
"34","4","1236","1242","4","10","45","7",""
"35","4","1226","1235","11","20","40","6",""
"36","4","1201","1225","21","50","35","6",""
"37","4","1151","1200","51","100","30","5",""
"38","4","1101","1150","101","200","25","5",""
"39","4","1051","1100","201","500","20","5",""
"40","4","1000","1050","501","1000","15","4",""
