"#name GiftGroup","#unique id","#collector type groupId","","","","",""
"id","type","groupId","level","fixationReward","randomReward","optionReward"
"int","int","int","int","reward[]","randItem[]","reward[]"
"*","*","*","*","*","*","*"
"id","类型","礼品组","等级","固定奖励","随机奖励","自选奖励"
"1","1","10001","1","1#100","",""
"2","1","10002","1","","1000#2#101",""
"3","1","10003","1","1#100","1000#2#101",""
"4","2","10004","1","","","2#100|3#100|1#100"
"5","1","10005","1","1#100","",""
"6","1","10005","10","1#200","",""
"7","1","10005","20","1#300","1000#2#101",""
"8","1","10006","1","1#100","1000#2#101",""
"9","1","2001","25","","370#2041101#1|370#2041102#1|370#2041103#1|370#2041104#1|370#2041105#1|370#2041106#1|370#2041107#1|370#2041108#1|370#2041109#1|370#2042101#1|370#2042102#1|370#2042103#1|370#2042104#1|370#2042105#1|370#2042106#1|370#2042107#1|370#2042108#1|371#2042109#1|371#2043101#1|371#2043102#1|371#2043103#1|371#2043104#1|371#2043105#1|371#2043106#1|371#2043107#1|371#2043108#1|371#2043109#1",""
"10","1","2002","25","","555#2041201#1|555#2041202#1|555#2041203#1|555#2041204#1|555#2041205#1|555#2041206#1|555#2042201#1|555#2042202#1|556#2042203#1|556#2042204#1|556#2042205#1|556#2042206#1|556#2043201#1|556#2043202#1|556#2043203#1|556#2043204#1|556#2043205#1|556#2043206#1",""
"11","1","2003","25","","1111#2041301#1|1111#2041302#1|1111#2041303#1|1111#2042301#1|1111#2042302#1|1111#2042303#1|1111#2043301#1|1111#2043302#1|1112#2043303#1",""
"12","1","411","5","","1666#3002042#1|1666#3002041#1|1667#3002043#1|1667#3002044#1|1667#3002045#1|1667#3002046#1",""
"13","1","412","5","","1666#3003042#1|1666#3003041#1|1667#3003043#1|1667#3003044#1|1667#3003045#1|1667#3003046#1",""
"14","1","413","5","","1666#3004042#1|1666#3004041#1|1667#3004043#1|1667#3004044#1|1667#3004045#1|1667#3004046#1",""
"15","1","414","5","","1666#3005042#1|1666#3005041#1|1667#3005043#1|1667#3005044#1|1667#3005045#1|1667#3005046#1",""
"16","1","415","5","","2500#3006071#1|2500#3006061#1|2500#3006081#1|2500#3006091#1",""
"17","1","416","5","","2500#3006072#1|2500#3006062#1|2500#3006082#1|2500#3006092#1",""
"18","1","417","5","","2500#3006073#1|2500#3006063#1|2500#3006083#1|2500#3006093#1",""
"19","1","418","5","","2500#3006074#1|2500#3006064#1|2500#3006084#1|2500#3006094#1",""
"20","1","419","5","","2500#3006075#1|2500#3006065#1|2500#3006085#1|2500#3006095#1",""
"21","1","420","5","","2500#3006076#1|2500#3006066#1|2500#3006086#1|2500#3006096#1",""
"22","1","20001","1","","1666#3003022#1|1666#3003021#1|1667#3003023#1|1667#3003024#1|1667#3003025#1|1667#3003026#1",""
"23","1","20002","1","","1666#3003032#1|1666#3003031#1|1667#3003033#1|1667#3003034#1|1667#3003035#1|1667#3003036#1",""
"24","1","20003","1","","1666#3003042#1|1666#3003041#1|1667#3003043#1|1667#3003044#1|1667#3003045#1|1667#3003046#1",""
"25","1","20004","1","","1666#3003022#1|1666#3003021#1|1667#3003023#1|1667#3003024#1|1667#3003025#1|1667#3003026#1",""
"26","1","20005","1","","1666#3003032#1|1666#3003031#1|1667#3003033#1|1667#3003034#1|1667#3003035#1|1667#3003036#1",""
"27","1","20006","1","","1666#3003042#1|1666#3003041#1|1667#3003043#1|1667#3003044#1|1667#3003045#1|1667#3003046#1",""
"28","1","20007","1","","1666#3004022#1|1666#3004021#1|1667#3004023#1|1667#3004024#1|1667#3004025#1|1667#3004026#1",""
"29","1","20008","1","","1666#3004032#1|1666#3004031#1|1667#3004033#1|1667#3004034#1|1667#3004035#1|1667#3004036#1",""
"30","1","20009","1","","1666#3004042#1|1666#3004041#1|1667#3004043#1|1667#3004044#1|1667#3004045#1|1667#3004046#1",""
"31","1","20010","1","","1666#3005022#1|1666#3005021#1|1667#3005023#1|1667#3005024#1|1667#3005025#1|1667#3005026#1",""
"32","1","20011","1","","1666#3005032#1|1666#3005031#1|1667#3005033#1|1667#3005034#1|1667#3005035#1|1667#3005036#1",""
"33","1","20012","1","","1666#3005042#1|1666#3005041#1|1667#3005043#1|1667#3005044#1|1667#3005045#1|1667#3005046#1",""
"34","1","20013","1","","1666#3006042#1|1666#3006041#1|1667#3006043#1|1667#3006044#1|1667#3006045#1|1667#3006046#1",""
"35","1","20014","1","","2000#2000004#1",""
"36","1","20015","1","","2000#2000004#2",""
"37","1","20016","1","","2000#2000004#3",""
"38","1","20017","1","","2000#2000004#2",""
"39","1","20018","1","","2000#2000004#3",""
"40","1","20019","1","","2000#2000004#4",""
"41","1","20020","1","","2000#2000004#3",""
"42","1","20021","1","","2000#2000004#4",""
"43","1","20022","1","","2000#2000004#5",""
"44","1","20023","1","","2000#2000004#4",""
"45","1","20024","1","","2000#2000004#5",""
"46","1","20025","1","","2000#2000004#6",""
"47","1","20026","1","","2000#2000004#5",""
"48","1","20027","1","","2000#2000004#6",""
"49","1","20028","1","","2000#2000004#7",""
"50","1","20029","1","","1666#3001012#1|1666#3001011#1|1667#3001013#1|1667#3001014#1|1667#3001015#1|1667#3001016#1",""
"51","1","20030","1","","1666#3001022#1|1666#3001021#1|1667#3001023#1|1667#3001024#1|1667#3001025#1|1667#3001026#1",""
"52","1","20031","1","","1666#3001032#1|1666#3001031#1|1667#3001033#1|1667#3001034#1|1667#3001035#1|1667#3001036#1",""
"53","1","20032","1","","1666#3002022#1|1666#3002021#1|1667#3002023#1|1667#3002024#1|1667#3002025#1|1667#3002026#1",""
"54","1","20033","1","","1666#3002032#1|1666#3002031#1|1667#3002033#1|1667#3002034#1|1667#3002035#1|1667#3002036#1",""
"55","1","20034","1","","3333#1010003#1|3333#1010004#1|3334#1010005#1",""
"56","1","20035","1","","3333#1020001#1|3333#1020004#1|3334#1020007#1",""
"57","1","20036","1","2001003#1","",""
"58","1","20036","20","2001005#1","",""
"59","1","20036","30","2001007#1","",""
"60","1","20036","40","2001009#1","",""
"61","1","20036","50","2001011#1","",""
"62","1","20036","60","2001013#1","",""
"63","1","20037","1","","3333#1030002#1|3333#1030017#1|3334#1030018#1",""
"64","1","20038","1","","1667#2001004#1|1667#2001006#1|1667#2001008#1|1667#2001010#1|1666#2001012#1|1666#2001014#1",""
"65","1","20039","1","","1667#2001003#1|1667#2001005#1|1667#2001007#1|1667#2001009#1|1666#2001011#1|1666#2001013#1",""
"66","1","20040","1","","5000#2#80|2500#2#100|1500#2#150|800#2#200|190#2#250|10#2#300",""
"67","1","20041","1","2001004#1","",""
"68","1","20041","20","2001006#1","",""
"69","1","20041","30","2001008#1","",""
"70","1","20041","40","2001010#1","",""
"71","1","20041","50","2001012#1","",""
