"#name DungeonMonster","#unique id","#index sceneId zoneId refreshId","","","","",""
"id","sceneId","zoneId","refreshId","monsterId","refreshType","num"
"int","int","int","int","int","int","int"
"*","*","*","*","*","*","*"
"序号","副本ID","场景区域ID","怪物刷新点","怪物ID","刷怪点类型（0固定 1随机）","刷怪数量"
"1","1000001","1","1","7001001","1","5"
"2","1000001","1","2","7001002","1","5"
"3","1000001","1","3","7001001","1","5"
"4","1000001","1","4","7001002","1","5"
"5","1000001","1","5","7001001","1","5"
"6","1000001","1","6","7001002","1","5"
"7","1000001","1","7","7001001","1","5"
"8","1000001","1","8","7001002","1","5"
"9","1000001","2","1","7001003","1","3"
"10","1000001","2","2","7001003","1","3"
"11","1000001","2","3","7001003","1","2"
"12","1000001","2","4","7001003","1","2"
"13","1000001","2","5","7001010","0","1"
"14","1000002","1","1","7001011","1","5"
"15","1000002","1","2","7001012","1","5"
"16","1000002","1","3","7001011","1","5"
"17","1000002","1","4","7001012","1","5"
"18","1000002","1","5","7001011","1","5"
"19","1000002","1","6","7001012","1","5"
"20","1000002","1","7","7001011","1","5"
"21","1000002","1","8","7001012","1","5"
"22","1000002","2","1","7001013","1","3"
"23","1000002","2","2","7001013","1","3"
"24","1000002","2","3","7001013","1","2"
"25","1000002","2","4","7001013","1","2"
"26","1000002","2","5","7001020","0","1"
"27","1001001","1","1","7001021","1","6"
"28","1001001","1","2","7001022","1","6"
"29","1001001","1","3","7001021","1","6"
"30","1001001","1","4","7001022","1","6"
"31","1001001","1","5","7001021","1","6"
"32","1001001","1","6","7001022","1","6"
"33","1001001","1","7","7001021","1","6"
"34","1001001","1","8","7001022","1","6"
"35","1001001","2","1","7001023","1","3"
"36","1001001","2","2","7001023","1","3"
"37","1001001","2","3","7001023","1","2"
"38","1001001","2","4","7001023","1","2"
"39","1001001","2","5","7001030","0","1"
"40","1001002","1","1","7001031","1","6"
"41","1001002","1","2","7001032","1","6"
"42","1001002","1","3","7001031","1","6"
"43","1001002","1","4","7001032","1","6"
"44","1001002","1","5","7001031","1","6"
"45","1001002","1","6","7001032","1","6"
"46","1001002","1","7","7001031","1","6"
"47","1001002","1","8","7001032","1","6"
"48","1001002","2","1","7001033","1","3"
"49","1001002","2","2","7001033","1","3"
"50","1001002","2","3","7001033","1","2"
"51","1001002","2","4","7001033","1","2"
"52","1001002","2","5","7001040","0","1"
"53","1002001","1","1","7001041","1","7"
"54","1002001","1","2","7001042","1","7"
"55","1002001","1","3","7001041","1","7"
"56","1002001","1","4","7001042","1","7"
"57","1002001","1","5","7001041","1","7"
"58","1002001","1","6","7001042","1","7"
"59","1002001","1","7","7001041","1","7"
"60","1002001","1","8","7001042","1","7"
"61","1002001","2","1","7001043","1","3"
"62","1002001","2","2","7001043","1","3"
"63","1002001","2","3","7001043","1","2"
"64","1002001","2","4","7001043","1","2"
"65","1002001","2","5","7001050","0","1"
"66","1002002","1","1","7001051","1","7"
"67","1002002","1","2","7001052","1","7"
"68","1002002","1","3","7001051","1","7"
"69","1002002","1","4","7001052","1","7"
"70","1002002","1","5","7001051","1","7"
"71","1002002","1","6","7001052","1","7"
"72","1002002","1","7","7001051","1","7"
"73","1002002","1","8","7001052","1","7"
"74","1002002","2","1","7001053","1","3"
"75","1002002","2","2","7001053","1","3"
"76","1002002","2","3","7001053","1","2"
"77","1002002","2","4","7001053","1","2"
"78","1002002","2","5","7001060","0","1"
"79","1003001","1","1","7001061","1","8"
"80","1003001","1","2","7001062","1","8"
"81","1003001","1","3","7001061","1","8"
"82","1003001","1","4","7001062","1","8"
"83","1003001","1","5","7001061","1","8"
"84","1003001","1","6","7001062","1","8"
"85","1003001","1","7","7001061","1","8"
"86","1003001","1","8","7001062","1","8"
"87","1003001","2","1","7001063","1","3"
"88","1003001","2","2","7001063","1","3"
"89","1003001","2","3","7001063","1","2"
"90","1003001","2","4","7001063","1","2"
"91","1003001","2","5","7001070","0","1"
"92","1003002","1","1","7001071","1","8"
"93","1003002","1","2","7001072","1","8"
"94","1003002","1","3","7001071","1","8"
"95","1003002","1","4","7001072","1","8"
"96","1003002","1","5","7001071","1","8"
"97","1003002","1","6","7001072","1","8"
"98","1003002","1","7","7001071","1","8"
"99","1003002","1","8","7001072","1","8"
"100","1003002","2","1","7001073","1","3"
"101","1003002","2","2","7001073","1","3"
"102","1003002","2","3","7001073","1","2"
"103","1003002","2","4","7001073","1","2"
"104","1003002","2","5","7001080","0","1"
"105","1004001","1","1","7001081","1","9"
"106","1004001","1","2","7001082","1","9"
"107","1004001","1","3","7001081","1","9"
"108","1004001","1","4","7001082","1","9"
"109","1004001","1","5","7001081","1","9"
"110","1004001","1","6","7001082","1","9"
"111","1004001","1","7","7001081","1","9"
"112","1004001","1","8","7001082","1","9"
"113","1004001","2","1","7001083","1","3"
"114","1004001","2","2","7001083","1","3"
"115","1004001","2","3","7001083","1","2"
"116","1004001","2","4","7001083","1","2"
"117","1004001","2","5","7001090","0","1"
"118","1004002","1","1","7001091","1","9"
"119","1004002","1","2","7001092","1","9"
"120","1004002","1","3","7001091","1","9"
"121","1004002","1","4","7001092","1","9"
"122","1004002","1","5","7001091","1","9"
"123","1004002","1","6","7001092","1","9"
"124","1004002","1","7","7001091","1","9"
"125","1004002","1","8","7001092","1","9"
"126","1004002","2","1","7001093","1","3"
"127","1004002","2","2","7001093","1","3"
"128","1004002","2","3","7001093","1","2"
"129","1004002","2","4","7001093","1","2"
"130","1004002","2","5","7001100","0","1"
"131","1005001","1","1","7001101","1","10"
"132","1005001","1","2","7001102","1","10"
"133","1005001","1","3","7001101","1","10"
"134","1005001","1","4","7001102","1","10"
"135","1005001","1","5","7001101","1","10"
"136","1005001","1","6","7001102","1","10"
"137","1005001","1","7","7001101","1","10"
"138","1005001","1","8","7001102","1","10"
"139","1005001","2","1","7001103","1","3"
"140","1005001","2","2","7001103","1","3"
"141","1005001","2","3","7001103","1","2"
"142","1005001","2","4","7001103","1","2"
"143","1005001","2","5","7001110","0","1"
"144","1005002","1","1","7001111","1","10"
"145","1005002","1","2","7001112","1","10"
"146","1005002","1","3","7001111","1","10"
"147","1005002","1","4","7001112","1","10"
"148","1005002","1","5","7001111","1","10"
"149","1005002","1","6","7001112","1","10"
"150","1005002","1","7","7001111","1","10"
"151","1005002","1","8","7001112","1","10"
"152","1005002","2","1","7001113","1","3"
"153","1005002","2","2","7001113","1","3"
"154","1005002","2","3","7001113","1","2"
"155","1005002","2","4","7001113","1","2"
"156","1005002","2","5","7001120","0","1"
"157","2001000","1","1","7001181","1","8"
"158","2001000","1","2","7001182","1","8"
"159","2001000","1","3","7001181","1","8"
"160","2001000","1","4","7001182","1","8"
"161","2001000","1","5","7001190","0","1"
"162","2001001","1","1","7001201","1","3"
"163","2001001","1","2","7001202","1","3"
"164","2001001","1","3","7001201","1","3"
"165","2001001","1","4","7001202","1","3"
"166","2001001","1","5","7001201","1","3"
"167","2001001","1","6","7001202","1","3"
"168","2001001","1","7","7001201","1","3"
"169","2001001","1","8","7001202","1","3"
"170","2001001","2","1","7001203","1","3"
"171","2001001","2","2","7001203","1","3"
"172","2001001","2","3","7001203","1","2"
"173","2001001","2","4","7001203","1","2"
"174","2001001","2","5","7001210","0","1"
"175","2001002","1","1","7001211","1","5"
"176","2001002","1","2","7001212","1","5"
"177","2001002","1","3","7001211","1","5"
"178","2001002","1","4","7001212","1","5"
"179","2001002","1","5","7001211","1","5"
"180","2001002","1","6","7001212","1","5"
"181","2001002","1","7","7001211","1","5"
"182","2001002","1","8","7001212","1","5"
"183","2001002","2","1","7001213","1","3"
"184","2001002","2","2","7001213","1","3"
"185","2001002","2","3","7001213","1","2"
"186","2001002","2","4","7001213","1","2"
"187","2001002","2","5","7001220","0","1"
"188","2001003","1","1","7001221","1","6"
"189","2001003","1","2","7001222","1","6"
"190","2001003","1","3","7001221","1","6"
"191","2001003","1","4","7001222","1","6"
"192","2001003","1","5","7001221","1","6"
"193","2001003","1","6","7001222","1","6"
"194","2001003","1","7","7001221","1","6"
"195","2001003","1","8","7001222","1","6"
"196","2001003","2","1","7001223","1","3"
"197","2001003","2","2","7001223","1","3"
"198","2001003","2","3","7001223","1","2"
"199","2001003","2","4","7001223","1","2"
"200","2001003","2","5","7001230","0","1"
"201","2001004","1","1","7001231","1","6"
"202","2001004","1","2","7001232","1","6"
"203","2001004","1","3","7001231","1","6"
"204","2001004","1","4","7001232","1","6"
"205","2001004","1","5","7001231","1","6"
"206","2001004","1","6","7001232","1","6"
"207","2001004","1","7","7001231","1","6"
"208","2001004","1","8","7001232","1","6"
"209","2001004","2","1","7001233","1","3"
"210","2001004","2","2","7001233","1","3"
"211","2001004","2","3","7001233","1","2"
"212","2001004","2","4","7001233","1","2"
"213","2001004","2","5","7001240","0","1"
"214","2001005","1","1","7001241","1","7"
"215","2001005","1","2","7001242","1","7"
"216","2001005","1","3","7001241","1","7"
"217","2001005","1","4","7001242","1","7"
"218","2001005","1","5","7001241","1","7"
"219","2001005","1","6","7001242","1","7"
"220","2001005","1","7","7001241","1","7"
"221","2001005","1","8","7001242","1","7"
"222","2001005","2","1","7001243","1","3"
"223","2001005","2","2","7001243","1","3"
"224","2001005","2","3","7001243","1","2"
"225","2001005","2","4","7001243","1","2"
"226","2001005","2","5","7001250","0","1"
"227","2001006","1","1","7001251","1","7"
"228","2001006","1","2","7001252","1","7"
"229","2001006","1","3","7001251","1","7"
"230","2001006","1","4","7001252","1","7"
"231","2001006","1","5","7001251","1","7"
"232","2001006","1","6","7001252","1","7"
"233","2001006","1","7","7001251","1","7"
"234","2001006","1","8","7001252","1","7"
"235","2001006","2","1","7001253","1","3"
"236","2001006","2","2","7001253","1","3"
"237","2001006","2","3","7001253","1","2"
"238","2001006","2","4","7001253","1","2"
"239","2001006","2","5","7001260","0","1"
"240","2001007","1","1","7001261","1","8"
"241","2001007","1","2","7001262","1","8"
"242","2001007","1","3","7001261","1","8"
"243","2001007","1","4","7001262","1","8"
"244","2001007","1","5","7001261","1","8"
"245","2001007","1","6","7001262","1","8"
"246","2001007","1","7","7001261","1","8"
"247","2001007","1","8","7001262","1","8"
"248","2001007","2","1","7001263","1","3"
"249","2001007","2","2","7001263","1","3"
"250","2001007","2","3","7001263","1","2"
"251","2001007","2","4","7001263","1","2"
"252","2001007","2","5","7001270","0","1"
"253","2001008","1","1","7001271","1","8"
"254","2001008","1","2","7001272","1","8"
"255","2001008","1","3","7001271","1","8"
"256","2001008","1","4","7001272","1","8"
"257","2001008","1","5","7001271","1","8"
"258","2001008","1","6","7001272","1","8"
"259","2001008","1","7","7001271","1","8"
"260","2001008","1","8","7001272","1","8"
"261","2001008","2","1","7001273","1","3"
"262","2001008","2","2","7001273","1","3"
"263","2001008","2","3","7001273","1","2"
"264","2001008","2","4","7001273","1","2"
"265","2001008","2","5","7001280","0","1"
"266","2001009","1","1","7001281","1","9"
"267","2001009","1","2","7001282","1","9"
"268","2001009","1","3","7001281","1","9"
"269","2001009","1","4","7001282","1","9"
"270","2001009","1","5","7001281","1","9"
"271","2001009","1","6","7001282","1","9"
"272","2001009","1","7","7001281","1","9"
"273","2001009","1","8","7001282","1","9"
"274","2001009","2","1","7001283","1","3"
"275","2001009","2","2","7001283","1","3"
"276","2001009","2","3","7001283","1","2"
"277","2001009","2","4","7001283","1","2"
"278","2001009","2","5","7001290","0","1"
"279","2001010","1","1","7001291","1","9"
"280","2001010","1","2","7001292","1","9"
"281","2001010","1","3","7001291","1","9"
"282","2001010","1","4","7001292","1","9"
"283","2001010","1","5","7001291","1","9"
"284","2001010","1","6","7001292","1","9"
"285","2001010","1","7","7001291","1","9"
"286","2001010","1","8","7001292","1","9"
"287","2001010","2","1","7001293","1","3"
"288","2001010","2","2","7001293","1","3"
"289","2001010","2","3","7001293","1","2"
"290","2001010","2","4","7001293","1","2"
"291","2001010","2","5","7001300","0","1"
