"#name Dungeon","#unique id","","","","","","","","","","","","",""
"id","name","type","mainlineId","fighting","enterCost","sceneId","firstDrop","firstBossDrop","drop","bossDrop","needLevel","precopy","aid"
"int","lang","int","int","int","cost","int","int[]","int[]","int[]","int[]","int","int","int[]"
"*","*","*","*","*","*","*","S","S","S","S","*","*","S"
"秘境副本ID","秘境副本名字","秘境类型","大陆ID","推荐战力","进入消耗","关联场景ID","首通小怪掉落","首通boss掉落","非首通小怪掉落","非首通boss掉落","需要等级","前置副本ID","援助伙伴"
"1000001","洛水平原(普通)","1","0","6000","2001003#10","9001","601401#601402","601601#601602#601603#601604#601605","601001#601002","601201#601202#601203#601204","10","0",""
"1000002","洛水平原(稀有)","1","0","6000","2001004#3","9001","601501#601502","601701#601702#601703#601704#601705","601101#601102","601301#601302#601303","10","0",""
"1001001","荒芜之地(普通)","1","0","12000","2001003#15","9002","602401#602402","602601#602602#602603#602604#602605","602001#602002","602201#602202#602203#602204","20","0",""
"1001002","荒芜之地(稀有)","1","0","12000","2001004#4","9002","602501#602502","602701#602702#602703#602704#602705","602101#602102","602301#602302#602303","20","0",""
"1002001","枯木怪林(普通)","1","0","24000","2001003#20","9003","603401#603402","603601#603602#603603#603604#603605","603001#603002","603201#603202#603203#603204","30","0",""
"1002002","枯木怪林(稀有)","1","0","24000","2001004#5","9003","603501#603502","603701#603702#603703#603704#603705#603706","603101#603102","603301#603302#603303#603304","30","0",""
"1003001","忘川遗址(普通)","1","0","60000","2001003#25","9004","604401#604402","604601#604602#604603#604604#604605","604001#604002","604201#604202#604203#604204","40","0",""
"1003002","忘川遗址(稀有)","1","0","60000","2001004#6","9004","604501#604502","604701#604702#604703#604704#604705#604706","604101#604102","604301#604302#604303#604304","40","0",""
"1004001","幽冥地界(普通)","1","0","100000","2001003#30","9005","605401#605402","605601#605602#605603#605604#605605","605001#605002","605201#605202#605203#605204","50","0",""
"1004002","幽冥地界(稀有)","1","0","100000","2001004#7","9005","605501#605502","605701#605702#605703#605704#605705#605706","605101#605102","605301#605302#605303#605304","50","0",""
"1005001","死亡深渊(普通)","1","0","180000","2001003#35","9006","606401#606402","606601#606602#606603#606604#606605","606001#606002","606201#606202#606203#606204#606205","60","0",""
"1005002","死亡深渊(稀有)","1","0","180000","2001004#8","9006","606501#606502","606701#606702#606703#606704#606705#606706","606101#606102","606301#606302#606303#606304#606305","60","0",""
"2001000","紫竹林","2","1001","1000","","9000","","","","","1","0","7001188"
"2001001","洛水平原","2","1001","2000","","9001","","","","","1","0",""
"2001002","屈仙窟","2","1001","6000","","9011","","","","","1","0",""
"2001003","荒芜之地","2","1001","8000","","9002","","","","","1","0",""
"2001004","菩提洞","2","1001","10000","","9012","","","","","1","0",""
"2001005","枯木怪林","2","1001","12000","","9003","","","","","1","0",""
"2001006","引仙阁","2","1001","18000","","9013","","","","","1","0",""
"2001007","忘川遗址","2","1001","25000","","9004","","","","","1","0",""
"2001008","将军冢","2","1001","40000","","9014","","","","","1","0",""
"2001009","幽冥地界","2","1001","60000","","9005","","","","","1","0",""
"2001010","天罗域","2","1001","80000","","9015","","","","","1","0",""
