"#name ZhanLingGoal","#unique id","#collector activityId","","","","",""
"id","activityId","sortIndex","taskType","taskParams","taskTargetNum","freeReward","premiumReward"
"int","int","int","string","int[]","long","reward[]","reward[]"
"*","*","*","*","*","*","*","*"
"任务ID","活动类型ID","排序编号","任务类型","任务参数","任务完成目标数量","免费奖励","高级奖励"
"1001","1002001","1","ROLE_LEVEL","","5","2#50","2#500|5#100"
"1002","1002001","2","ROLE_LEVEL","","10","2#50","2000001#1|5#200"
"1003","1002001","3","ROLE_LEVEL","","15","2#50","2#500|5#300"
"1004","1002001","4","ROLE_LEVEL","","20","2#50","2001003#15|5#500"
"1005","1002001","5","ROLE_LEVEL","","23","2#50","2#500|5#900"
"1006","1002001","6","ROLE_LEVEL","","25","2#50","2000008#50|5#1100"
"1007","1002001","7","ROLE_LEVEL","","28","2#50","2#500|5#1300"
"1008","1002001","8","ROLE_LEVEL","","30","2#50","2001004#3|5#1500"
"1009","1002001","9","ROLE_LEVEL","","33","2#50","2#500|5#1700"
"1010","1002001","10","ROLE_LEVEL","","35","2#50","2000008#500|5#1900"
"1011","1002001","11","ROLE_LEVEL","","38","2#50","2#500|5#2100"
"1012","1002001","12","ROLE_LEVEL","","40","2#50","2001004#5|5#2300"
"1013","1002001","13","ROLE_LEVEL","","43","2#50","2#500|5#2500"
"1014","1002001","14","ROLE_LEVEL","","45","2#50","2001004#10|5#2700"
"1015","1002001","15","ROLE_LEVEL","","48","2#50","2#500|5#2900"
"1016","1002001","16","ROLE_LEVEL","","50","2#50","2000009#3|5#3100"
"1017","1002001","17","ROLE_LEVEL","","53","2#50","2#500|5#3300"
"1018","1002001","18","ROLE_LEVEL","","55","2#50","2#500|5#3500"
"1019","1002001","19","ROLE_LEVEL","","58","2#50","2#500|5#3700"
"1020","1002001","20","ROLE_LEVEL","","60","2#50","2#500|5#3900"
"1021","1002001","21","ROLE_LEVEL","","63","2#50","2#500|5#4100"
"1022","1002001","22","ROLE_LEVEL","","65","2#50","2#500|5#4300"
"1023","1002001","23","ROLE_LEVEL","","68","2#50","2#500|5#4500"
"1024","1002001","24","ROLE_LEVEL","","70","2#50","2#500|5#4700"
"2001","1002004","1","RECRUIT_NUM","","0","2000008#10","2000008#50|1#100"
"2002","1002004","2","RECRUIT_NUM","","10","2000008#10","2000008#50|1#100"
"2003","1002004","3","RECRUIT_NUM","","20","2000008#10","2000008#50|1#100"
"2004","1002004","4","RECRUIT_NUM","","40","2000008#20","2000008#100|1#300"
"2005","1002004","5","RECRUIT_NUM","","60","2000008#10","2000008#50|1#100"
"2006","1002004","6","RECRUIT_NUM","","80","2000008#10","2000008#50|1#100"
"2007","1002004","7","RECRUIT_NUM","","100","2000008#10","2000008#50|1#100"
"2008","1002004","8","RECRUIT_NUM","","120","2000008#20","2000008#100|1#300"
"2009","1002004","9","RECRUIT_NUM","","140","2000008#10","2000008#50|1#100"
"2010","1002004","10","RECRUIT_NUM","","160","2000008#10","2000008#50|1#100"
"2011","1002004","11","RECRUIT_NUM","","180","2000008#10","2000008#50|1#100"
"2012","1002004","12","RECRUIT_NUM","","200","2000008#20","2000008#100|1#300"
"2013","1002004","13","RECRUIT_NUM","","220","2000008#10","2000008#50|1#100"
"2014","1002004","14","RECRUIT_NUM","","240","2000008#10","2000008#50|1#100"
"2015","1002004","15","RECRUIT_NUM","","260","2000008#10","2000008#50|1#100"
"2016","1002004","16","RECRUIT_NUM","","280","2000008#20","2000008#100|1#300"
"2017","1002004","17","RECRUIT_NUM","","300","2000008#10","2000008#50|1#100"
"2018","1002004","18","RECRUIT_NUM","","320","2000008#10","2000008#50|1#100"
"2019","1002004","19","RECRUIT_NUM","","340","2000008#10","2000008#50|1#100"
"2020","1002004","20","RECRUIT_NUM","","360","2000008#20","2000008#100|1#300"
"2021","1002004","21","RECRUIT_NUM","","380","2000008#10","2000008#50|1#100"
"2022","1002004","22","RECRUIT_NUM","","400","2000008#10","2000008#50|1#100"
"2023","1002004","23","RECRUIT_NUM","","420","2000008#10","2000008#50|1#100"
"2024","1002004","24","RECRUIT_NUM","","440","2000008#20","2000008#100|1#300"
"2025","1002004","25","RECRUIT_NUM","","460","2000008#10","2000008#50|1#100"
"2026","1002004","26","RECRUIT_NUM","","480","2000008#10","2000008#50|1#100"
"2027","1002004","27","RECRUIT_NUM","","500","2000008#10","2000008#50|1#100"
"2028","1002004","28","RECRUIT_NUM","","520","2000008#20","2000008#100|1#300"
"2029","1002004","29","RECRUIT_NUM","","540","2000008#10","2000008#50|1#100"
"2030","1002004","30","RECRUIT_NUM","","560","2000008#10","2000008#50|1#100"
"2031","1002004","31","RECRUIT_NUM","","580","2000008#10","2000008#50|1#100"
"2032","1002004","32","RECRUIT_NUM","","600","2000008#20","2000008#100|1#300"
