"#name XianShiLiBao","#unique id","#collector type","","","",""
"id","type","chargeProductId","vipLevel","condition","diffReward","countdown"
"int","int","int","int","int[]","reward[]","int"
"*","*","*","*","*","*","*"
"礼包ID","礼包类型","充值表ID","Vip等级","触发条件","个性化奖励","有效期/分钟"
"10000","1","8100","0","10","","240"
"10001","1","8101","0","20","","240"
"10002","1","8102","0","30","","240"
"10003","1","8103","0","40","","240"
"10004","1","8104","0","50","","240"
"10005","1","8105","0","60","","240"
"10006","1","8106","0","70","","240"
"20001","2","8211","0","1040001#1","1040001#60","60"
"20002","2","8201","0","1040002#1","1040002#80","60"
"20003","2","8201","0","1040003#1","1040003#80","60"
"20004","2","8211","0","1040004#1","1040004#60","60"
"20005","2","8211","0","1040005#1","1040005#60","60"
"20006","2","8211","0","1040006#1","1040006#60","60"
"20007","2","8201","0","1040007#1","1040007#80","60"
"20009","2","8201","0","1040009#1","1040009#80","60"
"20011","2","8201","0","1040011#1","1040011#80","60"
"20012","2","8211","0","1040012#1","1040012#60","60"
"20013","2","8211","0","1040013#1","1040013#60","60"
"20014","2","8201","0","1040014#1","1040014#80","60"
"20101","2","8212","0","1040001#20","1040001#110","60"
"20102","2","8202","0","1040002#20","1040002#150","60"
"20103","2","8202","0","1040003#20","1040003#150","60"
"20104","2","8212","0","1040004#20","1040004#110","60"
"20105","2","8212","0","1040005#20","1040005#110","60"
"20106","2","8212","0","1040006#20","1040006#110","60"
"20107","2","8202","0","1040007#20","1040007#150","60"
"20109","2","8202","0","1040009#20","1040009#150","60"
"20111","2","8202","0","1040011#20","1040011#150","60"
"20112","2","8212","0","1040012#20","1040012#110","60"
"20113","2","8212","0","1040013#20","1040013#110","60"
"20114","2","8202","0","1040014#20","1040014#150","60"
"20201","2","8213","0","1040001#30","1040001#110","60"
"20202","2","8203","0","1040002#30","1040002#150","60"
"20203","2","8203","0","1040003#30","1040003#150","60"
"20204","2","8213","0","1040004#30","1040004#110","60"
"20205","2","8213","0","1040005#30","1040005#110","60"
"20206","2","8213","0","1040006#30","1040006#110","60"
"20207","2","8203","0","1040007#30","1040007#150","60"
"20209","2","8203","0","1040009#30","1040009#150","60"
"20211","2","8203","0","1040011#30","1040011#150","60"
"20212","2","8213","0","1040012#30","1040012#110","60"
"20213","2","8213","0","1040013#30","1040013#110","60"
"20214","2","8203","0","1040014#30","1040014#150","60"
"20301","2","8214","0","1040001#40","1040001#150","60"
"20302","2","8204","0","1040002#40","1040002#200","60"
"20303","2","8204","0","1040003#40","1040003#200","60"
"20304","2","8214","0","1040004#40","1040004#150","60"
"20305","2","8214","0","1040005#40","1040005#150","60"
"20306","2","8214","0","1040006#40","1040006#150","60"
"20307","2","8204","0","1040007#40","1040007#200","60"
"20309","2","8204","0","1040009#40","1040009#200","60"
"20311","2","8204","0","1040011#40","1040011#200","60"
"20312","2","8214","0","1040012#40","1040012#150","60"
"20313","2","8214","0","1040013#40","1040013#150","60"
"20314","2","8204","0","1040014#40","1040014#200","60"
"20401","2","8215","0","1040001#50","1040001#190","60"
"20402","2","8205","0","1040002#50","1040002#250","60"
"20403","2","8205","0","1040003#50","1040003#250","60"
"20404","2","8215","0","1040004#50","1040004#190","60"
"20405","2","8215","0","1040005#50","1040005#190","60"
"20406","2","8215","0","1040006#50","1040006#190","60"
"20407","2","8205","0","1040007#50","1040007#250","60"
"20409","2","8205","0","1040009#50","1040009#250","60"
"20411","2","8205","0","1040011#50","1040011#250","60"
"20412","2","8215","0","1040012#50","1040012#190","60"
"20413","2","8215","0","1040013#50","1040013#190","60"
"20414","2","8205","0","1040014#50","1040014#250","60"
"20501","2","8216","0","1040001#60","1040001#230","60"
"20502","2","8206","0","1040002#60","1040002#300","60"
"20503","2","8206","0","1040003#60","1040003#300","60"
"20504","2","8216","0","1040004#60","1040004#230","60"
"20505","2","8216","0","1040005#60","1040005#230","60"
"20506","2","8216","0","1040006#60","1040006#230","60"
"20507","2","8206","0","1040007#60","1040007#300","60"
"20509","2","8206","0","1040009#60","1040009#300","60"
"20511","2","8206","0","1040011#60","1040011#300","60"
"20512","2","8216","0","1040012#60","1040012#230","60"
"20513","2","8216","0","1040013#60","1040013#230","60"
"20514","2","8206","0","1040014#60","1040014#300","60"
"20601","2","8217","0","1040001#70","1040001#450","60"
"20602","2","8207","0","1040002#70","1040002#600","60"
"20603","2","8207","0","1040003#70","1040003#600","60"
"20604","2","8217","0","1040004#70","1040004#450","60"
"20605","2","8217","0","1040005#70","1040005#450","60"
"20606","2","8217","0","1040006#70","1040006#450","60"
"20607","2","8207","0","1040007#70","1040007#600","60"
"20609","2","8207","0","1040009#70","1040009#600","60"
"20611","2","8207","0","1040011#70","1040011#600","60"
"20612","2","8217","0","1040012#70","1040012#450","60"
"20613","2","8217","0","1040013#70","1040013#450","60"
"20614","2","8207","0","1040014#70","1040014#600","60"
"20701","2","8218","0","1040001#80","1040001#900","60"
"20702","2","8208","0","1040002#80","1040002#1200","60"
"20703","2","8208","0","1040003#80","1040003#1200","60"
"20704","2","8218","0","1040004#80","1040004#900","60"
"20705","2","8218","0","1040005#80","1040005#900","60"
"20706","2","8218","0","1040006#80","1040006#900","60"
"20707","2","8208","0","1040007#80","1040007#1200","60"
"20709","2","8208","0","1040009#80","1040009#1200","60"
"20711","2","8208","0","1040011#80","1040011#1200","60"
"20712","2","8218","0","1040012#80","1040012#900","60"
"20713","2","8218","0","1040013#80","1040013#900","60"
"20714","2","8208","0","1040014#80","1040014#1200","60"
"20715","2","8201","0","1030002#1","1030002#80","60"
"20716","2","8201","0","1030018#1","1030018#80","60"
"20717","2","8202","0","1030002#20","1030002#150","60"
"20718","2","8202","0","1030018#20","1030018#150","60"
"20719","2","8203","0","1030002#30","1030002#150","60"
"20720","2","8203","0","1030018#30","1030018#150","60"
"20721","2","8204","0","1030002#40","1030002#200","60"
"20722","2","8204","0","1030018#40","1030018#200","60"
"20723","2","8205","0","1030002#50","1030002#250","60"
"20724","2","8205","0","1030018#50","1030018#250","60"
"20725","2","8206","0","1030002#60","1030002#300","60"
"20726","2","8206","0","1030018#60","1030018#300","60"
"20727","2","8207","0","1030002#70","1030002#600","60"
"20728","2","8207","0","1030018#70","1030018#600","60"
"20729","2","8208","0","1030002#80","1030002#1200","60"
"20730","2","8208","0","1030018#80","1030018#1200","60"
"30001","3","8001","0","1001#10027","","240"
"30002","3","8002","0","1001#10044","","240"
"30003","3","8003","0","1001#10084","","240"
"30004","3","8004","0","1001#10111","","240"
"30005","3","8005","0","1001#10138","","240"
"60001","6","8401","0","1#10","","240"
"60002","6","8402","0","2#10","","240"
"60003","6","8403","0","3#10","","240"
"60004","6","8404","0","4#10","","240"
"70001","7","8501","0","5","","240"
"80001","8","8601","0","100","","240"
"90001","9","8701","0","","","240"
"100001","10","8702","0","","","240"
"120001","12","8704","0","","","240"
