"#name ChengZhangJiJin","#unique id","#index round rewardId","#collector round",""
"id","round","rewardId","level","reward"
"int","int","int","int","reward"
"*","*","*","*","*"
"序号","奖励期数","奖励ID","等级要求","奖励"
"1","1","1","10","2#600"
"2","1","2","15","2#200"
"3","1","3","20","2#200"
"4","1","4","25","2#200"
"5","1","5","30","2#200"
"6","1","6","35","2#800"
"7","1","7","40","2#300"
"8","1","8","45","2#300"
"9","1","9","50","2#300"
"10","1","10","55","2#300"
"11","1","11","60","2#1000"
"12","2","1","60","2#1000"
"13","2","2","62","2#400"
"14","2","3","64","2#400"
"15","2","4","66","2#400"
"16","2","5","68","2#400"
"17","2","6","70","2#1200"
"18","2","7","72","2#500"
"19","2","8","74","2#500"
"20","2","9","76","2#500"
"21","2","10","78","2#500"
"22","2","11","80","2#1400"
