"#name QiRiMuBiaoTask","#unique id","","#collector day","","","",""
"id","day","taskType","taskParams","taskTargetNum","score","rewards"
"int","int","string","int[]","long","int","reward[]"
"*","*","*","*","*","*","*"
"任务ID","天数","任务类型","任务参数","任务完成目标数量","完成积分","任务奖励"
"1001","1","LOGIN_FIRST_EVERYDAY","","1","10","1#40"
"1002","1","RECRUIT_NUM","100","5","5","1#40"
"1003","1","HERO_REACH_LEVEL","5","6","5","1#40"
"1004","1","FIGHTING_NUM","","18000","5","1#40"
"1005","1","TRAININGCAMP_UP_LEVEL","110","10","5","1#40"
"1006","1","TOWER_FLOOR","1","10","5","1#40"
"1007","1","COMPLETE_DUPLICATE","9","3","5","1#40"
"1008","1","KILL_MONSTER","7000902","1","5","1#40"
"1009","1","KILL_TYPE_MONSTER","3","10","5","1#40"
"1010","1","KILL_TYPE_MONSTER","1","1000","5","1#40"
"1011","1","BUILDING_TRANSMIT","2","1","5","1#40"
"1012","1","ROLE_LEVEL","","20","5","1#40"
"2001","2","LOGIN_FIRST_EVERYDAY","","2","10","1#40"
"2002","2","RECRUIT_NUM","100","10","5","1#40"
"2003","2","HERO_REACH_LEVEL","7","6","5","1#40"
"2004","2","FIGHTING_NUM","","30000","5","1#40"
"2005","2","TRAININGCAMP_UP_LEVEL","110","20","5","1#40"
"2006","2","TOWER_FLOOR","1","15","5","1#40"
"2007","2","COMPLETE_DUPLICATE","9","5","5","1#40"
"2008","2","KILL_MONSTER","7000904","1","5","1#40"
"2009","2","KILL_TYPE_MONSTER","3","20","5","1#40"
"2010","2","KILL_TYPE_MONSTER","1","3000","5","1#40"
"2011","2","BUILDING_TRANSMIT","3","1","5","1#40"
"2012","2","ROLE_LEVEL","","25","5","1#40"
"3001","3","LOGIN_FIRST_EVERYDAY","","3","10","1#40"
"3002","3","RECRUIT_NUM","100","20","5","1#40"
"3003","3","HERO_REACH_LEVEL","10","6","5","1#40"
"3004","3","FIGHTING_NUM","","42000","5","1#40"
"3005","3","TRAININGCAMP_UP_LEVEL","110","30","5","1#40"
"3006","3","TOWER_FLOOR","1","20","5","1#40"
"3007","3","COMPLETE_DUPLICATE","9","7","5","1#40"
"3008","3","KILL_MONSTER","7000906","1","5","1#40"
"3009","3","KILL_TYPE_MONSTER","3","30","5","1#40"
"3010","3","KILL_TYPE_MONSTER","1","5000","5","1#40"
"3011","3","BUILDING_TRANSMIT","4","1","5","1#40"
"3012","3","ROLE_LEVEL","","30","5","1#40"
"4001","4","LOGIN_FIRST_EVERYDAY","","4","10","1#40"
"4002","4","RECRUIT_NUM","100","30","5","1#40"
"4003","4","HERO_REACH_LEVEL","13","6","5","1#40"
"4004","4","FIGHTING_NUM","","60000","5","1#40"
"4005","4","TRAININGCAMP_UP_LEVEL","110","40","5","1#40"
"4006","4","TOWER_FLOOR","1","30","5","1#40"
"4007","4","COMPLETE_DUPLICATE","9","10","5","1#40"
"4008","4","KILL_MONSTER","7000908","1","5","1#40"
"4009","4","KILL_TYPE_MONSTER","3","40","5","1#40"
"4010","4","KILL_TYPE_MONSTER","1","7000","5","1#40"
"4011","4","BUILDING_TRANSMIT","5","1","5","1#40"
"4012","4","ROLE_LEVEL","","35","5","1#40"
"5001","5","LOGIN_FIRST_EVERYDAY","","5","10","1#40"
"5002","5","RECRUIT_NUM","100","50","5","1#40"
"5003","5","HERO_REACH_LEVEL","15","6","5","1#40"
"5004","5","FIGHTING_NUM","","90000","5","1#40"
"5005","5","TRAININGCAMP_UP_LEVEL","110","50","5","1#40"
"5006","5","TOWER_FLOOR","1","35","5","1#40"
"5007","5","COMPLETE_DUPLICATE","9","13","5","1#40"
"5008","5","KILL_MONSTER","7000910","1","5","1#40"
"5009","5","KILL_TYPE_MONSTER","3","50","5","1#40"
"5010","5","KILL_TYPE_MONSTER","1","10000","5","1#40"
"5011","5","BUILDING_TRANSMIT","6","1","5","1#40"
"5012","5","ROLE_LEVEL","","40","5","1#40"
"6001","6","LOGIN_FIRST_EVERYDAY","","6","10","1#40"
"6002","6","RECRUIT_NUM","100","80","5","1#40"
"6003","6","HERO_REACH_LEVEL","18","6","5","1#40"
"6004","6","FIGHTING_NUM","","120000","5","1#40"
"6005","6","TRAININGCAMP_UP_LEVEL","110","60","5","1#40"
"6006","6","TOWER_FLOOR","1","40","5","1#40"
"6007","6","COMPLETE_DUPLICATE","9","15","5","1#40"
"6008","6","KILL_MONSTER","7000912","1","5","1#40"
"6009","6","KILL_TYPE_MONSTER","3","60","5","1#40"
"6010","6","KILL_TYPE_MONSTER","1","15000","5","1#40"
"6011","6","BUILDING_TRANSMIT","7","1","5","1#40"
"6012","6","ROLE_LEVEL","","45","5","1#40"
"7001","7","LOGIN_FIRST_EVERYDAY","","7","10","1#40"
"7002","7","RECRUIT_NUM","100","100","5","1#40"
"7003","7","HERO_REACH_LEVEL","20","6","5","1#40"
"7004","7","FIGHTING_NUM","","180000","5","1#40"
"7005","7","TRAININGCAMP_UP_LEVEL","110","70","5","1#40"
"7006","7","TOWER_FLOOR","1","45","5","1#40"
"7007","7","COMPLETE_DUPLICATE","9","18","5","1#40"
"7008","7","KILL_MONSTER","7000914","1","5","1#40"
"7009","7","KILL_TYPE_MONSTER","3","70","5","1#40"
"7010","7","KILL_TYPE_MONSTER","1","20000","5","1#40"
"7011","7","BUILDING_TRANSMIT","8","1","5","1#40"
"7012","7","ROLE_LEVEL","","50","5","1#40"
