"#name ZhiGouLiBao","#unique id","#collector activityId","#index chargeProductId","",""
"id","activityId","chargeProductId","diffReward","limitType","limitNum"
"int","int","int","reward[]","int","int"
"*","*","*","*","*","*"
"礼包ID","活动ID","充值表ID","个性化奖励","限购类型","限购次数"
"1001","1009001","0","2#10|1040014#1","1","1"
"1002","1009001","12001","2#60|1#300|5#3000|7#60","1","2"
"1003","1009001","12002","2#300|1030020#150|5#500|7#300","1","2"
"1004","1009001","12003","2#680|1030020#300|5#1000|7#680","1","2"
"1005","1009001","12004","2#680|1040014#100|5#1000|7#680","1","2"
"1006","1009001","12005","2#980|1040014#150|5#2000|7#980","1","2"
"1007","1009001","12006","2#1980|1040014#300|5#3000|7#1980","1","2"
"1008","1009001","12007","2#1980|1040012#100|5#2000|7#1980","1","2"
"1009","1009001","12008","2#3280|1040012#150|5#3000|7#3280","1","2"
"1010","1009001","12009","2#6480|1040012#300|5#5000|7#6480","1","2"
"1011","1009002","0","2#10|1040014#1","1","1"
"1012","1009002","12001","2#60|1#300|5#3000|7#60","1","2"
"1013","1009002","12002","2#300|1030020#150|5#500|7#300","1","2"
"1014","1009002","12003","2#680|1030020#300|5#1000|7#680","1","2"
"1015","1009002","12004","2#680|1040014#100|5#1000|7#680","1","2"
"1016","1009002","12005","2#980|1040014#150|5#2000|7#980","1","2"
"1017","1009002","12006","2#1980|1040014#300|5#3000|7#1980","1","2"
"1018","1009002","12007","2#1980|1040012#100|5#2000|7#1980","1","2"
"1019","1009002","12008","2#3280|1040012#150|5#3000|7#3280","1","2"
"1020","1009002","12009","2#6480|1040012#300|5#5000|7#6480","1","2"
"1021","1009003","0","2#10|1040014#1","1","1"
"1022","1009003","12001","2#60|1#300|5#3000|7#60","1","2"
"1023","1009003","12002","2#300|1030020#150|5#500|7#300","1","2"
"1024","1009003","12003","2#680|1030020#300|5#1000|7#680","1","2"
"1025","1009003","12004","2#680|1040014#100|5#1000|7#680","1","2"
"1026","1009003","12005","2#980|1040014#150|5#2000|7#980","1","2"
"1027","1009003","12006","2#1980|1040014#300|5#3000|7#1980","1","2"
"1028","1009003","12007","2#1980|1040012#100|5#2000|7#1980","1","2"
"1029","1009003","12008","2#3280|1040012#150|5#3000|7#3280","1","2"
"1030","1009003","12009","2#6480|1040012#300|5#5000|7#6480","1","2"
"2001","1009101","0","2#10|1#200","1","1"
"2002","1009101","12101","2#60|1#300|5#500|7#60","1","2"
"2003","1009101","12102","2#300|1#1500|5#1000|7#300","1","2"
"2004","1009101","12103","2#680|1#3000|5#2000|7#680","1","2"
"2005","1009101","12104","2#980|1#4500|5#3000|7#980","1","2"
"2006","1009101","12105","2#1980|1#9000|5#6000|7#1980","1","2"
"2007","1009101","12106","2#3280|1#15000|5#12000|7#6280","1","2"
"2008","1009101","12107","2#6480|1#30000|5#24000|7#6480","1","2"
"2009","1009102","0","2#10|1#200","1","1"
"2010","1009102","12101","2#60|1#300|5#500|7#60","1","2"
"2011","1009102","12102","2#300|1#1500|5#1000|7#300","1","2"
"2012","1009102","12103","2#680|1#3000|5#2000|7#680","1","2"
"2013","1009102","12104","2#980|1#4500|5#3000|7#980","1","2"
"2014","1009102","12105","2#1980|1#9000|5#6000|7#1980","1","2"
"2015","1009102","12106","2#3280|1#15000|5#12000|7#6280","1","2"
"2016","1009102","12107","2#6480|1#30000|5#24000|7#6480","1","2"
"2017","1009103","0","2#10|1#200","1","1"
"2018","1009103","12101","2#60|1#300|5#500|7#60","1","2"
"2019","1009103","12102","2#300|1#1500|5#1000|7#300","1","2"
"2020","1009103","12103","2#680|1#3000|5#2000|7#680","1","2"
"2021","1009103","12104","2#980|1#4500|5#3000|7#980","1","2"
"2022","1009103","12105","2#1980|1#9000|5#6000|7#1980","1","2"
"2023","1009103","12106","2#3280|1#15000|5#12000|7#6280","1","2"
"2024","1009103","12107","2#6480|1#30000|5#24000|7#6480","1","2"
"3001","1009201","0","2#10|1040014#1","1","1"
"3002","1009201","12001","2#60|1#300|5#3000|7#60","1","2"
"3003","1009201","12002","2#300|1030020#150|5#500|7#300","1","2"
"3004","1009201","12003","2#680|1030020#300|5#1000|7#680","1","2"
"3005","1009201","12004","2#680|1040014#100|5#1000|7#680","1","2"
"3006","1009201","12005","2#980|1040014#150|5#2000|7#980","1","2"
"3007","1009201","12006","2#1980|1040014#300|5#3000|7#1980","1","2"
"3008","1009201","12007","2#1980|1040012#100|5#2000|7#1980","1","2"
"3009","1009201","12008","2#3280|1040012#150|5#3000|7#3280","1","3"
"3010","1009201","12009","2#6480|1040012#300|5#5000|7#6480","1","3"
"3011","1009202","0","2#10|1#200","2","1"
"3012","1009202","12101","2#60|1#300|5#500|7#60","2","2"
"3013","1009202","12102","2#300|1#1500|5#1000|7#300","2","2"
"3014","1009202","12103","2#680|1#3000|5#2000|7#680","2","2"
"3015","1009202","12104","2#980|1#4500|5#3000|7#980","2","2"
"3016","1009202","12105","2#1980|1#9000|5#6000|7#1980","2","2"
"3017","1009202","12106","2#3280|1#15000|5#12000|7#6280","2","3"
"3018","1009202","12107","2#6480|1#30000|5#24000|7#6480","2","3"
