"#name RankReward","#unique id","#index type rewardId","#collector type","",""
"id","type","rewardId","condition","reward","tex"
"int","int","int","int","reward[]","lang"
"*","*","*","*","*","*"
"序号","类型","奖励ID","达到条件","奖励","条件描述"
"1","2","1","20000","2#20","本服<color=#c74036 >首位战力</color>达到20000的玩家"
"2","2","2","40000","2#20","本服<color=#c74036 >首位战力</color>达到40000的玩家"
"3","2","3","60000","2#20","本服<color=#c74036 >首位战力</color>达到60000的玩家"
"4","2","4","80000","2#20","本服<color=#c74036 >首位战力</color>达到80000的玩家"
"5","2","5","100000","2#20","本服<color=#c74036 >首位战力</color>达到100000的玩家"
"6","2","6","150000","2#20","本服<color=#c74036 >首位战力</color>达到150000的玩家"
"7","2","7","200000","2#20","本服<color=#c74036 >首位战力</color>达到200000的玩家"
"8","2","8","250000","2#20","本服<color=#c74036 >首位战力</color>达到250000的玩家"
"9","2","9","300000","2#20","本服<color=#c74036 >首位战力</color>达到300000的玩家"
"10","2","10","350000","2#20","本服<color=#c74036 >首位战力</color>达到350000的玩家"
"11","2","11","400000","2#20","本服<color=#c74036 >首位战力</color>达到400000的玩家"
"12","2","12","450000","2#20","本服<color=#c74036 >首位战力</color>达到450000的玩家"
"13","2","13","500000","2#20","本服<color=#c74036 >首位战力</color>达到500000的玩家"
"14","2","14","550000","2#20","本服<color=#c74036 >首位战力</color>达到550000的玩家"
"15","2","15","600000","2#20","本服<color=#c74036 >首位战力</color>达到600000的玩家"
"16","2","16","650000","2#20","本服<color=#c74036 >首位战力</color>达到650000的玩家"
"17","2","17","700000","2#20","本服<color=#c74036 >首位战力</color>达到700000的玩家"
"18","2","18","750000","2#20","本服<color=#c74036 >首位战力</color>达到750000的玩家"
"19","2","19","800000","2#20","本服<color=#c74036 >首位战力</color>达到800000的玩家"
"20","2","20","850000","2#20","本服<color=#c74036 >首位战力</color>达到850000的玩家"
"21","2","21","900000","2#20","本服<color=#c74036 >首位战力</color>达到900000的玩家"
"22","2","22","950000","2#20","本服<color=#c74036 >首位战力</color>达到950000的玩家"
"23","2","23","1000000","2#20","本服<color=#c74036 >首位战力</color>达到1000000的玩家"
"51","1","1","10","2#20","本服<color=#c74036 >首位等级</color>达到10级的玩家"
"52","1","2","15","2#20","本服<color=#c74036 >首位等级</color>达到15级的玩家"
"53","1","3","20","2#20","本服<color=#c74036 >首位等级</color>达到20级的玩家"
"54","1","4","25","2#20","本服<color=#c74036 >首位等级</color>达到25级的玩家"
"55","1","5","30","2#20","本服<color=#c74036 >首位等级</color>达到30级的玩家"
"56","1","6","35","2#20","本服<color=#c74036 >首位等级</color>达到35级的玩家"
"57","1","7","40","2#20","本服<color=#c74036 >首位等级</color>达到40级的玩家"
"58","1","8","45","2#20","本服<color=#c74036 >首位等级</color>达到45级的玩家"
"59","1","9","50","2#20","本服<color=#c74036 >首位等级</color>达到50级的玩家"
"60","1","10","55","2#20","本服<color=#c74036 >首位等级</color>达到55级的玩家"
"61","1","11","60","2#20","本服<color=#c74036 >首位等级</color>达到60级的玩家"
