"#name DailyWeeklyTask","#unique id","#collector type","","","","","","","",""
"id","type","taskType","taskParams","taskTargetNum","rewardPoints"
"int","int","string","int[]","long","reward[]"
"*","*","*","*","*","*"
"任务ID","日常周常","任务类型","任务参数","任务完成目标数量","奖励"
"10001","1","LOGIN","","1","101#10|1#50"
"10002","1","RECRUIT_NUM","","3","101#20|1#50"
"10003","1","HERO_UP_LEVEL","","1","101#20|1#50"
"10004","1","TRAININGCAMP_UP_LEVEL","","2","101#10|6#20"
"10005","1","WATCH_ADV","","1","101#10|1#50"
"10006","1","KILL_TYPE_MONSTER","1","200","101#10|5#20"
"10007","1","TREASURE_BOX_OPEN","","5","101#20|1#50"
"10008","1","KILL_TYPE_MONSTER","3","1","101#10|2000001#1"
"10009","1","KILL_TYPE_MONSTER","3","2","101#10|2000001#1"
"10010","1","KILL_TYPE_MONSTER","3","3","101#10|2000001#1"
"10011","1","HOME_COLLECTION_NUM","","50","101#10|4#30"
"10012","1","COMPLETE_DUPLICATE","9","2","101#20|2001003#2"
"10013","1","TOWER_CHALLENGE_NUM","","1","101#10|1#50"
"20001","2","LOGIN_FIRST_EVERYDAY","","5","102#200|1#200"
"20002","2","RECRUIT_NUM","","20","102#200|1#200"
"20003","2","COMPLETE_DUPLICATE","9","5","102#200|2001004#5"
"20004","2","TREASURE_BOX_OPEN","","60","102#100|1#100"
"20005","2","KILL_TYPE_MONSTER","1","2000","102#100|6#200"
"20006","2","KILL_TYPE_MONSTER","3","50","102#100|1#200"
"20007","2","HOME_COLLECTION_NUM","","1000","102#100|1#100"
