"#name Harvest","#unique id","","","","","",""
"id","name","refreshTime","needNum","produce"
"int","lang","int","int","reward"
"*","*","*","*","*"
"收割资源ID","资源名称","刷新时间秒","需收割次数","收割产出"
"4000001","草堆","300","1","4#1"
"4000002","树木1","300","3","4#2"
"4000003","树木2","300","3","4#2"
"4000004","树木3","300","3","4#2"
"4000005","树木4","300","3","4#2"
"4000006","树木5","300","3","4#2"
"4000007","树木6","300","3","4#2"
"4000008","占用1","300","3","4#2"
"4000009","占用2","300","3","4#2"
"4000010","占用3","300","3","4#2"
"4000011","矿石","300","3","6#1"
"4000012","大矿石","300","5","6#2"
"4000013","草堆","300","1","4#1"
"4000014","草堆","300","1","4#1"
"4000015","草堆","300","1","4#1"
"4000016","草堆","300","3","4#2"
"4000017","草堆","300","3","4#2"
"4000018","草堆","300","3","4#2"
"4000019","草堆","300","1","4#1"
"4000020","草堆","300","3","4#2"
"4000021","草堆","300","3","4#2"
"4000022","草堆","300","3","4#2"
