"#name HandbookSuit","#unique id",""
"id","attrs","describe"
"int","attr[]","string"
"*","*","*"
"序号","加成属性","备注"
"111","243#1000","抗暴+10%"
"112","243#800","抗暴+8%"
"113","209#600","命中+6%"
"114","209#300","命中+3%"
"115","209#100","命中+1%"
"121","212#1000","暴伤+10%"
"122","212#800","暴伤+8%"
"123","210#600","闪避+6%"
"124","210#300","闪避+3%"
"125","210#100","闪避+1%"
"131","211#1000","暴击+10%"
"132","211#800","暴击+8%"
"133","213#600","吸血+6%"
"134","213#300","吸血+3%"
"135","213#100","吸血+1%"
"211","243#100","抗暴+1%"
"212","209#200","命中+2%"
"213","243#300","抗暴+3%"
"214","209#600","命中+6%"
"215","210#800","闪避+8%"
"216","211#1000","暴击+10%"
"221","243#800","抗暴+8%"
"222","243#800","抗暴+8%"
"223","211#1000","暴击+10%"
