"#name HandbookCatalog","#unique id","#collector type","","","",""
"id","type","group","groupName","subtype","quality"
"int","int","int","lang","int","int"
"*","*","*","S","*","*"
"序号","图鉴类型","分组","组名","子类","品质"
"0","0","0","总览，不要删了","0","0"
"111","1","1","人族","1","5"
"112","1","1","人族","2","4"
"113","1","1","人族","3","3"
"114","1","1","人族","4","2"
"115","1","1","人族","5","1"
"121","1","2","灵族","1","5"
"122","1","2","灵族","2","4"
"123","1","2","灵族","3","3"
"124","1","2","灵族","4","2"
"125","1","2","灵族","5","1"
"131","1","3","仙族","1","5"
"132","1","3","仙族","2","4"
"133","1","3","仙族","3","3"
"134","1","3","仙族","4","2"
"135","1","3","仙族","5","1"
"211","2","1","人界","1","1"
"212","2","1","人界","2","1"
"213","2","1","人界","3","1"
"214","2","1","人界","4","1"
"215","2","1","人界","5","1"
"216","2","1","人界","6","1"
"221","2","2","灵界","1","1"
"222","2","2","灵界","2","1"
"223","2","2","灵界","3","1"
