"#name HandbookLevel","#unique id","#index quality upType level","","","","",""
"id","quality","upType","level","needLevel","needCost","point","attrs"
"int","int","int","int","int","int","int","attr[]"
"*","*","*","*","*","*","*","*"
"序号","图鉴品质","提升方式","图鉴等级","需要等级","消耗道具数量","增长积分","提升属性"
"1101","1","1","1","1","0","1","202#25|203#4"
"1102","1","1","2","10","0","1","202#51|203#8"
"1103","1","1","3","20","0","1","202#76|203#12"
"1104","1","1","4","30","0","1","202#101|203#16"
"1105","1","1","5","40","0","1","202#127|203#20"
"1106","1","1","6","50","0","1","202#152|203#24"
"1107","1","1","7","60","0","1","202#177|203#28"
"1108","1","1","8","70","0","1","202#202|203#32"
"1109","1","1","9","80","0","1","202#228|203#36"
"1110","1","1","10","90","0","1","202#253|203#40"
"1201","2","1","1","1","0","2","202#38|203#6"
"1202","2","1","2","10","0","2","202#76|203#12"
"1203","2","1","3","20","0","2","202#114|203#18"
"1204","2","1","4","30","0","2","202#152|203#24"
"1205","2","1","5","40","0","2","202#190|203#30"
"1206","2","1","6","50","0","2","202#228|203#36"
"1207","2","1","7","60","0","2","202#266|203#42"
"1208","2","1","8","70","0","2","202#304|203#48"
"1209","2","1","9","80","0","2","202#342|203#54"
"1210","2","1","10","90","0","2","202#380|203#60"
"1301","3","1","1","1","0","3","202#51|203#8"
"1302","3","1","2","10","0","3","202#101|203#16"
"1303","3","1","3","20","0","3","202#152|203#24"
"1304","3","1","4","30","0","3","202#203|203#32"
"1305","3","1","5","40","0","3","202#254|203#40"
"1306","3","1","6","50","0","3","202#304|203#48"
"1307","3","1","7","60","0","3","202#355|203#56"
"1308","3","1","8","70","0","3","202#406|203#64"
"1309","3","1","9","80","0","3","202#456|203#72"
"1310","3","1","10","90","0","3","202#507|203#80"
"1401","4","1","1","1","0","4","202#63|203#10"
"1402","4","1","2","10","0","4","202#127|203#20"
"1403","4","1","3","20","0","4","202#190|203#30"
"1404","4","1","4","30","0","4","202#253|203#40"
"1405","4","1","5","40","0","4","202#317|203#50"
"1406","4","1","6","50","0","4","202#380|203#60"
"1407","4","1","7","60","0","4","202#443|203#70"
"1408","4","1","8","70","0","4","202#506|203#80"
"1409","4","1","9","80","0","4","202#570|203#90"
"1410","4","1","10","90","0","4","202#633|203#100"
"1501","5","1","1","1","0","5","202#76|203#12"
"1502","5","1","2","10","0","5","202#152|203#24"
"1503","5","1","3","20","0","5","202#228|203#36"
"1504","5","1","4","30","0","5","202#304|203#48"
"1505","5","1","5","40","0","5","202#380|203#60"
"1506","5","1","6","50","0","5","202#456|203#71"
"1507","5","1","7","60","0","5","202#532|203#83"
"1508","5","1","8","70","0","5","202#608|203#95"
"1509","5","1","9","80","0","5","202#684|203#107"
"1510","5","1","10","90","0","5","202#760|203#119"
"2101","1","2","1","0","1","1","202#13|203#2"
"2102","1","2","2","0","1","1","202#25|203#4"
"2103","1","2","3","0","1","1","202#38|203#6"
