"#name Tower","#unique id","#index type layer","","","","",""
"id","type","layer","rewards","monster","refreshType","dailyRewards"
"int","int","int","reward[]","monster[]","int","reward[]"
"*","*","*","*","*","*","S"
"序号","塔类型","层数","通关奖励","怪物","刷怪点类型（0固定 1随机）","爬塔每日奖励"
"1","1","1","1#10|6#10|2003017#10","1#7002001|2#7002002|6#7010001|7#7010001","0","1#30|5#60|4#54|6#36"
"2","1","2","1#10|6#11|2003017#10","1#7002003|2#7002004|6#7010002|7#7010002","0","1#30|5#60|4#54|6#36"
"3","1","3","1#10|6#12|2003017#10","1#7002005|2#7002006|6#7010003|7#7010003","0","1#30|5#60|4#54|6#36"
"4","1","4","1#10|6#13|2003017#10","1#7002007|2#7002008|6#7010004|7#7010004","0","1#30|5#60|4#54|6#36"
"5","1","5","2000001#1|6#14|2003016#30","1#7002009|2#7002010|6#7010005|7#7010005","0","1#30|5#60|4#54|6#36"
"6","1","6","1#10|6#15|2003017#10","1#7002011|2#7002012|6#7010006|7#7010006","0","1#31|5#62|4#56|6#37"
"7","1","7","1#10|6#16|2003017#10","1#7002013|2#7002014|6#7010007|7#7010007","0","1#31|5#62|4#56|6#37"
"8","1","8","1#10|6#17|2003017#10","1#7002015|2#7002016|6#7010008|7#7010008","0","1#31|5#62|4#56|6#37"
"9","1","9","1#10|6#18|2003017#10","1#7002017|2#7002018|6#7010009|7#7010009","0","1#31|5#62|4#56|6#37"
"10","1","10","2000001#1|6#19|2003016#30","1#7002019|2#7002020|6#7010010|7#7010010","0","1#31|5#62|4#56|6#37"
"11","1","11","1#15|6#20|2003017#10","1#7002021|2#7002022|6#7010011|7#7010011","0","1#32|5#64|4#58|6#38"
"12","1","12","1#15|6#22|2003017#10","1#7002023|2#7002024|6#7010012|7#7010012","0","1#32|5#64|4#58|6#38"
"13","1","13","1#15|6#24|2003017#10","1#7002025|2#7002026|6#7010013|7#7010013","0","1#32|5#64|4#58|6#38"
"14","1","14","1#15|6#26|2003017#10","1#7002027|2#7002028|6#7010014|7#7010014","0","1#32|5#64|4#58|6#38"
"15","1","15","2000001#1|6#28|2003016#30","1#7002029|2#7002030|6#7010015|7#7010015","0","1#32|5#64|4#58|6#38"
"16","1","16","1#15|6#30|2003017#10","1#7002031|2#7002032|6#7010016|7#7010016","0","1#33|5#66|4#59|6#40"
"17","1","17","1#15|6#32|2003017#10","1#7002033|2#7002034|6#7010017|7#7010017","0","1#33|5#66|4#59|6#40"
"18","1","18","1#15|6#34|2003017#10","1#7002035|2#7002036|6#7010018|7#7010018","0","1#33|5#66|4#59|6#40"
"19","1","19","1#15|6#36|2003017#10","1#7002037|2#7002038|6#7010019|7#7010019","0","1#33|5#66|4#59|6#40"
"20","1","20","2000001#1|6#38|2003016#30","1#7002039|2#7002040|6#7010020|7#7010020","0","1#33|5#66|4#59|6#40"
"21","1","21","1#20|6#40|2003017#10","1#7002041|2#7002042|6#7010021|7#7010021","0","1#34|5#68|4#61|6#41"
"22","1","22","1#20|6#43|2003017#10","1#7002043|2#7002044|6#7010022|7#7010022|8#7010022","0","1#34|5#68|4#61|6#41"
"23","1","23","1#20|6#46|2003017#10","1#7002045|2#7002046|6#7010023|7#7010023|8#7010023","0","1#34|5#68|4#61|6#41"
"24","1","24","1#20|6#49|2003017#10","1#7002047|2#7002048|6#7010024|7#7010024|8#7010024","0","1#34|5#68|4#61|6#41"
"25","1","25","2000001#2|6#52|2003016#30","1#7002049|2#7002050|6#7010025|7#7010025|8#7010025","0","1#34|5#68|4#61|6#41"
"26","1","26","1#20|6#55|2003017#10","1#7002051|2#7002052|6#7010026|7#7010026|8#7010026","0","1#35|5#70|4#63|6#42"
"27","1","27","1#20|6#58|2003017#10","1#7002053|2#7002054|3#7002055|6#7010027|7#7010027|8#7010027","0","1#35|5#70|4#63|6#42"
"28","1","28","1#20|6#61|2003017#10","1#7002056|2#7002057|3#7002058|6#7010028|7#7010028|8#7010028","0","1#35|5#70|4#63|6#42"
"29","1","29","1#20|6#64|2003017#10","1#7002059|2#7002060|3#7002061|6#7010029|7#7010029|8#7010029","0","1#35|5#70|4#63|6#42"
"30","1","30","2000001#2|6#67|2003016#30","1#7002062|2#7002063|3#7002064|6#7010030|7#7010030|8#7010030","0","1#35|5#70|4#63|6#42"
"31","1","31","1#25|6#70|2003017#10","1#7002065|2#7002066|3#7002067|6#7010031|7#7010031|8#7010031","0","1#36|5#72|4#65|6#43"
"32","1","32","1#25|6#74|2003017#10","1#7002068|2#7002069|3#7002070|6#7010032|7#7010032|8#7010032","0","1#36|5#72|4#65|6#43"
"33","1","33","1#25|6#78|2003017#10","1#7002071|2#7002072|3#7002073|6#7010033|7#7010033|8#7010033","0","1#36|5#72|4#65|6#43"
"34","1","34","1#25|6#82|2003017#10","1#7002074|2#7002075|3#7002076|6#7010034|7#7010034|8#7010034","0","1#36|5#72|4#65|6#43"
"35","1","35","2000001#2|6#86|2003016#30","1#7002077|2#7002078|3#7002079|6#7010035|7#7010035|8#7010035","0","1#36|5#72|4#65|6#43"
