"#name Vip","#unique level","","","",""
"level","needExp","privilege","rewards","currentPrice"
"int","long","keyv[]","reward[]","int"
"*","*","*","*","*"
"vip等级","贵族经验奖励","vip特权","vip奖励","现价"
"0","60","0","","0"
"1","300","101#500","6#300|1#1000|5#1000","188"
"2","1000","101#500|102#500","2001025#50|1#1500|5#2000","388"
"3","2000","101#1000|102#500","2001025#100|1#2500|5#3000","588"
"4","5000","101#1000|102#1000","2001025#150|1#3000|5#3500","788"
"5","10000","101#1500|102#1000","2001024#50|1#4500|5#5000","988"
"6","20000","101#1500|102#1500","2001024#50|2001003#10|2000008#500","1188"
"7","50000","101#2000|102#1500","2001024#150|2001003#10|2000008#600","1388"
"8","100000","101#2000|102#2000","2001024#200|2001003#10|2000008#800","1588"
"9","200000","101#2500|102#2000","2001026#50|2001003#10|2000008#800","1788"
"10","300000","101#2500|102#2500","2001026#100|2001003#10|2000008#1000","1988"
"11","500000","101#3000|102#2500","2001026#150|2001004#10|2000009#10","2188"
"12","800000","101#3000|102#3000","2001026#200|2001004#10|2000009#15","2388"
"13","1000000","101#3500|102#3000","2001026#250|2001004#20|2000009#15","2588"
"14","1500000","101#4000|102#3000","2001026#300|2001004#20|2000009#20","2788"
"15","0","101#5000|102#3000","2001026#350|2001004#20|2000009#25","2988"
