"#name Fairyland","#unique id","","","","",""
"id","reward","godHP","fenceHP","fenceBuild","randomReward","showRewrad"
"int","reward","int","int","cost","int[]","int[]"
"*","*","*","*","*","*","*"
"仙境关卡Id","通关奖励","神像血量","栅栏血量","栅栏消耗","随机奖励","展示奖励"
"1","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"2","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"3","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"4","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"5","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"6","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"7","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"8","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"9","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"10","9#10","10000","100","4#100","2017#2022","3003038#3003048"
"11","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"12","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"13","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"14","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"15","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"16","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"17","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"18","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"19","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"20","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"21","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"22","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"23","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"24","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"25","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"26","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"27","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"28","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"29","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"30","9#10","10000","100","4#100","2018#2023","3003038#3003048#3003058"
"31","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"32","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"33","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"34","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"35","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"36","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"37","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"38","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"39","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"40","9#10","10000","100","4#100","2019#2024","3004038#3004048#3004058"
"41","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"42","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"43","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"44","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"45","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"46","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"47","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"48","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"49","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"50","9#10","10000","100","4#100","2020#2025","3005038#3005048#3005058"
"51","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"52","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"53","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"54","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"55","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"56","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"57","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"58","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"59","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"60","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"61","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"62","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"63","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"64","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"65","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"66","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"67","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"68","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"69","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"70","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"71","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"72","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"73","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"74","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"75","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"76","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"77","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"78","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"79","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
"80","9#10","10000","100","4#100","2021#2026","3005038#3005048#3005058"
