"#name FairylandMonster","#unique id","#index difficulty wave","#collector difficulty",""
"id","difficulty","wave","monsters","refreshType"
"int","int","int","monster[]","int"
"*","*","*","*","*"
"序号","难度","波","怪物刷新","刷怪点类型（0固定 1随机）"
"1","1","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"2","1","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"3","1","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"4","1","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"5","1","5","2#7000901#1","0"
"6","1","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"7","1","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"8","1","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"9","1","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"10","1","10","3#7000901#1","0"
"11","1","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"12","1","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"13","1","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"14","1","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"15","1","15","1#7000901#1","0"
"16","1","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"17","1","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"18","1","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"19","1","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"20","1","20","2#7000901#1","0"
"21","1","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"22","1","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"23","1","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"24","1","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"25","1","25","3#7000901#1","0"
"26","1","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"27","1","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"28","1","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"29","1","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"30","1","30","1#7000901#1","0"
"31","2","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"32","2","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
"33","2","3","1#7000002#10|2#7000002#10|3#7000002#10","0"
"34","2","4","1#7000002#15|2#7000002#15|3#7000002#15","0"
"35","2","5","2#7000901#1","0"
"36","2","6","1#7000002#10|2#7000002#10|3#7000002#10","0"
"37","2","7","1#7000002#14|2#7000002#14|3#7000002#14","0"
"38","2","8","1#7000002#10|2#7000002#10|3#7000002#10","0"
"39","2","9","1#7000002#15|2#7000002#15|3#7000002#15","0"
"40","2","10","3#7000901#1","0"
"41","2","11","1#7000002#9|2#7000002#9|3#7000002#9","0"
"42","2","12","1#7000002#13|2#7000002#13|3#7000002#13","0"
"43","2","13","1#7000002#10|2#7000002#10|3#7000002#10","0"
"44","2","14","1#7000002#13|2#7000002#13|3#7000002#13","0"
"45","2","15","1#7000901#1","0"
"46","2","16","1#7000002#10|2#7000002#10|3#7000002#10","0"
"47","2","17","1#7000002#15|2#7000002#15|3#7000002#15","0"
"48","2","18","1#7000002#10|2#7000002#10|3#7000002#10","0"
"49","2","19","1#7000002#15|2#7000002#15|3#7000002#15","0"
"50","2","20","2#7000901#1","0"
"51","2","21","1#7000002#10|2#7000002#10|3#7000002#10","0"
"52","2","22","1#7000002#15|2#7000002#15|3#7000002#15","0"
"53","2","23","1#7000002#15|2#7000002#15|3#7000002#15","0"
"54","2","24","1#7000002#15|2#7000002#15|3#7000002#15","0"
"55","2","25","3#7000901#1","0"
"56","2","26","1#7000002#10|2#7000002#10|3#7000002#10","0"
"57","2","27","1#7000002#10|2#7000002#10|3#7000002#10","0"
"58","2","28","1#7000002#15|2#7000002#15|3#7000002#15","0"
"59","2","29","1#7000002#15|2#7000002#15|3#7000002#15","0"
"60","2","30","1#7000901#1","0"
"61","3","1","1#7000002#10|2#7000002#10|3#7000002#10","0"
"62","3","2","1#7000002#13|2#7000002#13|3#7000002#13","0"
