"#name Guide","#unique id","#index group subId","","","","","","","","","","","","","","","","","",""
"id","group","subId","type","beizhu"
"int","int","int","int","string"
"*","*","*","*","*"
"序号","引导组ID","步骤","引导类型","备注"
"1","1","1","4","进入游戏时，触发剧情对白"
"2","1","2","1","镜头移动到明月心处"
"3","1","3","2","对白完成，指引移动"
"4","2","1","4","杀完人参果，触发剧情对话"
"5","2","2","3","指引点击明月心的交互按钮"
"6","2","3","3","点击关闭明月心获得界面"
"7","3","1","3","指引点击完成任务"
"8","4","1","3","前方迷雾，触发剧情对白"
"9","4","2","3","引导点击迷雾交互按钮"
"10","5","1","3","指引点击完成任务"
"11","6","1","3","接取解救雨师任务，引点击任务"
"12","7","1","3","任务完成指引点击完成任务"
"13","8","1","3","接取解救雨师任务，引点击任务"
"14","9","1","3","任务完成指引点击完成任务"
"15","10","1","3","任务完成指引点击完成任务"
"16","11","1","4","完成任务，触发对话"
"17","15","1","3","指引点击神坛按钮"
"18","16","1","4","接取任务，指引点击"
"19","17","1","4","接取任务，指引点击"
"20","18","1","4","接取任务，指引点击"
"21","19","1","3","指引点击神坛按钮"
"101","101","1","3","靠近神坛，指引点击神坛交互按钮"
"102","101","2","4","神坛介绍对白"
"103","101","3","3","点击普通天赋按钮"
"104","101","4","3","点击解锁按钮"
"105","101","5","3","神坛引导结束后，指引点击完成任务"
"112","103","1","3","靠近神像时，指引打开神像界面"
"113","103","2","4","播放剧情对白"
"114","103","3","3","召唤英雄"
"115","103","4","4","播放剧情对白"
"116","103","5","3","指引点击伙伴按钮"
"117","103","6","3","点击伙伴"
"118","103","7","3","点击伙伴升级"
"119","104","1","4","接取任务，触发剧情对话"
"120","104","2","3","靠近神坛，指引点击神坛交互按钮"
"121","104","3","4","打开界面时触发剧情对白"
"122","104","4","3","点击人数+1按钮"
"123","104","5","3","点击解锁按钮"
"125","105","1","3","上阵人数任务完成后，指引点击出战按钮"
"126","105","2","3","打开上阵界面后，指引点击打开出战界面"
"127","105","3","4","打开出战界面后，播放剧情文本"
