"#name LanguageAuto","#unique id","#index langId"
"id","langId","cn","en"
"int","string","string","string"
"*","*","*","*"
"序号","语言ID","简体中文","英文"
"1","Item_Name_1","金币",""
"2","Item_Name_2","仙玉",""
"3","Item_Name_3","角色经验",""
"4","Item_Name_4","木材",""
"5","Item_Name_5","精元",""
"6","Item_Name_6","灵石",""
"7","Item_Name_7","VIP经验",""
"8","Item_Name_8","神像积分",""
"9","Item_Name_9","仙境积分",""
"10","Item_Name_10","炼狱积分",""
"11","Item_Name_101","日常活跃度",""
"12","Item_Name_102","周常活跃度",""
"13","Item_Name_1040001","昊天",""
"14","Item_Name_1040002","轩辕",""
"15","Item_Name_1040003","火神祝融",""
"16","Item_Name_1040004","伏羲",""
"17","Item_Name_1040005","帝释天",""
"18","Item_Name_1040006","真武大帝",""
"19","Item_Name_1040007","杀神白起",""
"20","Item_Name_1040008","东皇太一",""
"21","Item_Name_1040009","白泽",""
"22","Item_Name_1040010","羲和",""
"23","Item_Name_1040011","女娲",""
"24","Item_Name_1040012","西王母",""
"25","Item_Name_1040013","九天玄女",""
"26","Item_Name_1040014","乔帮主",""
"27","Item_Name_1030001","天蓬",""
"28","Item_Name_1030002","程咬金",""
"29","Item_Name_1030003","东方教主",""
"30","Item_Name_1030004","杨戬",""
"31","Item_Name_1030005","吕洞宾",""
"32","Item_Name_1030006","巨灵神",""
"33","Item_Name_1030007","少司命",""
"34","Item_Name_1030008","哪吒",""
"35","Item_Name_1030009","陆吾",""
"36","Item_Name_1030010","洪七",""
"37","Item_Name_1030011","莫邪",""
"38","Item_Name_1030012","后羿",""
"39","Item_Name_1030013","庄周",""
"40","Item_Name_1030014","墨生",""
"41","Item_Name_1030015","灶君司命",""
"42","Item_Name_1030016","灵鹫宫主",""
"43","Item_Name_1030017","水神共工",""
"44","Item_Name_1030018","小龙女",""
"45","Item_Name_1030019","句芒",""
"46","Item_Name_1030020","嫦娥",""
"47","Item_Name_1030021","九尾狐",""
"48","Item_Name_1020001","李大侠",""
"49","Item_Name_1020002","夺命剑客",""
"50","Item_Name_1020003","白无常",""
"51","Item_Name_1020004","雨师",""
"52","Item_Name_1020005","黑无常",""
"53","Item_Name_1020006","雷震子",""
"54","Item_Name_1020007","风师",""
"55","Item_Name_1010001","江鱼儿",""
"56","Item_Name_1010002","叶城",""
"57","Item_Name_1010003","苏颖",""
"58","Item_Name_1010004","铁小蓝",""
"59","Item_Name_1010005","明月新",""
"60","Item_Name_2000001","仙晶",""
"61","Item_Name_2000002","装备抽奖券",""
"62","Item_Name_2000003","神像刷新券",""
"63","Item_Name_2000004","装备材料(普通)",""
"64","Item_Name_2000005","装备材料(高级)",""
"65","Item_Name_2000006","普通法宝招募券",""
"66","Item_Name_2000007","高级法宝招募券",""
"67","Item_Name_2000008","伙伴突破石",""
"68","Item_Name_2000009","伙伴觉醒石",""
"69","Item_Name_2000010","改名卡",""
"70","Item_Name_2000011","代金券（单位分）",""
"71","Item_Name_2000012","装备精华",""
"72","Item_Name_2000013","超级法宝招募券",""
"73","Item_Name_2000014","竞技场挑战令",""
"74","Item_Name_2000101","修罗神",""
"75","Item_Name_2000102","修罗王",""
"76","Item_Name_2000103","修罗使者",""
"77","Item_Name_2001001","黄金洞窟入场券",""
"78","Item_Name_2001003","秘境卷轴(普通)",""
"79","Item_Name_2001004","秘境卷轴(稀有)",""
"80","Item_Name_2001005","20级副本券(普通)",""
"81","Item_Name_2001006","20级副本券(稀有)",""
"82","Item_Name_2001007","30级副本券(普通)",""
"83","Item_Name_2001008","30级副本券(稀有)",""
"84","Item_Name_2001009","40级副本券(普通)",""
"85","Item_Name_2001010","40级副本券(稀有)",""
"86","Item_Name_2001011","50级副本券(普通)",""
"87","Item_Name_2001012","50级副本券(稀有)",""
"88","Item_Name_2001013","60级副本券(普通)",""
"89","Item_Name_2001014","60级副本券(稀有)",""
"90","Item_Name_2001020","仙玉礼包",""
"91","Item_Name_2001021","资源自选包",""
"92","Item_Name_2001022","中级资源包",""
"93","Item_Name_2001023","高级资源包",""
"94","Item_Name_2001024","传奇伙伴(自选)",""
"95","Item_Name_2001025","卓越伙伴(自选)",""
"96","Item_Name_2001026","无双伙伴(自选)",""
"97","Item_Name_2001034","秘境挑战券(稀有)",""
"98","Item_Name_2001035","秘境挑战券(普通)",""
"99","Item_Name_2005001","图鉴1",""
"100","Item_Name_2005002","图鉴2",""
"101","Item_Name_2005003","图鉴3",""
"102","Item_Name_2005004","图鉴4",""
"103","Item_Name_2005005","图鉴5",""
"104","Item_Name_2005006","图鉴6",""
"105","Item_Name_2005007","图鉴7",""
"106","Item_Name_2005008","图鉴8",""
"107","Item_Name_2005009","图鉴9",""
"108","Item_Name_2005010","图鉴10",""
"109","Item_Name_2005011","图鉴11",""
"110","Item_Name_2005012","图鉴12",""
"111","Item_Name_2005013","图鉴13",""
"112","Item_Name_2005014","图鉴14",""
"113","Item_Name_2005015","图鉴15",""
"114","Item_Name_2005016","图鉴16",""
"115","Item_Name_2005017","图鉴17",""
"116","Item_Name_2005018","图鉴18",""
"117","Item_Name_2005019","图鉴19",""
"118","Item_Name_2005020","图鉴20",""
"119","Item_Name_2005021","图鉴21",""
"120","Item_Name_2005022","图鉴22",""
"121","Item_Name_2005023","图鉴23",""
"122","Item_Name_2005024","图鉴24",""
"123","Item_Name_2005025","图鉴25",""
"124","Item_Name_2005026","图鉴26",""
"125","Item_Name_2005027","图鉴27",""
"126","Item_Name_2005028","图鉴28",""
"127","Item_Name_2005029","图鉴29",""
"128","Item_Name_2005030","图鉴30",""
"129","Item_Name_2005031","图鉴31",""
"130","Item_Name_2005032","图鉴32",""
"131","Item_Name_2005033","图鉴33",""
"132","Item_Name_2005034","图鉴34",""
"133","Item_Name_2005035","图鉴35",""
"134","Item_Name_2005036","图鉴36",""
"135","Item_Name_2005037","图鉴37",""
"136","Item_Name_2005038","图鉴38",""
"137","Item_Name_2005039","图鉴39",""
"138","Item_Name_2005040","图鉴40",""
"139","Item_Name_2005041","图鉴41",""
"140","Item_Name_2005042","图鉴42",""
"141","Item_Name_2005043","图鉴43",""
"142","Item_Name_2005044","图鉴44",""
"143","Item_Name_2005045","图鉴45",""
"144","Item_Name_2005046","图鉴46",""
"145","Item_Name_2005047","图鉴47",""
"146","Item_Name_2005048","图鉴48",""
"147","Item_Name_2005049","图鉴49",""
"148","Item_Name_2005050","图鉴50",""
"149","Item_Name_2005051","图鉴51",""
"150","Item_Name_2005052","图鉴52",""
"151","Item_Name_2005053","图鉴53",""
"152","Item_Name_2005054","图鉴54",""
"153","Item_Name_2003001","20级橙装随机包",""
"154","Item_Name_2003002","30级橙装随机包",""
"155","Item_Name_2003003","40级橙装随机包",""
"156","Item_Name_2003004","50级橙装随机包",""
"157","Item_Name_2003005","60级套装武器",""
"158","Item_Name_2003006","60级套装项链",""
"159","Item_Name_2003007","60级套装戒指",""
"160","Item_Name_2003008","60级套装头盔",""
"161","Item_Name_2003009","60级套装衣服",""
"162","Item_Name_2003010","60级套装靴子",""
"163","Item_Name_2003011","秘境挑战券(稀有)",""
"164","Item_Name_2003012","60级套装(自选)",""
"165","Item_Name_2003016","随机紫品伙伴",""
"166","Item_Name_2003017","随机绿品伙伴",""
"167","Item_Name_2003018","随机蓝品伙伴",""
"168","Item_Name_2003019","秘境挑战券(普通)",""
"169","Item_Name_2003020","30级蓝装",""
"170","Item_Name_2003021","30级紫装",""
"171","Item_Name_2003022","30级橙装",""
"172","Item_Name_2003026","40级蓝装",""
"173","Item_Name_2003027","40级紫装",""
"174","Item_Name_2003028","40级橙装",""
"175","Item_Name_2003029","50级蓝装",""
"176","Item_Name_2003030","50级紫装",""
"177","Item_Name_2003031","50级橙装",""
"178","Item_Name_2003032","60级套装(随机)",""
"179","Item_Name_2003033","10级绿装",""
"180","Item_Name_2003034","10级蓝装",""
