"#name LanguageCustomize","#unique id","#index langId","","","",""
"id","langId","cn","hk","en","jap","kr"
"int","string","string","string","string","string","string"
"*","*","*","*","*","*","*"
"序号","语言ID","简体中文","繁体中文","英语","日语","韩语"
"1","Some_Id","想填什么填什么","","","",""
"2","Paused","是否返回主城？","","","",""
"3","Tower_1","<color=#b8fff7>当前层数：</c><color=#ff9023>{0}</c><br/>","","","",""
"4","Tower_2","<color=#b8fff7>星期</c><color=#3dff2e>{0}</c><color=#b8fff7>开启</c>","","","",""
"5","Tower_3","<color=#b8fff7>全天可挑战</c>","","","",""
"6","GoldenPigStage","可挑战次数：","","","",""
"7","Statue_1","召唤<color=#57FFB2>10</color>次后出<color=#FF7D1F>传说</color>","","","",""
"8","Statue_2","召唤<color=#57FFB2>10</color>次后出<color=#c818fd>史诗</color>","","","",""
"9","Statue_rules","每天首次二抽时，打<color=#57FFB2>5</color>折<br/>每召唤累计召唤<color=#57FFB2>10</color>次，可提升<color=#c818fd>SSR</color>和<color=#FF7D1F>SP</color>出现几率<br/>每半小时自动刷新一次召唤卡牌<br/>每日限抽9999次<br/>橙色伙伴抽中概率1%<br/>紫色伙伴抽中概率12%<br/>蓝色伙伴抽中概率29%<br/>绿色伙伴抽中概率58%","","","",""
"10","Statue_tips","需要修建兑换商店","","","",""
"11","dup","是否确定退出当前副本？<br/><color=#50ff69>（退出不扣除副本次数）</color>","","","",""
"12","zbg_xianyu_song","送","","","",""
"13","zbg_xianyu_yuan","元","","","",""
"14","zbg_xianyu_shouchong","首充送","","","",""
"15","zbg_xianyu_fanli","返利送","","","",""
"16","zbg_tehui_xiangou","限购{0}/{1}次","","","",""
"17","zbg_tehui_yj_xiangou","永久{0}/{1}次","","","",""
"18","zbg_dingzhi_selecttxt","请选择直购奖励","","","",""
"19","zbg_dingzhi_presstxt","长按图标可以查看道具详情","","","",""
"20","zbg_cancel_btntxt","取消","","","",""
"21","zbg_confirm_btntxt","确认","","","",""
"22","telepor_circle","请先建设传送法阵","","","",""
"23","mail_delete_tips","是否删除所有已读邮件<br/>（不删除含有附件的信件）","","","",""
"24","mail_delete_batch_btn","删除已读","","","",""
"25","mail_receive_batch_btn","一键领取","","","",""
"26","exchangeshop_sub_tips","最少兑换数量不能少于1","","","",""
"27","exchangeshop_add_tips","已达到最大兑换上限","","","",""
"28","exchangeshop_saleout","已售罄","","","",""
"29","exchangeshop_thing_lack","货币不足，无法兑换","","","",""
"30","exchangeshop_buy_limit","限购{0}/{1}","","","",""
"31","exchangeshop_con_key2","{0}级解锁","","","",""
"32","exchangeshop_con_key3","Vip{0}级解锁","","","",""
"33","exchangeshop_con_key5","炼狱{0}阶解锁","","","",""
"34","exchangeshop_con_key6","仙境{0}阶解锁","","","",""
"35","msgbox_cost_front","是否花费","","","",""
"36","msgbox_cost_back","进行兑换？","","","",""
"37","msgbox_title","提示","","","",""
"38","assistance_speech","无垢华莲，秒杀全场","","","",""
"39","firstrecharge_go_recharge","前往充值","","","",""
"40","firstrecharge_not_reach","未达成","","","",""
"41","firstrecharge_took_reward","已领取","","","",""
"42","firstrecharge_has_reward","领取","","","",""
"43","resources_have_cap","已达到资源拥有上限","","","",""
"44","fog_unlocked_level","{0}级后解锁","","","",""
"45","quick_purchase_tips_1","仙玉不足","","","",""
"46","quick_purchase_tips_2","仙玉不足，是否前往充值？","","","",""
"47","quick_purchase_tips_3","是否消耗仙玉购买该道具","","","",""
"48","excited","兴奋","","","",""
"49","normal","正常","","","",""
"50","fatigue","疲劳","","","",""
"51","detachment","脱力","","","",""
"52","character_status_tips","经验获取效率<color=#57FFB2>{0}</color>","","","",""
"53","rankings_tips_1","等级达到{0}级","","","",""
"54","rankings_tips_2","战力达到{0}","","","",""
"55","rankings_tips_3","上阵伙伴战力{0}","","","",""
"56","rankings_tips_4","穿戴装备评分{0}","","","",""
"57","rankings_tips_5","迷雾解锁数量{0}","","","",""
"58","Statue_3","刷新必出<color=#FF7D1F>SP</color>","","","",""
"59","Statue_4","刷新必出<color=#c818fd>SSR</color>","","","",""
"60","hero_pos_lv_lock","Lv.{0}","","","",""
"61","hero_pos_open_server_day_lock","或开服{0}天","","","",""
"62","language1","安全区不可使用","","","",""
"63","language2","露营冷却中,请稍后","","","",""
"64","language3","安全区不可露营","","","",""
"65","language4","当前正在露营中!","","","",""
"66","language5","敬请期待","","","",""
"67","language6","激活建筑后开启功能！","","","",""
"68","language7","暂未支持，敬请期待","","","",""
"69","language8","当前已经达到最大使用数量","","","",""
"70","language9","使用数量不能少于1个","","","",""
"71","language10","功能未开启！","","","",""
"72","language11","请选择道具！","","","",""
"73","language12","尚未开放","","","",""
"74","language13","跳转到直购界面","","","",""
"75","language14","{0}级后解锁","","","",""
"76","language15","通关{0}解锁","","","",""
"77","language16","道具不足无法进入","","","",""
"78","language17","您暂时没开启自动战斗特权","","","",""
"79","language18","背包已满","","","",""
"80","language19","领取成功","","","",""
"81","language20","请先鉴定装备","","","",""
"82","language21","无可穿戴的装备","","","",""
"83","language22","请选择装备","","","",""
"84","language23","装备已锁定,无法操作","","","",""
"85","language24","未选择装备","","","",""
"86","language25","穿戴成功","","","",""
"87","language26","装备未鉴定,不可分解","","","",""
"88","language27","最少购买数量不能少于1","","","",""
"89","language28","已达到最大购买上限","","","",""
"90","language29","充值成功","","","",""
"91","language30","协议名称不能为空","","","",""
"92","language31","该协议不存在，请检查协议文件","","","",""
"93","language32","发送成功","","","",""
"94","language33","发送失败","","","",""
"95","language34","开服天数：{0}","","","",""
"96","language35","服务器时间：{0}","","","",""
"97","language36","挑战次数不足","","","",""
"98","language37","伙伴65级开启","","","",""
"99","language38","英雄已满级","","","",""
"100","language39","伙伴碎片不足","","","",""
"101","language40","请前往安全区内操作！","","","",""
"102","language41","已达上限","","","",""
"103","language42","已选中：","","","",""
"104","language43","当前上阵的英雄为空，无法进入战斗","","","",""
"105","language44","当前布阵不允许上阵其他类型英雄","","","",""
"106","language45","队伍人数不能为0","","","",""
"107","language46","等级不足","","","",""
"108","language47","人数已达上限，可通过神坛提高上限","","","",""
"109","language48","神坛等级不足","","","",""
"110","language49","已满级","","","",""
"111","language50","请输入用户名！","","","",""
"112","language51","服务器连接失败","","","",""
"113","language52","今日已领取","","","",""
"114","language53","累计召唤10次后开放多倍召唤功能","","","",""
"115","language54","当前卡牌已抽空","","","",""
"116","language55","不满足领取条件","","","",""
"117","language56","进阶成功","","","",""
"118","language57","未激活","","","",""
"119","language58","{0}阶","","","",""
"120","language59","兑换码不能为空！","","","",""
"121","language60","无改名卡","","","",""
"122","language61","昵称不能为空！","","","",""
"123","language62","昵称不能重复！","","","",""
"124","language63","文本内容存在敏感字！","","","",""
"125","language64","功能未开放","","","",""
"126","language65","已复制在剪贴板","","","",""
"127","language66","文本复制失败","","","",""
"128","language67","无法复制文本","","","",""
"129","language68","天数不够","","","",""
"130","language69","安全区才可以操作","","","",""
"131","language70","可在神坛页面提升上阵人数","","","",""
"132","language71","快去收集资源吧","","","",""
"133","language72","请等待怪物刷新","","","",""
"134","language73","请每天登陆一次","","","",""
"135","language74","请前往击杀Boss获得宝箱！","","","",""
"136","language75","请前往采集木头","","","",""
"137","language76","击杀怪物获得精元","","","",""
"138","language77","请前往采集灵石","","","",""
"139","language78","道具不足","","","",""
"140","language79","今日已领取","","","",""
"141","language80","购买成功","","","",""
"142","language81","首充后可购买！","","","",""
"143","language82","不能传送到自己当前的位置","","","",""
"144","language83","请先消灭附近的怪物","","","",""
"145","language84","迷雾已驱散","","","",""
"146","language85","升级成功","","","",""
"147","language86","网络异常","","","",""
"148","language87","集齐","","","",""
"149","language88","件：{0}","","","",""
"150","language89","商品正在重置","","","",""
"151","language90","{0}后重置","","","",""
"152","language91","兑换道具","","","",""
"153","language92","兑换","","","",""
"154","language93","购买道具","","","",""
"155","language94","购买","","","",""
"156","language95","技能：浮空血斩","","","",""
"157","language96","群攻聚怪控制","","","",""
"158","language97","技能：无垢华莲","","","",""
"159","language98","群攻持续输出","","","",""
"160","language99","沒有功能描述","","","",""
"161","language100","{0}级解锁","","","",""
"162","language101","突破","","","",""
"163","language102","升级","","","",""
"164","language103","无已激活伙伴","","","",""
"165","language104","敬请期待!","","","",""
"166","language105","等级上限","","","",""
"167","language106","觉醒","","","",""
"168","language107","{0}觉","","","",""
"169","language108","已选中：{0}","","","",""
"170","language109","单次木材产量","","","",""
"171","language110","单次灵石产量","","","",""
"172","language111","单次金币产量","","","",""
"173","language112","最大收集量","","","",""
"174","language113","生产间隔/秒","","","",""
"175","language114","第{0}天","","","",""
"176","language115","签到天数：{0}","","","",""
"177","language116","当前轮数:","","","",""
"178","language117","虚位以待","","","",""
"179","language118","{0}元","","","",""
"180","language119","购买立得","","","",""
"181","language120","每日奖励","","","",""
"182","language121","神 像","","","",""
"183","language122","等级","","","",""
"184","language123","评分","","","",""
"185","language124","战力","","","",""
"186","language125","数量","","","",""
"187","language126","已满阶","","","",""
"188","language127","第{0}层","","","",""
"189","language128","免费","","","",""
"190","language129","免费奖励","","","",""
"191","language130","前往下一层","","","",""
"192","language131","{0}级","","","",""
"193","language132","小时","","","",""
"194","language133","{0}不足","","","",""
"195","language134","观看广告可提升宝箱奖励！","","","",""
"196","language135","剩余次数:{0}","","","",""
"197","language136","可领取天数：{0}","","","",""
"198","language137","活跃战令","","","",""
"199","language138","等级战令","","","",""
"200","language139","购买后可提升至{0}级立即领取","","","",""
"201","language140","已购买","","","",""
"202","language141","【世界】","","","",""
"203","language142","【跨服】","","","",""
"204","language143","CD冷却中","","","",""
"205","language144","每日5点刷新","","","",""
"206","language145","每周一5点刷新","","","",""
"207","language146","当前没有可删除的邮件","","","",""
"208","language147","当前没有可领取的邮件","","","",""
"209","language148","请先前往：{0}","","","",""
"210","language149","还差{0}积分可获得奖励","","","",""
"211","language150","请前往提升角色等级","","","",""
"212","language151","每日22:30根据排名结算","","","",""
"213","language152","开服第6天首次结算，后续每周三22:30进行结算","","","",""
"214","language153","是否确定退出当前挑战？<br/><color=#50ff69>（退出将认定挑战失败）</color>","","","",""
"215","language154","请前往设置阵容","","","",""
"216","language155","建造完成","","","",""
