"#name EvilCatalog","#unique id","#collector identity","#index identity level",""
"id","identity","level","costBody","attr"
"int","int","int","int","attr[]"
"*","*","*","*","*"
"序号","标识","阶级","消耗本体数量","属性加成"
"1001","2041101","1","1","224#6|223#72"
"1002","2041101","2","2","224#8|223#96"
"1003","2041101","3","4","224#10|223#120"
"1004","2041101","4","10","224#12|223#144"
"1005","2041101","5","0","224#20|223#240"
"1006","2041102","1","1","224#6|223#72"
"1007","2041102","2","2","224#8|223#96"
"1008","2041102","3","4","224#10|223#120"
"1009","2041102","4","10","224#12|223#144"
"1010","2041102","5","0","224#20|223#240"
"1011","2041103","1","1","224#6|223#72"
"1012","2041103","2","2","224#8|223#96"
"1013","2041103","3","4","224#10|223#120"
"1014","2041103","4","10","224#12|223#144"
"1015","2041103","5","0","224#20|223#240"
"1016","2041104","1","1","224#6|223#72"
"1017","2041104","2","2","224#8|223#96"
"1018","2041104","3","4","224#10|223#120"
"1019","2041104","4","10","224#12|223#144"
"1020","2041104","5","0","224#20|223#240"
"1021","2041105","1","1","224#6|223#72"
"1022","2041105","2","2","224#8|223#96"
"1023","2041105","3","4","224#10|223#120"
"1024","2041105","4","10","224#12|223#144"
"1025","2041105","5","0","224#20|223#240"
"1026","2041106","1","1","224#6|223#72"
"1027","2041106","2","2","224#8|223#96"
"1028","2041106","3","4","224#10|223#120"
"1029","2041106","4","10","224#12|223#144"
"1030","2041106","5","0","224#20|223#240"
"1031","2041107","1","1","224#6|223#72"
"1032","2041107","2","2","224#8|223#96"
"1033","2041107","3","4","224#10|223#120"
"1034","2041107","4","10","224#12|223#144"
"1035","2041107","5","0","224#20|223#240"
"1036","2041108","1","1","224#6|223#72"
"1037","2041108","2","2","224#8|223#96"
"1038","2041108","3","4","224#10|223#120"
"1039","2041108","4","10","224#12|223#144"
"1040","2041108","5","0","224#20|223#240"
"1041","2041109","1","1","224#6|223#72"
"1042","2041109","2","2","224#8|223#96"
"1043","2041109","3","4","224#10|223#120"
"1044","2041109","4","10","224#12|223#144"
"1045","2041109","5","0","224#20|223#240"
"1046","2041201","1","1","224#15|223#180"
"1047","2041201","2","2","224#20|223#240"
"1048","2041201","3","4","224#25|223#300"
"1049","2041201","4","10","224#30|223#360"
"1050","2041201","5","0","224#40|223#480"
"1051","2041202","1","1","224#15|223#180"
"1052","2041202","2","2","224#20|223#240"
"1053","2041202","3","4","224#25|223#300"
"1054","2041202","4","10","224#30|223#360"
"1055","2041202","5","0","224#40|223#480"
"1056","2041203","1","1","224#15|223#180"
"1057","2041203","2","2","224#20|223#240"
"1058","2041203","3","4","224#25|223#300"
"1059","2041203","4","10","224#30|223#360"
"1060","2041203","5","0","224#40|223#480"
"1061","2041204","1","1","224#15|223#180"
"1062","2041204","2","2","224#20|223#240"
"1063","2041204","3","4","224#25|223#300"
"1064","2041204","4","10","224#30|223#360"
"1065","2041204","5","0","224#40|223#480"
"1066","2041205","1","1","224#15|223#180"
"1067","2041205","2","2","224#20|223#240"
"1068","2041205","3","4","224#25|223#300"
"1069","2041205","4","10","224#30|223#360"
"1070","2041205","5","0","224#40|223#480"
"1071","2041206","1","1","224#15|223#180"
"1072","2041206","2","2","224#20|223#240"
"1073","2041206","3","4","224#25|223#300"
"1074","2041206","4","10","224#30|223#360"
"1075","2041206","5","0","224#40|223#480"
"1076","2041301","1","1","224#30|223#360"
"1077","2041301","2","2","224#40|223#480"
