"#name HeroLevel","#unique id","#index heroIdentity level","#collector heroIdentity","","","","","","","","",""
"id","heroIdentity","level","nextId","costBody","costMaterial","breakLevel","skills","globalAttribute","levelAttribute"
"int","int","int","int","int","cost[]","int","keyv[]","attr[]","attr[]"
"*","*","*","*","*","*","*","*","*","*"
"序号","英雄标识","等级","下一级序号","消耗本体数量","除本体外的消耗","是不是突破升级类型","技能","全局属性","升级属性"
"401001","1040001","1","401002","1","","0","4401101#1|4401201#1|4401301#0","","203#40|202#575"
"401002","1040001","2","401003","5","5#5","0","4401101#1|4401201#1|4401301#0","","203#47|202#625"
"401003","1040001","3","401004","5","5#10","0","4401101#1|4401201#1|4401301#0","","203#54|202#675"
"401004","1040001","4","401005","5","5#15","0","4401101#1|4401201#1|4401301#0","","203#61|202#725"
"401005","1040001","5","401006","5","5#20","0","4401101#1|4401201#1|4401301#0","203#3","203#68|202#775"
"401006","1040001","6","401007","5","5#25","0","4401101#1|4401201#1|4401301#0","","203#75|202#825"
"401007","1040001","7","401008","5","5#30","0","4401101#1|4401201#1|4401301#0","","203#82|202#875"
"401008","1040001","8","401009","5","5#35","0","4401101#1|4401201#1|4401301#0","","203#89|202#925"
"401009","1040001","9","401010","5","5#40","0","4401101#1|4401201#1|4401301#0","","203#96|202#975"
"401010","1040001","10","401011","10","5#45","0","4401101#1|4401201#1|4401301#1","","203#103|202#1025"
"401011","1040001","11","401012","10","5#50","0","4401101#1|4401201#1|4401301#1","","203#110|202#1075"
"401012","1040001","12","401013","10","5#55","0","4401101#1|4401201#1|4401301#1","","203#117|202#1125"
"401013","1040001","13","401014","10","5#60","0","4401101#1|4401201#1|4401301#1","","203#124|202#1175"
"401014","1040001","14","401015","10","5#65","0","4401101#1|4401201#1|4401301#1","","203#131|202#1225"
"401015","1040001","15","401016","10","5#70","0","4401101#1|4401201#1|4401301#1","202#15","203#138|202#1275"
"401016","1040001","16","401017","10","5#75","0","4401101#1|4401201#1|4401301#1","","203#145|202#1325"
"401017","1040001","17","401018","10","5#80","0","4401101#1|4401201#1|4401301#1","","203#152|202#1375"
"401018","1040001","18","401019","10","5#85","0","4401101#1|4401201#1|4401301#1","","203#159|202#1425"
"401019","1040001","19","401020","10","5#90","0","4401101#1|4401201#1|4401301#1","","203#166|202#1475"
"401020","1040001","20","401021","15","5#100","0","4401101#1|4401201#2|4401301#1","","203#186|202#1620"
"401021","1040001","21","401022","15","5#110","0","4401101#1|4401201#2|4401301#1","","203#194|202#1675"
"401022","1040001","22","401023","15","5#120","0","4401101#1|4401201#2|4401301#1","","203#202|202#1730"
"401023","1040001","23","401024","15","5#130","0","4401101#1|4401201#2|4401301#1","","203#209|202#1785"
"401024","1040001","24","401025","15","5#140","0","4401101#1|4401201#2|4401301#1","","203#217|202#1840"
"401025","1040001","25","401026","15","5#150","0","4401101#1|4401201#2|4401301#1","203#4","203#225|202#1895"
"401026","1040001","26","401027","15","5#160","0","4401101#1|4401201#2|4401301#1","","203#233|202#1950"
"401027","1040001","27","401028","15","5#170","0","4401101#1|4401201#2|4401301#1","","203#240|202#2005"
"401028","1040001","28","401029","15","5#180","0","4401101#1|4401201#2|4401301#1","","203#248|202#2060"
"401029","1040001","29","401030","15","5#190","0","4401101#1|4401201#2|4401301#1","","203#256|202#2115"
"401030","1040001","30","401031","80","2000008#250","1","4401101#1|4401201#2|4401301#2","","203#263|202#2170"
"401031","1040001","31","401032","25","5#220","0","4401101#1|4401201#2|4401301#2","","203#271|202#2225"
"401032","1040001","32","401033","25","5#235","0","4401101#1|4401201#2|4401301#2","","203#279|202#2280"
"401033","1040001","33","401034","25","5#250","0","4401101#1|4401201#2|4401301#2","","203#286|202#2335"
"401034","1040001","34","401035","25","5#265","0","4401101#1|4401201#2|4401301#2","","203#294|202#2390"
"401035","1040001","35","401036","25","5#280","0","4401101#1|4401201#2|4401301#2","202#20","203#302|202#2445"
"401036","1040001","36","401037","30","5#295","0","4401101#1|4401201#2|4401301#2","","203#310|202#2500"
"401037","1040001","37","401038","30","5#310","0","4401101#1|4401201#2|4401301#2","","203#317|202#2555"
"401038","1040001","38","401039","30","5#325","0","4401101#1|4401201#2|4401301#2","","203#325|202#2610"
"401039","1040001","39","401040","30","5#340","0","4401101#1|4401201#2|4401301#2","","203#333|202#2665"
"401040","1040001","40","401041","150","2000008#500","1","4401101#1|4401201#3|4401301#2","","203#368|202#2915"
"401041","1040001","41","401042","35","5#380","0","4401101#1|4401201#3|4401301#2","","203#376|202#2975"
"401042","1040001","42","401043","35","5#400","0","4401101#1|4401201#3|4401301#2","","203#384|202#3035"
"401043","1040001","43","401044","35","5#420","0","4401101#1|4401201#3|4401301#2","","203#393|202#3095"
"401044","1040001","44","401045","35","5#440","0","4401101#1|4401201#3|4401301#2","203#5","203#401|202#3155"
"401045","1040001","45","401046","40","5#460","0","4401101#1|4401201#3|4401301#2","","203#410|202#3215"
"401046","1040001","46","401047","40","5#480","0","4401101#1|4401201#3|4401301#2","","203#418|202#3275"
"401047","1040001","47","401048","40","5#500","0","4401101#1|4401201#3|4401301#2","202#25","203#426|202#3335"
"401048","1040001","48","401049","40","5#520","0","4401101#1|4401201#3|4401301#2","","203#435|202#3395"
"401049","1040001","49","401050","40","5#540","0","4401101#1|4401201#3|4401301#2","","203#443|202#3455"
"401050","1040001","50","401051","260","2000008#750","1","4401101#1|4401201#3|4401301#3","","203#452|202#3515"
"401051","1040001","51","401052","45","5#590","0","4401101#1|4401201#3|4401301#3","","203#460|202#3575"
"401052","1040001","52","401053","45","5#615","0","4401101#1|4401201#3|4401301#3","","203#468|202#3635"
"401053","1040001","53","401054","45","5#640","0","4401101#1|4401201#3|4401301#3","","203#477|202#3695"
"401054","1040001","54","401055","45","5#665","0","4401101#1|4401201#3|4401301#3","","203#485|202#3755"
"401055","1040001","55","401056","50","5#690","0","4401101#1|4401201#3|4401301#3","206#100","203#494|202#3815"
"401056","1040001","56","401057","50","5#715","0","4401101#1|4401201#3|4401301#3","","203#502|202#3875"
"401057","1040001","57","401058","50","5#740","0","4401101#1|4401201#3|4401301#3","","203#510|202#3935"
"401058","1040001","58","401059","50","5#765","0","4401101#1|4401201#3|4401301#3","","203#519|202#3995"
"401059","1040001","59","401060","50","5#790","0","4401101#1|4401201#3|4401301#3","","203#527|202#4055"
"401060","1040001","60","401061","400","2000008#1000","1","4401101#1|4401201#3|4401301#3","205#100","203#577|202#4410"
"401061","1040001","61","401062","100","5#850","0","4401101#1|4401201#3|4401301#3","","203#586|202#4475"
"401062","1040001","62","401063","100","5#880","0","4401101#1|4401201#3|4401301#3","","203#595|202#4540"
"401063","1040001","63","401064","100","5#910","0","4401101#1|4401201#3|4401301#3","","203#604|202#4605"
"401064","1040001","64","401065","100","5#940","0","4401101#1|4401201#3|4401301#3","","203#613|202#4670"
"401065","1040001","65","401066","100","5#970","0","4401101#1|4401201#3|4401301#3","206#200","203#622|202#4735"
"401066","1040001","66","401067","100","5#1000","0","4401101#1|4401201#3|4401301#3","","203#632|202#4800"
"401067","1040001","67","401068","100","5#1030","0","4401101#1|4401201#3|4401301#3","","203#641|202#4865"
"401068","1040001","68","401069","100","5#1060","0","4401101#1|4401201#3|4401301#3","","203#650|202#4930"
"401069","1040001","69","401070","100","5#1090","0","4401101#1|4401201#3|4401301#3","","203#659|202#4995"
"401070","1040001","70","401071","800","2000008#1500","1","4401101#1|4401201#3|4401301#3","205#200","203#716|202#5405"
"401071","1040001","71","401072","100","5#1160","0","4401101#1|4401201#3|4401301#3","","203#726|202#5475"
"401072","1040001","72","401073","100","5#1195","0","4401101#1|4401201#3|4401301#3","","203#736|202#5545"
"401073","1040001","73","401074","100","5#1230","0","4401101#1|4401201#3|4401301#3","","203#746|202#5615"
"401074","1040001","74","401075","100","5#1265","0","4401101#1|4401201#3|4401301#3","","203#755|202#5685"
"401075","1040001","75","401076","100","5#1300","0","4401101#1|4401201#3|4401301#3","206#300","203#765|202#5755"
"401076","1040001","76","401077","100","5#1335","0","4401101#1|4401201#3|4401301#3","","203#775|202#5825"
"401077","1040001","77","401078","100","5#1370","0","4401101#1|4401201#3|4401301#3","","203#785|202#5895"
"401078","1040001","78","401079","100","5#1405","0","4401101#1|4401201#3|4401301#3","","203#795|202#5965"
"401079","1040001","79","401080","100","5#1440","0","4401101#1|4401201#3|4401301#3","","203#804|202#6035"
"401080","1040001","80","401081","1200","2000008#2000","1","4401101#1|4401201#3|4401301#3","205#300","203#870|202#6500"
"401081","1040001","81","401082","100","5#1520","0","4401101#1|4401201#3|4401301#3","","203#880|202#6575"
"401082","1040001","82","401083","100","5#1560","0","4401101#1|4401201#3|4401301#3","","203#891|202#6650"
"401083","1040001","83","401084","100","5#1600","0","4401101#1|4401201#3|4401301#3","","203#901|202#6725"
"401084","1040001","84","401085","100","5#1640","0","4401101#1|4401201#3|4401301#3","","203#912|202#6800"
"401085","1040001","85","401086","100","5#1680","0","4401101#1|4401201#3|4401301#3","206#400","203#922|202#6875"
"401086","1040001","86","401087","100","5#1720","0","4401101#1|4401201#3|4401301#3","","203#933|202#6950"
"401087","1040001","87","401088","100","5#1760","0","4401101#1|4401201#3|4401301#3","","203#943|202#7025"
"401088","1040001","88","401089","100","5#1800","0","4401101#1|4401201#3|4401301#3","","203#954|202#7100"
"401089","1040001","89","401090","100","5#1840","0","4401101#1|4401201#3|4401301#3","","203#964|202#7175"
"401090","1040001","90","401091","1600","2000008#3000","1","4401101#1|4401201#3|4401301#3","205#400","203#1037|202#7695"
"401091","1040001","91","401092","100","5#1930","0","4401101#1|4401201#3|4401301#3","","203#1048|202#7775"
"401092","1040001","92","401093","100","5#1975","0","4401101#1|4401201#3|4401301#3","","203#1059|202#7855"
"401093","1040001","93","401094","100","5#2020","0","4401101#1|4401201#3|4401301#3","","203#1070|202#7935"
"401094","1040001","94","401095","100","5#2065","0","4401101#1|4401201#3|4401301#3","","203#1082|202#8015"
"401095","1040001","95","401096","100","5#2110","0","4401101#1|4401201#3|4401301#3","206#500","203#1093|202#8095"
"401096","1040001","96","401097","100","5#2155","0","4401101#1|4401201#3|4401301#3","","203#1104|202#8175"
"401097","1040001","97","401098","100","5#2200","0","4401101#1|4401201#3|4401301#3","","203#1115|202#8255"
"401098","1040001","98","401099","100","5#2245","0","4401101#1|4401201#3|4401301#3","","203#1126|202#8335"
"401099","1040001","99","401100","100","5#2290","0","4401101#1|4401201#3|4401301#3","","203#1138|202#8415"
"401100","1040001","100","0","2000","2000008#5000","1","4401101#1|4401201#3|4401301#3","205#500","203#1218|202#8990"
"404001","1040004","1","404002","1","","0","4404101#1|4404201#1|4404301#0","","203#50|202#525"
"404002","1040004","2","404003","5","5#5","0","4404101#1|4404201#1|4404301#0","","203#59|202#565"
"404003","1040004","3","404004","5","5#10","0","4404101#1|4404201#1|4404301#0","","203#68|202#605"
"404004","1040004","4","404005","5","5#15","0","4404101#1|4404201#1|4404301#0","","203#77|202#645"
"404005","1040004","5","404006","5","5#20","0","4404101#1|4404201#1|4404301#0","203#3","203#86|202#685"
"404006","1040004","6","404007","5","5#25","0","4404101#1|4404201#1|4404301#0","","203#95|202#725"
"404007","1040004","7","404008","5","5#30","0","4404101#1|4404201#1|4404301#0","","203#104|202#765"
"404008","1040004","8","404009","5","5#35","0","4404101#1|4404201#1|4404301#0","","203#113|202#805"
"404009","1040004","9","404010","5","5#40","0","4404101#1|4404201#1|4404301#0","","203#122|202#845"
"404010","1040004","10","404011","10","5#45","0","4404101#1|4404201#1|4404301#1","","203#131|202#885"
"404011","1040004","11","404012","10","5#50","0","4404101#1|4404201#1|4404301#1","","203#140|202#925"
"404012","1040004","12","404013","10","5#55","0","4404101#1|4404201#1|4404301#1","","203#149|202#965"
"404013","1040004","13","404014","10","5#60","0","4404101#1|4404201#1|4404301#1","","203#158|202#1005"
"404014","1040004","14","404015","10","5#65","0","4404101#1|4404201#1|4404301#1","","203#167|202#1045"
"404015","1040004","15","404016","10","5#70","0","4404101#1|4404201#1|4404301#1","202#15","203#176|202#1085"
"404016","1040004","16","404017","10","5#75","0","4404101#1|4404201#1|4404301#1","","203#185|202#1125"
"404017","1040004","17","404018","10","5#80","0","4404101#1|4404201#1|4404301#1","","203#194|202#1165"
"404018","1040004","18","404019","10","5#85","0","4404101#1|4404201#1|4404301#1","","203#203|202#1205"
"404019","1040004","19","404020","10","5#90","0","4404101#1|4404201#1|4404301#1","","203#212|202#1245"
"404020","1040004","20","404021","15","5#100","0","4404101#2|4404201#2|4404301#1","","203#238|202#1361"
"404021","1040004","21","404022","15","5#110","0","4404101#2|4404201#2|4404301#1","","203#248|202#1405"
"404022","1040004","22","404023","15","5#120","0","4404101#2|4404201#2|4404301#1","","203#258|202#1449"
"404023","1040004","23","404024","15","5#130","0","4404101#2|4404201#2|4404301#1","","203#268|202#1493"
"404024","1040004","24","404025","15","5#140","0","4404101#2|4404201#2|4404301#1","","203#278|202#1537"
"404025","1040004","25","404026","15","5#150","0","4404101#2|4404201#2|4404301#1","203#4","203#288|202#1581"
"404026","1040004","26","404027","15","5#160","0","4404101#2|4404201#2|4404301#1","","203#298|202#1625"
"404027","1040004","27","404028","15","5#170","0","4404101#2|4404201#2|4404301#1","","203#307|202#1669"
"404028","1040004","28","404029","15","5#180","0","4404101#2|4404201#2|4404301#1","","203#317|202#1713"
"404029","1040004","29","404030","15","5#190","0","4404101#2|4404201#2|4404301#1","","203#327|202#1757"
"404030","1040004","30","404031","80","2000008#250","1","4404101#2|4404201#2|4404301#2","","203#337|202#1801"
"404031","1040004","31","404032","25","5#220","0","4404101#2|4404201#2|4404301#2","","203#347|202#1845"
"404032","1040004","32","404033","25","5#235","0","4404101#2|4404201#2|4404301#2","","203#357|202#1889"
"404033","1040004","33","404034","25","5#250","0","4404101#2|4404201#2|4404301#2","","203#367|202#1933"
"404034","1040004","34","404035","25","5#265","0","4404101#2|4404201#2|4404301#2","","203#377|202#1977"
