"#name HeroAwaken","#unique id","#index quality level","","","","",""
"id","quality","level","cost","needBody","otherQuality","otherBody","attr"
"int","int","int","cost[]","int","int","int","attr[]"
"*","*","*","*","*","*","*","*"
"序号","英雄品质","觉醒等级","消耗材料","消耗本体数量","指定英雄碎片品质","数量","属性加成"
"1","5","1","2000009#25","100","4","200","205#500|206#500"
"2","5","2","2000009#50","150","4","300","205#1000|206#1000"
"3","5","3","2000009#100","200","4","400","205#1500|206#1500"
"4","5","4","2000009#150","250","4","500","205#2000|206#2000"
"5","5","5","2000009#200","300","4","600","205#2500|206#2500"
"6","5","6","2000009#300","500","4","1000","205#3000|206#3000"
"7","5","7","2000009#500","750","4","1500","205#3500|206#3500"
"8","5","8","2000009#750","1000","4","2000","205#4000|206#4000"
"9","5","9","2000009#1000","1500","4","3000","205#4500|206#4500"
"10","5","10","2000009#2000","2000","4","4000","205#5000|206#5000"
