"#name Mail","#unique id","","","","","","",""
"id","comment","ExpirDay","serverTitleFormat","serverContentFormat","title","content"
"int","string","int","string[]","string[]","lang","lang"
"*","S","*","S","S","S","S"
"邮件模板ID","邮件应用场景","邮件过期天数","标题后端参数格式","内容后端参数格式","标题","内容"
"1","系统邮件","1","SHOW","SHOW","{0}","{0}"
"999","测试邮件","10","PLAYER","PLAYER#SHOW","玩家{0}的测试邮件","尊敬的{0}，<br/>你在虚空中遗漏的道具{1} 已给你找回，请查收"
"200001","玩家被强制改名","10","","","角色名违规","尊敬的修仙者，你的角色名已被违规处理，请及时修正"
"1200001","装备背包超限","2","","","装备背包容量超限","尊敬的修仙者，以下是无法添加到背包的装备，请清理装备后领取"
"1800001","爬塔每日邮件奖励","10","","SHOW","试炼塔每日奖励","尊敬的修仙者，你当前的试练塔层数为{0}，以下是试炼塔每日奖励，请查收！"
"2600001","炼狱轮回赛季结算邮件","10","","PlAYER#SHOW","炼狱轮回排名奖励","尊敬的{0}，<br/>你在炼狱轮回赛季排行中获得第{1} 名，获得以下奖励，请查收！"
"2700001","仙境守卫赛季结算邮件","10","","PlAYER#SHOW","仙境守卫排名奖励","尊敬的{0}，<br/>你在仙境守卫赛季排行中获得第{1} 名，获得以下奖励，请查收！"
"2100101","通行证过期奖励","10","","PLAYER","通行证过期邮件","尊敬的{0}，<br/>您在上期通行证中有未领取的奖励，请查收！"
"3200001","37互娱发放礼包","10","","","37互娱专属礼包","尊敬的修仙者，<br/>请查收您的专属礼包！"
"3200002","37问卷调查","10","","","问卷调查奖励","尊敬的修仙者，<br/>感谢您参与问卷调查填写，获得以下奖励，请查收！"
"2100801","伙伴战力榜","999","","PlAYER#SHOW","伙伴战力榜","尊敬的修仙者，<br/>恭喜您在伙伴战力榜活动中获得第{1}名，以下是排名奖励，请查收！"
"2100802","装备战力榜","999","","PlAYER#SHOW","装备战力榜","尊敬的修仙者，<br/>恭喜您在装备战力榜活动中获得第{1}名，以下是排名奖励，请查收！"
"2100803","法宝战力榜","999","","PlAYER#SHOW","法宝战力榜","尊敬的修仙者，<br/>恭喜您在法宝战力榜活动中获得第{1}名，以下是排名奖励，请查收！"
