"#name MainlineTask","#unique id","#index preTask","","","","","","","",""
"id","mainlineId","preTask","desc","parallel","taskType","taskParams","taskTargetNum","rewards"
"int","int","int","lang","int","string","int[]","long","reward[]"
"*","*","*","*","S","*","*","*","*"
"任务ID","主线ID","前置任务","任务描述","是否为并行任务","任务类型","任务参数","任务完成目标数量","任务奖励"
"10001","1000","0","消灭3只人参果","0","KILL_MONSTER","7000001","3","1#10"
"10002","1000","10001","帮助明月新","1","NPC_INTERACTION","1","1","4#5"
"10003","1000","10002","驱散前方迷雾","1","BUILDING_CLEANSING","1","1","1#10"
"10004","1000","10003","帮助雨师","1","NPC_INTERACTION","2","1","1#10"
"10005","1000","10004","收集木材5个","0","HAVE_WOOD","1","5","1#10"
"10006","1000","10005","驱散地图迷雾","1","BUILDING_CLEANSING","2","1","1#10|4#15"
"10007","1000","10006","消灭巡海蛟","1","KILL_MONSTER","7000003","1","1#10"
"10009","1001","10007","驱散城镇迷雾","1","BUILDING_CLEANSING","3","1","4#10|6#1"
"10010","1001","10009","前往建造神坛","1","UNLOCK_BUILDINGS","110","1","1#10"
"10011","1001","10010","消灭10只狐狸","1","KILL_MONSTER","7000005","10","1#10"
"10012","1001","10011","帮助苏颖","1","NPC_INTERACTION","3","1","2000001#1"
"10013","1001","10012","提升上阵人数","1","TROOP_NUM","110","4","1#10"
"10014","1001","10013","消灭15只竹子怪","1","KILL_MONSTER","7000007","15","1#10"
"10015","1001","10014","消灭虎王","1","KILL_MONSTER","7000901","1","1#15"
"10016","1001","10015","收集木材10个","0","HAVE_WOOD","1","10","1#15"
"10017","1001","10016","前往建造神像","1","UNLOCK_BUILDINGS","100","1","1#15"
"10018","1001","10017","消灭15只野猪","0","KILL_MONSTER","7000006","15","1#15"
"10019","1001","10018","消灭15只蛙妖","0","KILL_MONSTER","7000011","15","1#15"
"10020","1001","10019","消灭15只青蛇","0","KILL_MONSTER","7000012","15","1#15"
"10021","1001","10020","收集木材10个","0","HAVE_WOOD","1","10","1#15"
"10022","1001","10021","激活传送节点","1","BUILDING_TRANSMIT","1","1","1#100"
"10023","1001","10022","建造钱庄","1","UNLOCK_BUILDINGS","202","1","1#10"
"10024","1001","10023","神像召唤1次","0","RECRUIT_NUM","100","1","1#15"
"10025","1001","10024","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#15"
"10026","1001","10025","消灭犀牛角","1","KILL_MONSTER","7000902","1","1#15"
"10027","1001","10026","消灭25只虾兵","0","KILL_MONSTER","7000015","25","1#15"
"10028","1001","10027","消灭15只花妖","0","KILL_MONSTER","7000013","15","1#15"
"10029","1001","10028","消灭25只鱼妖","0","KILL_MONSTER","7000016","25","1#15"
"10030","1001","10029","消灭树精","1","KILL_MONSTER","7000903","1","1#20"
"10031","1001","10030","激活传送节点","1","BUILDING_TRANSMIT","2","1","1#100"
"10032","1001","10031","前往建造神殿","1","UNLOCK_BUILDINGS","120","1","1#35"
"10033","1001","10032","神像召唤1次","0","RECRUIT_NUM","100","1","1#20"
"10034","1001","10033","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#20"
"10035","1001","10034","消灭30只野猪","0","KILL_MONSTER","7000019","30","1#20"
"10036","1001","10035","采集矿石5个","0","HAVE_MINE","6","5","1#20"
"10037","1001","10036","消灭30只黄豺狼","0","KILL_MONSTER","7000025","30","1#20"
"10038","1001","10037","消灭3只黄刀狼","0","KILL_MONSTER","7000501","3","1#20"
"10039","1001","10038","消灭百花妖","1","KILL_MONSTER","7000904","1","1#25"
"10040","1001","10039","消灭20只蓝豺狼","0","KILL_MONSTER","7000029","20","1#25"
"10041","1001","10040","消灭20只植物怪","0","KILL_MONSTER","7000027","20","1#25"
"10042","1001","10041","激活传送节点","1","BUILDING_TRANSMIT","3","1","1#100"
"10043","1001","10042","神像召唤1次","0","RECRUIT_NUM","100","1","1#25"
"10044","1001","10043","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#25"
"10045","1001","10044","消灭5只蓝刀狼","0","KILL_MONSTER","7000502","5","1#25"
"10046","1001","10045","消灭黑熊精","1","KILL_MONSTER","7000905","1","1#30"
"10047","1001","10046","消灭30只巡山妖","0","KILL_MONSTER","7000035","30","1#30"
"10048","1001","10047","消灭30只野猪","0","KILL_MONSTER","7000036","30","1#30"
"10049","1001","10048","消灭25只灰弓狼","0","KILL_MONSTER","7000034","25","1#30"
"10050","1001","10049","消灭银角大王","1","KILL_MONSTER","7000906","1","1#35"
"10051","1001","10050","激活传送节点","1","BUILDING_TRANSMIT","4","1","1#100"
"10052","1001","10051","神像召唤1次","0","RECRUIT_NUM","100","1","1#35"
"10053","1001","10052","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#35"
"10054","1001","10053","等级达到20级","1","ROLE_LEVEL","7","20","1#35"
"10055","1001","10054","挑战1次通天塔","0","TOWER_CHALLENGE_NUM","6","1","1#30"
"10056","1001","10055","消灭30只变异青蛇","0","KILL_MONSTER","7000038","30","1#35"
"10057","1001","10056","消灭30只变异鱼妖","0","KILL_MONSTER","7000039","30","1#35"
"10058","1001","10057","消灭20只紫花妖","0","KILL_MONSTER","7000042","20","1#35"
"10059","1001","10058","消灭巨灵神","1","KILL_MONSTER","7000907","1","1#40"
"10060","1001","10059","消灭60只蛙妖","0","KILL_MONSTER","7000043","60","1#40"
"10061","1001","10060","激活传送节点","1","BUILDING_TRANSMIT","5","1","1#100"
"10062","1001","10061","神像召唤1次","0","RECRUIT_NUM","100","1","1#40"
"10063","1001","10062","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#40"
"10064","1001","10063","前往建造秘境入口","1","UNLOCK_BUILDINGS","600","1","2001003#10"
"10065","1001","10064","挑战1次秘境副本","1","CHALLENGE_DUNGEONS","1000001","1","1#40"
"10066","1001","10065","消灭5只蓝刀狼","0","KILL_MONSTER","7000505","5","1#40"
"10067","1001","10066","消灭60只野猪","0","KILL_MONSTER","7000045","60","1#40"
"10068","1001","10067","消灭狮子精","1","KILL_MONSTER","7000908","1","1#45"
"10069","1001","10068","等级达到25级","1","ROLE_LEVEL","7","25","1#45"
"10070","1001","10069","消灭60只灰豺狼","0","KILL_MONSTER","7000047","60","1#45"
"10071","1001","10070","消灭60只植物怪","0","KILL_MONSTER","7000049","60","1#45"
"10072","1001","10071","消灭30只灰弓狼","0","KILL_MONSTER","7000050","30","1#45"
"10073","1001","10072","消灭轩辕","1","KILL_MONSTER","7000909","1","1#50"
"10074","1001","10073","激活传送节点","1","BUILDING_TRANSMIT","6","1","1#100"
"10075","1001","10074","神像召唤5次","0","RECRUIT_NUM","100","5","1#50"
"10076","1001","10075","神坛升级1次","0","TRAININGCAMP_UP_LEVEL","110","1","1#50"
"10077","1001","10076","等级达到30级","1","ROLE_LEVEL","7","30","1#50"
"10078","1001","10077","消灭60只蓝豺狼","0","KILL_MONSTER","7000051","60","1#50"
"10079","1001","10078","消灭60只蓝枪狼","0","KILL_MONSTER","7000053","60","1#50"
"10080","1001","10079","消灭30只蓝刀狼","0","KILL_MONSTER","7000054","30","1#50"
"10081","1001","10080","消灭幽冥王","1","KILL_MONSTER","7000910","1","1#50"
"10082","1001","10081","消灭60只巡山妖","0","KILL_MONSTER","7000055","60","1#55"
"10083","1001","10082","激活传送节点","1","BUILDING_TRANSMIT","7","1","1#100"
"10084","1001","10083","神像召唤5次","0","RECRUIT_NUM","100","5","1#50"
