"#name SceneTeleport","#unique id","#index mainlineId teleportId","","","","","","",""
"id","mainlineId","teleportId","openCosts"
"int","int","int","cost[]"
"*","*","*","*"
"序号","主线场景ID","传送点ID","开启消耗"
"1","1001","0",""
"2","1001","1","4#5"
"3","1001","2","4#10"
"4","1001","3","4#10"
"5","1001","4","4#10"
"6","1001","5","4#10"
"7","1001","6","4#10"
"8","1001","7","4#10"
"9","1001","8","4#10"
"10","1002","9","4#10"
"11","1002","10","4#10"
"12","1002","11","4#10"
"13","1002","12","4#10"
"14","1002","13","4#10"
"15","1003","14","4#10"
"16","1003","15","4#10"
"17","1003","16","4#10"
"18","1003","17","4#10"
"19","1003","18","4#10"
