"#name SceneFog","#unique id","#index mainlineId fogId","","","","","","","",""
"id","mainlineId","fogId","openCosts","openRewards","belongZoneId","openLevel"
"int","int","int","cost[]","reward","int","int"
"*","*","*","*","*","S","*"
"序号","场景ID","迷雾点ID","开启消耗","开启奖励","所属区域ID","开启等级"
"1","1000","1","4#5","1#10","1","1"
"2","1000","2","4#5","1#10","1","1"
"3","1001","3","4#5","1#10","1","1"
"4","1001","4","4#5","1#10","1","1"
"5","1001","5","4#5","1#10","1","1"
"6","1001","6","4#10","1#10","1","1"
"7","1001","7","4#5","1#10","1","1"
"8","1001","8","4#5","1#10","1","1"
"9","1001","9","4#10","1#10","1","1"
"10","1001","10","4#15","1#10","1","1"
"11","1001","11","4#20","1#10","1","1"
"12","1001","12","4#5","1#10","1","1"
"13","1001","13","4#10","1#10","1","1"
"14","1001","14","4#15","1#10","1","1"
"15","1001","15","4#15","1#10","1","1"
"16","1001","16","4#20","1#10","1","1"
"17","1001","17","4#25","1#10","1","1"
"18","1001","20","4#25","1#10","1","1"
"19","1001","21","4#20","1#10","1","1"
"20","1001","22","4#20","1#10","1","1"
"21","1001","23","4#20","1#10","1","1"
"22","1001","24","4#20","1#10","1","1"
"23","1001","28","4#20","1#10","1","1"
"24","1001","29","4#25","1#10","1","1"
"25","1001","30","4#25","1#10","1","1"
"26","1001","32","4#25","1#10","1","1"
"27","1001","33","4#25","1#10","1","1"
"28","1001","34","4#25","1#10","1","1"
"29","1001","35","4#25","1#10","1","1"
"30","1001","36","4#25","1#10","1","1"
"31","1001","37","4#30","1#10","1","1"
"32","1001","40","4#30","1#10","1","10"
"33","1001","41","4#30","1#10","1","10"
"34","1001","42","4#30","1#10","1","10"
"35","1001","43","4#30","1#10","1","10"
"36","1001","44","4#30","1#10","1","10"
"37","1001","47","4#40","1#10","1","10"
"38","1001","48","4#40","1#10","1","10"
"39","1001","49","4#40","1#10","1","10"
"40","1001","50","4#40","1#10","1","10"
"41","1001","51","4#40","1#10","1","10"
"42","1001","54","4#60","1#10","1","10"
"43","1001","55","4#60","1#10","1","10"
"44","1001","56","4#60","1#10","1","10"
"45","1001","57","4#60","1#10","1","10"
"46","1001","58","4#60","1#10","1","10"
"47","1001","60","4#60","1#10","1","10"
"48","1001","61","4#200","1#10","1","20"
"49","1001","62","4#80","1#10","1","20"
"50","1001","63","4#80","1#10","1","20"
"51","1001","64","4#80","1#10","1","20"
"52","1001","65","4#80","1#10","1","20"
"53","1001","67","4#80","1#10","1","20"
"54","1001","68","4#300","1#10","1","20"
"55","1001","69","4#80","1#10","1","20"
"56","1001","70","4#80","1#10","1","20"
"57","1001","71","4#80","1#10","1","20"
"58","1001","72","4#80","1#10","1","20"
"59","1001","73","4#350","1#10","1","20"
"60","1001","74","4#100","1#10","1","20"
"61","1001","75","4#100","1#10","1","20"
"62","1001","76","4#100","1#10","1","20"
"63","1001","77","4#100","1#10","1","20"
"64","1001","78","4#500","1#10","1","20"
"102","1002","102","4#100","1#10","1","30"
"103","1002","103","4#100","1#10","1","30"
"104","1002","104","4#100","1#10","1","30"
"105","1002","105","4#100","1#10","1","30"
"106","1002","106","4#550","1#10","1","30"
"107","1002","107","4#100","1#10","1","30"
