"#name BattleType","#unique id","","","","","","","",""
"id","name","mapData","battleTime","sumKill","canAuto","freeTicket","defaultScene"
"int","string","string","int","int","int","reward","int"
"*","*","*","*","*","*","*","*"
"ID","名字","默认的地图文件","战斗时长毫秒","是否统计连杀数","是否可以自动战斗","每天获得免费门票","默认场景ID"
"1","主线场景战斗","洛水镇.json","0","0","0","","0"
"2","通天塔","洛水镇.json","90000","0","0","","2001"
"3","通天塔(人)","洛水镇.json","90000","0","0","","3001"
"4","通天塔(灵)","洛水镇.json","90000","0","0","","4001"
"5","通天塔(仙)","洛水镇.json","90000","0","0","","5001"
"6","黄金洞窟","洛水镇.json","60000","0","0","2001001#1","6001"
"9","日常&世界秘境","洛水镇.json","0","1","1","","0"
