"#name TreasureHouse","#unique id","#index type period rechargeId","#collector type period","#index type period rewardId","","","",""
"id","type","period","rechargeId","rewardId","condition","limitType","limitNum","reward"
"int","int","int","int","int","keyv[]","int","int","reward[]"
"*","*","*","*","*","*","*","*","*"
"序号","类型","期数","充值商品表ID","是否为免费商品","限制条件","限购类型","限购数量","商品内容"
"1","10005","1","5501","0","2#1","0","0","2#30"
"2","10005","1","5502","0","2#1","0","0","2#150"
"3","10005","1","5503","0","2#1","0","0","2#340"
"4","10005","1","5504","0","2#1","0","0","2#640"
"5","10005","1","5505","0","2#1","0","0","2#1640"
"6","10005","1","5506","0","2#1","0","0","2#3240"
"7","10007","1","0","1","2#1","1","1","2#10|1#50"
"8","10007","1","5601","0","2#1","1","2",""
"9","10007","1","5602","0","2#1","1","2",""
"10","10007","1","5603","0","2#1","1","2",""
"11","10007","1","5604","0","2#1","1","2",""
"12","10007","1","5605","0","2#1","1","2",""
"13","10007","1","5606","0","2#1","1","2",""
"15","10007","1","5608","0","2#1","1","2",""
"17","10007","1","5610","0","2#1","1","2",""
"18","10007","1","5611","0","2#1","1","2",""
"19","10007","1","5612","0","2#1","1","2",""
"20","10007","1","5613","0","2#1","1","2",""
"21","10007","1","5614","0","2#1","1","2",""
"22","10007","1","5615","0","2#1","1","2",""
"23","10007","1","5616","0","2#1","1","2",""
"24","10007","1","5617","0","2#1","1","2",""
"25","10007","1","5618","0","2#1","1","2",""
"26","10008","1","0","1","2#1","1","1","2#10|1#50"
"27","10008","1","15001","0","2#1","1","2",""
"28","10008","1","15002","0","2#1","1","2",""
"29","10008","1","15003","0","2#1","1","2",""
"30","10008","1","15004","0","2#1","1","2",""
"31","10008","1","15005","0","2#1","1","2",""
"32","10008","1","15006","0","2#1","1","2",""
"33","10008","1","15007","0","2#1","1","2",""
"34","10009","1","0","1","2#1","1","1","2#20|1#50"
"35","10009","1","16001","0","2#1","1","2",""
"36","10009","1","16002","0","2#1","1","2",""
"37","10009","1","16003","0","2#1","1","2",""
"38","10009","1","16004","0","2#1","1","2",""
"39","10009","1","16005","0","2#1","1","2",""
"40","10009","1","16006","0","2#1","1","2",""
"41","10009","1","16007","0","2#1","1","2",""
