"#name EquipSuitAttr","#unique id","#collector suitId",""
"id","suitId","num","attrs"
"int","int","int","attr"
"*","*","*","*"
"序号","套装ID","套装数量","装备套装属性"
"1","1001","2","203#1775"
"2","1001","4","222#1400"
"3","1001","6","206#1400"
"4","1002","2","202#1775"
"5","1002","4","214#1400"
"6","1002","6","205#1775"
"7","1003","2","202#1775"
"8","1003","4","213#1400"
"9","1003","6","210#1400"
"10","1004","2","203#1775"
"11","1004","4","216#1400"
"12","1004","6","221#1400"
"13","1005","2","203#2370"
"14","1005","4","222#1500"
"15","1005","6","206#1500"
"16","1006","2","202#2370"
"17","1006","4","214#1500"
"18","1006","6","205#2370"
"19","1007","2","202#2370"
"20","1007","4","213#1500"
"21","1007","6","210#1500"
"22","1008","2","203#2370"
"23","1008","4","216#1500"
"24","1008","6","221#1500"
"25","1009","2","203#3085"
"26","1009","4","222#1600"
"27","1009","6","206#1600"
"28","1010","2","202#3085"
"29","1010","4","214#1600"
"30","1010","6","205#3085"
"31","1011","2","202#3085"
"32","1011","4","213#1600"
"33","1011","6","210#1600"
"34","1012","2","203#3085"
"35","1012","4","216#1600"
"36","1012","6","221#1600"
"37","1013","2","203#3930"
"38","1013","4","222#1700"
"39","1013","6","206#1700"
"40","1014","2","202#3930"
"41","1014","4","214#1700"
"42","1014","6","205#3930"
"43","1015","2","202#3930"
"44","1015","4","213#1700"
"45","1015","6","210#1700"
"46","1016","2","203#3930"
"47","1016","4","216#1700"
"48","1016","6","221#1700"
"49","1017","2","203#4915"
"50","1017","4","222#1800"
"51","1017","6","206#1800"
"52","1018","2","202#4915"
"53","1018","4","214#1800"
"54","1018","6","205#4915"
"55","1019","2","202#4915"
"56","1019","4","213#1800"
"57","1019","6","210#1800"
"58","1020","2","203#4915"
"59","1020","4","216#1800"
"60","1020","6","221#1800"
"61","1021","2","203#6050"
"62","1021","4","222#1900"
"63","1021","6","206#1900"
"64","1022","2","202#6050"
"65","1022","4","214#1900"
"66","1022","6","205#6050"
"67","1023","2","202#6050"
"68","1023","4","213#1900"
"69","1023","6","210#1900"
"70","1024","2","203#6050"
"71","1024","4","216#1900"
"72","1024","6","221#1900"
