"#name Equip","#unique equipId","","","","","","","","","","","",""
"equipId","bigType","type","name","quality","level","attrs","attrRep","appraise","score","smeltReward","suitId"
"int","int","int","lang","int","int","attr[]","int","int","int","reward[]","int"
"*","*","*","S","*","*","*","*","*","*","*","*"
"装备ID","装备大类","装备小类","装备名称","装备品质","等级限制","装备基础属性","附加属性库","是否需要鉴定","基础评分","分解获得","套装ID"
"3001011","1","1","玄铁短剑","1","10","202#0|203#9","0","0","1200","1#1","0"
"3001012","1","2","玄铁戒","1","10","202#24|203#6","0","0","1120","1#1","0"
"3001013","1","3","平安链","1","10","202#24|203#6","0","0","1120","1#1","0"
"3001014","1","4","草木斗笠","1","10","202#47|203#0","0","0","630","1#1","0"
"3001015","1","5","短布袍","1","10","202#71|203#0","0","0","950","1#1","0"
"3001016","1","6","行者靴","1","10","202#36|203#5","0","0","1070","1#1","0"
"3001021","1","1","玄铁短剑","2","10","202#0|203#12","0","0","1800","1#1","0"
"3001022","1","2","玄铁戒","2","10","202#32|203#8","0","0","1670","1#1","0"
"3001023","1","3","平安链","2","10","202#32|203#8","0","0","1670","1#1","0"
"3001024","1","4","草木斗笠","2","10","202#63|203#0","0","0","950","1#1","0"
"3001025","1","5","短布袍","2","10","202#95|203#0","0","0","1420","1#1","0"
"3001026","1","6","行者靴","2","10","202#47|203#6","0","0","1610","1#1","0"
"3001031","1","1","玄铁短剑","3","10","202#0|203#15","101001","0","2400","1#1","0"
"3001032","1","2","玄铁戒","3","10","202#40|203#10","101001","0","2230","1#1","0"
"3001033","1","3","平安链","3","10","202#40|203#10","101001","0","2230","1#1","0"
"3001034","1","4","草木斗笠","3","10","202#79|203#0","101001","0","1260","1#1","0"
"3001035","1","5","短布袍","3","10","202#119|203#0","101001","0","1900","1#1","0"
"3001036","1","6","行者靴","3","10","202#59|203#8","101001","0","2150","1#1","0"
"3001041","1","1","玄铁短剑","4","10","202#0|203#18","101001","1","3000","1#1","0"
"3001042","1","2","玄铁戒","4","10","202#47|203#12","101001","1","2790","1#1","0"
"3001043","1","3","平安链","4","10","202#47|203#12","101001","1","2790","1#1","0"
"3001044","1","4","草木斗笠","4","10","202#95|203#0","101001","1","1580","1#1","0"
"3001045","1","5","短布袍","4","10","202#142|203#0","101001","1","2370","1#1","0"
"3001046","1","6","行者靴","4","10","202#71|203#9","101001","1","2690","1#1","0"
"3001051","1","1","玄铁短剑","5","10","202#0|203#21","101001","1","3700","1#1","0"
"3001052","1","2","玄铁戒","5","10","202#55|203#14","101001","1","3490","1#1","0"
"3001053","1","3","平安链","5","10","202#55|203#14","101001","1","3490","1#1","0"
"3001054","1","4","草木斗笠","5","10","202#111|203#0","101001","1","1980","1#1","0"
"3001055","1","5","短布袍","5","10","202#166|203#0","101001","1","2960","1#1","0"
"3001056","1","6","行者靴","5","10","202#83|203#10","101001","1","3380","1#1","0"
"3002011","1","1","碧风长剑","1","20","202#0|203#15","102001","0","2000","1#1","0"
"3002012","1","2","清风戒","1","20","202#36|203#10","102001","0","1880","1#1","0"
"3002013","1","3","碧空链","1","20","202#36|203#10","102001","0","1880","1#1","0"
"3002014","1","4","飞羽小冠","1","20","202#72|203#0","102001","0","970","1#1","0"
"3002015","1","5","风道服","1","20","202#109|203#0","102001","0","1450","1#1","0"
"3002016","1","6","锦步鞋","1","20","202#54|203#8","102001","0","1720","1#1","0"
"3002021","1","1","碧风长剑","2","20","202#0|203#20","102001","0","3100","1#1","0"
"3002022","1","2","清风戒","2","20","202#48|203#14","102001","0","2720","1#1","0"
"3002023","1","3","碧空链","2","20","202#48|203#14","102001","0","2720","1#1","0"
"3002024","1","4","飞羽小冠","2","20","202#97|203#0","102001","0","1450","1#1","0"
"3002025","1","5","风道服","2","20","202#145|203#0","102001","0","2170","1#1","0"
"3002026","1","6","锦步鞋","2","20","202#72|203#10","102001","0","2590","1#1","0"
"3002031","1","1","碧风长剑","3","20","202#0|203#26","102001","0","4100","1#1","0"
"3002032","1","2","清风戒","3","20","202#60|203#17","102001","0","3670","1#1","0"
"3002033","1","3","碧空链","3","20","202#60|203#17","102001","0","3670","1#1","0"
"3002034","1","4","飞羽小冠","3","20","202#121|203#0","102001","0","1930","1#1","0"
"3002035","1","5","风道服","3","20","202#181|203#0","102001","0","2900","1#1","0"
"3002036","1","6","锦步鞋","3","20","202#91|203#13","102001","0","3450","1#1","0"
"3002041","1","1","碧风长剑","4","20","202#0|203#31","102001","1","5100","1#1","0"
"3002042","1","2","清风戒","4","20","202#72|203#20","102001","1","4610","1#1","0"
"3002043","1","3","碧空链","4","20","202#72|203#20","102001","1","4610","1#1","0"
"3002044","1","4","飞羽小冠","4","20","202#145|203#0","102001","1","2410","1#1","0"
"3002045","1","5","风道服","4","20","202#217|203#0","102001","1","3620","1#1","0"
"3002046","1","6","锦步鞋","4","20","202#109|203#15","102001","1","4410","1#1","0"
"3002051","1","1","碧风长剑","5","20","202#0|203#36","102001","1","6400","1#1","0"
"3002052","1","2","清风戒","5","20","202#85|203#24","102001","1","5810","1#1","0"
"3002053","1","3","碧空链","5","20","202#85|203#24","102001","1","5810","1#1","0"
"3002054","1","4","飞羽小冠","5","20","202#169|203#0","102001","1","3020","1#1","0"
